
[00:00:00.000 --> 00:00:02.000]  咁孫家鼎姐妹平安
[00:00:02.000 --> 00:00:05.000]  作為一個基督徒呢
[00:00:05.000 --> 00:00:06.000]  我哋一定會明白呢
[00:00:06.000 --> 00:00:07.000]  神嘅恩典呢
[00:00:07.000 --> 00:00:09.000]  係無條件嘅
[00:00:09.000 --> 00:00:10.000]  賜予咗俾我哋
[00:00:10.000 --> 00:00:12.000]  唔係呢用我哋嘅行為呢
[00:00:12.000 --> 00:00:14.000]  可以獲取嘅
[00:00:14.000 --> 00:00:17.000]  但係當我哋領受咗神嘅恩典之後呢
[00:00:17.000 --> 00:00:19.000]  我哋又可以點去回應呢
[00:00:19.000 --> 00:00:23.000]  當然信徒可以有好多種回應嘅方式嘅
[00:00:23.000 --> 00:00:25.000]  因住每個人嘅恩賜唔同啦
[00:00:25.000 --> 00:00:27.000]  信心唔同啦
[00:00:27.000 --> 00:00:29.000]  領受呢都唔同
[00:00:29.000 --> 00:00:31.000]  其中一種回應嘅方式呢就係
[00:00:31.000 --> 00:00:33.000]  我哋要立志過一個呢
[00:00:33.000 --> 00:00:37.000]  行事為人要與恩典相稱嘅人生
[00:00:37.000 --> 00:00:40.000]  所以我今晚呢就引用提多書
[00:00:40.000 --> 00:00:42.000]  二章嘅一至十節作為經文
[00:00:42.000 --> 00:00:45.000]  以行事與恩典相稱為講題
[00:00:45.000 --> 00:00:47.000]  同大家分享
[00:00:47.000 --> 00:00:50.000]  點樣可以做到行事為人
[00:00:50.000 --> 00:00:53.000]  與恩典相稱嘅一個秘訣
[00:00:53.000 --> 00:00:54.000]  同埋個目的
[00:00:54.000 --> 00:00:57.000]  開始嘅時候我有個祈禱呀
[00:00:57.000 --> 00:00:59.000]  主我哋感謝祢嘅拯救
[00:00:59.000 --> 00:01:01.000]  讓我哋恩著相信祢
[00:01:01.000 --> 00:01:03.000]  生命能夠得到改變
[00:01:03.000 --> 00:01:05.000]  呢種改變嘅力量唔係嚟自自己
[00:01:05.000 --> 00:01:08.000]  而係嚟自祢主耶穌
[00:01:08.000 --> 00:01:11.000]  然而我哋呢個改變咗嘅生命
[00:01:11.000 --> 00:01:13.000]  仍然好憂戀
[00:01:13.000 --> 00:01:14.000]  好脆弱
[00:01:14.000 --> 00:01:16.000]  如果要茁壯成長嘅話
[00:01:16.000 --> 00:01:19.000]  就好需要祢繼續嘅引導同埋保守
[00:01:19.000 --> 00:01:21.000]  今日晚上求主嘅話
[00:01:21.000 --> 00:01:23.000]  能夠栽進我哋每一個
[00:01:23.000 --> 00:01:26.000]  讓每一個都能夠立志跟隨祢嘅
[00:01:26.000 --> 00:01:28.000]  都能夠按住主嘅心意
[00:01:28.000 --> 00:01:30.000]  而活出一個豐盛嘅人生
[00:01:30.000 --> 00:01:33.000]  我哋嘅祈禱係奉主耶穌基督聖名祈求
[00:01:33.000 --> 00:01:34.000]  阿門
[00:01:34.000 --> 00:01:36.000]  開始講到之先呢
[00:01:36.000 --> 00:01:38.000]  我哋都先了解下經文嘅背景啦
[00:01:38.000 --> 00:01:41.000]  根據保羅呢寫作嘅次序呢
[00:01:41.000 --> 00:01:43.000]  一般嘅學者都認為呢
[00:01:43.000 --> 00:01:45.000]  提多書嘅寫作時間呢
[00:01:45.000 --> 00:01:48.000]  應該係提摩太前書之後
[00:01:48.000 --> 00:01:50.000]  提摩太後書之前
[00:01:50.000 --> 00:01:51.000]  就係中間
[00:01:51.000 --> 00:01:53.000]  喺提摩太前後書嘅中間
[00:01:53.000 --> 00:01:55.000]  提多當時嘅處境呢
[00:01:55.000 --> 00:01:58.000]  就好似提摩太當時喺伊弗所一樣
[00:01:58.000 --> 00:02:02.000]  保羅要提多喺克里特島裏面呢
[00:02:02.000 --> 00:02:04.000]  將教會組織起嚟
[00:02:04.000 --> 00:02:05.000]  並處理呢
[00:02:05.000 --> 00:02:09.000]  滲透教會裏面嘅假教師嘅危機
[00:02:09.000 --> 00:02:11.000]  第一章呢就提到啦
[00:02:11.000 --> 00:02:16.000]  保羅要求呢提多喺克里特島設立長老
[00:02:16.000 --> 00:02:19.000]  並且提出咗做長老嘅資格
[00:02:19.000 --> 00:02:21.000]  另外呢亦都提到呢
[00:02:21.000 --> 00:02:23.000]  一啲猶太嘅假教師
[00:02:23.000 --> 00:02:26.000]  將唔應該教導嘅事呢
