
[00:00:00.000 --> 00:00:03.400]  多謝天父的恩典讓我們今天晚上
[00:00:03.400 --> 00:00:05.300]  雖然都是近年晚
[00:00:05.300 --> 00:00:07.300]  大家都會忙碌的
[00:00:07.300 --> 00:00:11.200]  多謝你讓我們一起再有機會去研讀聖經
[00:00:11.200 --> 00:00:16.800]  讓我們能夠對《馬拉基書》有掌握、有明白
[00:00:16.800 --> 00:00:20.800]  更加能夠在我們自己的生活敬拜
[00:00:20.800 --> 00:00:23.600]  能夠符合神的心意
[00:00:23.600 --> 00:00:25.200]  願祢帶領我們
[00:00:25.200 --> 00:00:27.600]  我們一起在祢面前等候禱告
[00:00:27.600 --> 00:00:29.700]  奉耶穌基督的名
[00:00:29.700 --> 00:00:31.300]  廈門
[00:00:31.300 --> 00:00:34.100]  都是緊接上一個星期
[00:00:34.100 --> 00:00:36.400]  有些是讀得不夠的
[00:00:36.400 --> 00:00:40.600]  上個星期本來想跟大家讀二十二章的
[00:00:40.600 --> 00:00:42.800]  但是就記錯了
[00:00:42.800 --> 00:00:44.300]  記錯了看了二十一章
[00:00:44.300 --> 00:00:49.300]  二十一章是講祭司的守則
[00:00:49.300 --> 00:00:54.300]  祭司是怎樣才合資格侍奉
[00:00:54.300 --> 00:00:58.200]  但是二十二章其實就跟《馬拉基書》
[00:00:58.200 --> 00:01:03.400]  第一章近尾和第二章是有直接關連的
[00:01:03.400 --> 00:01:07.600]  就是為什麼要責備當時的祭司
[00:01:07.600 --> 00:01:11.000]  就是他們獻的祭不符合規定
[00:01:11.000 --> 00:01:15.400]  什麼祭才是符合神的規定呢?
[00:01:15.400 --> 00:01:19.000]  二十二章就有這樣的教導
[00:01:19.000 --> 00:01:22.000]  二十二章你還沒記嗎?
[00:01:22.000 --> 00:01:24.400]  創出利民生
[00:01:24.400 --> 00:01:31.400]  即是摩西五經的第三卷書
[00:01:31.400 --> 00:01:34.200]  摩西五經的第三卷《利未記》
[00:01:34.200 --> 00:01:37.200]  《利未記》就是在抗耶的時候寫
[00:01:37.200 --> 00:01:40.000]  大概是一個月的時間
[00:01:40.000 --> 00:01:43.800]  就是他們出了埃及之後
[00:01:43.800 --> 00:01:51.400]  在西奈抗耶那裡頒佈律法
[00:01:51.400 --> 00:01:54.200]  第二十二章
[00:01:54.200 --> 00:01:58.600]  所以《利未記》就有二十七章
[00:01:58.600 --> 00:02:04.000]  所以是關乎到祭司的手冊
[00:02:04.000 --> 00:02:05.600]  祭司的手冊
[00:02:05.600 --> 00:02:08.800]  來做祭司
[00:02:08.800 --> 00:02:11.800]  二十二章是這樣說的
[00:02:11.800 --> 00:02:14.800]  耶和華對摩西說
[00:02:14.800 --> 00:02:18.200]  你吩咐亞倫和他子宣說
[00:02:18.200 --> 00:02:22.000]  要遠離以色列人所分別為性
[00:02:22.000 --> 00:02:24.200]  歸給我的聖物
[00:02:24.200 --> 00:02:26.800]  免得褻瀆我的姓名
[00:02:26.800 --> 00:02:28.800]  我是耶和華
[00:02:28.800 --> 00:02:31.000]  你要對他們說
[00:02:31.000 --> 00:02:33.800]  你們世世代代的後裔
[00:02:33.800 --> 00:02:36.000]  凡身上有污穢
