
[00:00:00.000 --> 00:00:04.200]  喂,大兄姊妹,午安
[00:00:04.200 --> 00:00:11.200]  我們一起用祈禱開始聆聽上帝的話
[00:00:11.200 --> 00:00:17.200]  祈求主祢在當中對我們說話
[00:00:17.200 --> 00:00:21.200]  祈求聖靈在我們每一個在座的大兄姊妹當中
[00:00:21.200 --> 00:00:25.200]  在網上一同去敬拜的大兄姊妹當中
[00:00:25.200 --> 00:00:29.200]  願祢的說話成為我們的提醒
[00:00:29.200 --> 00:00:33.200]  讓我們發現我們生命中的一些盲點
[00:00:33.200 --> 00:00:37.200]  讓我們能夠讓我們的生命被更新改變
[00:00:37.200 --> 00:00:42.200]  幫助我們教會成為一個合理喜悅的群體
[00:00:42.200 --> 00:00:46.200]  求主幫助孩子能夠清楚地說出祢的說話
[00:00:46.200 --> 00:00:48.200]  洪主命求,阿們
[00:00:48.200 --> 00:00:53.200]  今天這個題目是比較深的
[00:00:53.200 --> 00:00:55.200]  可能大家不太熟悉
[00:00:55.200 --> 00:01:02.200]  舊約裏面有關屠城的法律制度
[00:01:02.200 --> 00:01:04.200]  可能大家沒有聽過
[00:01:04.200 --> 00:01:07.200]  但如果你看回聖經
[00:01:07.200 --> 00:01:13.200]  其實文素記、生命記、約書記都有提及屠城
[00:01:13.200 --> 00:01:15.200]  什麼是屠城呢?
[00:01:15.200 --> 00:01:19.200]  屠城就是讓一個犯了事的人
[00:01:19.200 --> 00:01:21.200]  而他不是故意的
[00:01:21.200 --> 00:01:27.200]  他是殺了人,但他不經意殺了人的時候
[00:01:27.200 --> 00:01:31.200]  他可以立即逃跑到屠城裏面
[00:01:31.200 --> 00:01:35.200]  來避開別人的追殺
[00:01:35.200 --> 00:01:40.200]  這是舊約裏面一個很重要的法律概念
[00:01:40.200 --> 00:01:44.200]  對於以前的基斯利文來說
[00:01:44.200 --> 00:01:47.200]  以前沒有那麼多法律律師
[00:01:47.200 --> 00:01:49.200]  做一個很完善的法律制度
[00:01:49.200 --> 00:01:53.200]  以眼還眼,以牙還牙是一個很重要的精神
[00:01:53.200 --> 00:01:55.200]  他不是去報復
[00:01:55.200 --> 00:01:59.200]  而是給人一個公平、公義的對待
[00:01:59.200 --> 00:02:01.200]  當你去殺人的時候
[00:02:01.200 --> 00:02:04.200]  你就會去承擔相對的後果
[00:02:04.200 --> 00:02:05.200]  這是很重要的
[00:02:05.200 --> 00:02:09.200]  社會裏面不可以沒有公義的制度
[00:02:09.200 --> 00:02:14.200]  所以這是舊約裏面一個很慣常的事情
[00:02:14.200 --> 00:02:16.200]  如果有人殺人的時候
[00:02:16.200 --> 00:02:20.200]  死者的家屬可以自己去追討這個事件
[00:02:20.200 --> 00:02:23.200]  真正的復仇者概念
[00:02:23.200 --> 00:02:28.200]  他們能夠合法地去追討那個人的性命
[00:02:28.200 --> 00:02:32.200]  問題是如果當有些情況
[00:02:32.200 --> 00:02:36.200]  當他不是故意去殺人
[00:02:36.200 --> 00:02:38.200]  那怎樣處理呢?
[00:02:38.200 --> 00:02:40.200]  當他不是故意的時候
[00:02:40.200 --> 00:02:43.200]  社會裏面就出現了一個類似的概念
[00:02:43.200 --> 00:02:45.200]  其實這個概念很早就出現
[00:02:45.200 --> 00:02:48.200]  在文素記裏面
[00:02:48.200 --> 00:02:50.200]  在《出入紀律》也有類似的說法
[00:02:50.200 --> 00:02:53.200]  人若不是埋伏殺人
[00:02:53.200 --> 00:02:55.200]  乃是上帝交在他手中
[00:02:55.200 --> 00:02:57.200]  不是故意的,而是一個所謂的
[00:02:57.200 --> 00:02:59.200]  "Act of God"的出現
[00:02:59.200 --> 00:03:04.200]  他就設下一個地方可以往那裏逃跑
[00:03:04.200 --> 00:03:07.200]  所以人們就可以逃離某個神聖的地方
[00:03:07.200 --> 00:03:09.200]  人們就不能夠捉他
[00:03:09.200 --> 00:03:12.200]  後來在皇記上也有類似的記載
[00:03:12.200 --> 00:03:14.200]  如果你熟悉聖經的話
[00:03:14.200 --> 00:03:16.200]  在荷蘭門王上任的時候
[00:03:16.200 --> 00:03:18.200]  亞當尼亞就立即逃跑
[00:03:18.200 --> 00:03:21.200]  捉住那個祭壇的角
