
[00:00:00.000 --> 00:00:02.380]  好了 我們一起祈禱
[00:00:02.380 --> 00:00:04.020]  再一次我們感恩
[00:00:04.020 --> 00:00:06.560]  晚上我們有一個安靜的時間
[00:00:06.560 --> 00:00:10.000]  我們可以一起去研讀《羅馬書》
[00:00:10.000 --> 00:00:15.280]  逐段來思想《述道保羅》給我們的教訓
[00:00:15.280 --> 00:00:18.780]  多謝主給我們因為這封是一封書信
[00:00:18.780 --> 00:00:20.480]  去到結尾的時候
[00:00:20.480 --> 00:00:23.620]  也都真的有當時書信的格式
[00:00:23.620 --> 00:00:28.400]  對收信的人來去問安、祝福
[00:00:28.400 --> 00:00:33.120]  我們看到這一段的問安是相當不尋常
[00:00:33.120 --> 00:00:35.820]  因為出奇的多人
[00:00:35.820 --> 00:00:38.100]  而且是唯一一卷《羅馬書》
[00:00:38.100 --> 00:00:41.700]  保羅的書信有這麼大量的問候
[00:00:41.700 --> 00:00:45.040]  而且都不是一些重要的教會領袖
[00:00:45.040 --> 00:00:47.760]  有些可能是很普通的弟兄姊妹
[00:00:47.760 --> 00:00:53.520]  甚至有些名字在希臘文都是一些奴隸
[00:00:53.520 --> 00:00:56.040]  我們看到《述道保羅》
[00:00:56.040 --> 00:00:58.840]  都好像真的有一個用意
[00:00:58.840 --> 00:01:03.400]  透過問安來將一些好像很艱深
[00:01:03.400 --> 00:01:06.540]  很難明白的一些肅靈的道理
[00:01:06.540 --> 00:01:11.740]  透過生活、透過當時那些階層的複雜
[00:01:11.740 --> 00:01:16.480]  以及很明顯那些階級的分明
[00:01:16.480 --> 00:01:20.100]  以及真的有很多的貧富懸殊
[00:01:20.100 --> 00:01:24.240]  甚至乎有階級之間的那種競爭
[00:01:24.240 --> 00:01:27.960]  但是我們看到在基督裏面的這個合一
[00:01:27.960 --> 00:01:30.440]  這一份大家的平等
[00:01:30.440 --> 00:01:34.880]  大家在神裏面擺上的那個侍奉的生命
[00:01:34.880 --> 00:01:38.200]  就是這樣令到他感動著保羅
[00:01:38.200 --> 00:01:42.640]  我們所以真的需要很認真地從保羅的眼光
[00:01:42.640 --> 00:01:47.040]  去看人與人之間在救恩裏面
[00:01:47.040 --> 00:01:49.940]  在神將人拯救之後
[00:01:49.940 --> 00:01:53.920]  尤其是初期教會很明顯是有猶太人
[00:01:53.920 --> 00:01:58.180]  以及外邦人 而且外邦都分了不同的階層
[00:01:58.180 --> 00:02:00.800]  一起來到去聚會的時候
[00:02:00.800 --> 00:02:05.420]  就讓我們真的看到原來初期的教會
[00:02:05.420 --> 00:02:08.000]  已經是這樣來到去
[00:02:08.000 --> 00:02:12.640]  經驗到救恩帶來的那個生命的改變
[00:02:12.640 --> 00:02:15.340]  所以「探望神」都讓我們學習
[00:02:15.340 --> 00:02:18.360]  其實很多名字跟我們甚至乎
[00:02:18.360 --> 00:02:21.160]  絲毫沒有任何的聯想關係
[00:02:21.160 --> 00:02:24.600]  因為都是一些譯音 以及我們都不是
[00:02:24.600 --> 00:02:28.080]  在那些時代出現的人
