
[00:00:00.000 --> 00:00:03.000]  在會場裏運行
[00:00:03.000 --> 00:00:05.000]  叫你的話語
[00:00:05.000 --> 00:00:08.000]  發出的是有能力的呼召
[00:00:08.000 --> 00:00:11.000]  叫我們每一個都願意去跟隨
[00:00:11.000 --> 00:00:13.000]  一起在你面前等候禱告
[00:00:13.000 --> 00:00:15.000]  奉耶穌基督的名
[00:00:15.000 --> 00:00:17.000]  阿們
[00:00:17.000 --> 00:00:19.000]  選取這段經文
[00:00:19.000 --> 00:00:21.000]  特別是第六節
[00:00:21.000 --> 00:00:23.000]  應當一無掛慮
[00:00:23.000 --> 00:00:25.000]  這一段的經文
[00:00:25.000 --> 00:00:27.000]  剛剛這個禮拜呢
[00:00:27.000 --> 00:00:29.000]  有兩件事
[00:00:29.000 --> 00:00:31.000]  一件很開心的事
[00:00:31.000 --> 00:00:33.000]  一件都幾不開心的事
[00:00:33.000 --> 00:00:35.000]  先講開心的事
[00:00:35.000 --> 00:00:37.000]  不開心的事等下再講
[00:00:37.000 --> 00:00:40.000]  有一個家庭
[00:00:40.000 --> 00:00:44.000]  是五十年前的街坊
[00:00:44.000 --> 00:00:47.000]  剛剛這個禮拜回來香港
[00:00:47.000 --> 00:00:49.000]  第一站就探我們
[00:00:49.000 --> 00:00:52.000]  就是街坊輪舍
[00:00:52.000 --> 00:00:54.000]  其實這位太太和她的先生
[00:00:54.000 --> 00:00:56.000]  我的印象很模糊
[00:00:56.000 --> 00:00:58.000]  因為當時我都是五六歲
[00:00:58.000 --> 00:01:02.000]  我的姐姐和他們很熟
[00:01:02.000 --> 00:01:06.000]  我是和這個太太的弟弟很熟
[00:01:06.000 --> 00:01:08.000]  但當年很熟
[00:01:08.000 --> 00:01:10.000]  已經三十多年沒見了
[00:01:10.000 --> 00:01:12.000]  你想想那種快樂
[00:01:12.000 --> 00:01:14.000]  看著他們很開心地
[00:01:14.000 --> 00:01:16.000]  不停地拍照
[00:01:16.000 --> 00:01:17.000]  聊天
[00:01:17.000 --> 00:01:19.000]  講回童年時的生活
[00:01:19.000 --> 00:01:21.000]  很開心
[00:01:21.000 --> 00:01:23.000]  又很感恩
[00:01:23.000 --> 00:01:25.000]  又有另外一個神給我的恩典
[00:01:25.000 --> 00:01:27.000]  昨晚講完道之後
[00:01:27.000 --> 00:01:29.000]  就坐村巴出元朗
[00:01:29.000 --> 00:01:31.000]  一般在右新街下車
[00:01:31.000 --> 00:01:33.000]  再走去坐小巴
[00:01:33.000 --> 00:01:38.000]  昨晚因為剛好見到一對弟兄姊妹
[00:01:38.000 --> 00:01:40.000]  又是坐村巴
[00:01:40.000 --> 00:01:42.000]  因為很久沒見了
[00:01:42.000 --> 00:01:45.000]  以前主一學的一起的酬委
[00:01:45.000 --> 00:01:48.000]  不如陪他們下車
[00:01:48.000 --> 00:01:50.000]  在新元中下車走走
[00:01:50.000 --> 00:01:52.000]  誰知原來他們在新元中下車
[00:01:52.000 --> 00:01:53.000]  就上新元中
[00:01:53.000 --> 00:01:55.000]  我又沒得走沒得聊
[00:01:55.000 --> 00:01:57.000]  我就繞個大圈
[00:01:57.000 --> 00:01:59.000]  走去Yoho那裡
[00:01:59.000 --> 00:02:01.000]  再走回去雞仔
[00:02:01.000 --> 00:02:02.000]  走個大圈
[00:02:02.000 --> 00:02:03.000]  感恩啊
[00:02:03.000 --> 00:02:05.000]  神給我見到一位弟兄
[00:02:05.000 --> 00:02:08.000]  是我當年入神學院的時候
[00:02:08.000 --> 00:02:11.000]  他知道我沒地方住
[00:02:11.000 --> 00:02:13.000]  借間屋給我
[00:02:13.000 --> 00:02:15.000]  很久沒見了
[00:02:15.000 --> 00:02:16.000]  他和我走
[00:02:16.000 --> 00:02:18.000]  一路由Yoho這樣走
[00:02:18.000 --> 00:02:20.000]  講一下他現在的事況
[00:02:20.000 --> 00:02:22.000]  講一下我的事況
[00:02:22.000 --> 00:02:23.000]  這樣等等
[00:02:23.000 --> 00:02:25.000]  那種快樂又在那裡
[00:02:25.000 --> 00:02:28.000]  很感動我自己
[00:02:28.000 --> 00:02:30.000]  因為見到這位弟兄
[00:02:30.000 --> 00:02:33.000]  到現在仍然教主一學
[00:02:33.000 --> 00:02:35.000]  是我的主一學生
[00:02:35.000 --> 00:02:38.000]  你就會很大的快樂
[00:02:38.000 --> 00:02:42.000]  你見到他在不同的教會去服侍神
[00:02:42.000 --> 00:02:45.000]  這樣的美麗
[00:02:45.000 --> 00:02:50.000]  肥納比書就是這樣的寫作原因
[00:02:50.000 --> 00:02:54.000]  使徒保羅現在在羅馬坐監
[00:02:54.000 --> 00:02:57.000]  為主的福音坐監
[00:02:57.000 --> 00:03:00.000]  現在肥納比教會知道
[00:03:00.000 --> 00:03:04.000]  就差遣一個使者爾巴弗提
[00:03:04.000 --> 00:03:08.000]  帶著肥納比弟兄姊妹的捐項
[00:03:08.000 --> 00:03:10.000]  去找保羅
