
[00:00:00.000 --> 00:00:28.000]  宣導經文
[00:00:28.000 --> 00:00:30.000]  凡事都有定期
[00:00:30.000 --> 00:00:34.000]  天下每一事務都有定時
[00:00:34.000 --> 00:00:37.000]  生有時 死有時
[00:00:37.000 --> 00:00:40.000]  災中有時 拔出有時
[00:00:40.000 --> 00:00:44.000]  殺戮有時 醫治有時
[00:00:44.000 --> 00:00:48.000]  拆毀有時 建造有時
[00:00:48.000 --> 00:00:51.000]  哭有時 笑有時
[00:00:51.000 --> 00:00:55.000]  哀動有時 跳舞有時
[00:00:55.000 --> 00:00:59.000]  雕石頭有時 撿石頭有時
[00:00:59.000 --> 00:01:03.000]  懷抱有時 北抱有時
[00:01:03.000 --> 00:01:07.000]  尋找有時 失落有時
[00:01:07.000 --> 00:01:11.000]  保存有時 拋棄有時
[00:01:11.000 --> 00:01:15.000]  撕裂有時 縫補有時
[00:01:15.000 --> 00:01:19.000]  沉默有時 說話有時
[00:01:19.000 --> 00:01:23.000]  喜愛有時 恨惡有時
[00:01:23.000 --> 00:01:27.000]  戰爭有時 和平有時
[00:01:27.000 --> 00:01:32.000]  這樣做事的人在他所勞碌的事上
[00:01:32.000 --> 00:01:34.000]  得到什麼益處呢?
[00:01:34.000 --> 00:01:38.000]  我觀看神給世人的擔子
[00:01:38.000 --> 00:01:41.000]  使他們在其中勞苦
[00:01:41.000 --> 00:01:44.000]  神做萬物 各安其事
[00:01:44.000 --> 00:01:46.000]  成為美好
[00:01:46.000 --> 00:01:50.000]  又將永恆安放在世人心裡
[00:01:50.000 --> 00:01:54.000]  然而神從此至終的作為
[00:01:54.000 --> 00:01:56.000]  人不能拆透
[00:01:57.000 --> 00:01:58.000]  感謝主
[00:01:58.000 --> 00:02:01.000]  今日有我們熟悉的顧問牧師
[00:02:01.000 --> 00:02:04.000]  陳一華牧師在我們當中靜悟
[00:02:04.000 --> 00:02:07.000]  講題是「人生交叉點」
[00:02:07.000 --> 00:02:09.000]  恭請陳牧師靜悟
[00:02:09.000 --> 00:02:17.000]  稟小妹 早晨
[00:02:17.000 --> 00:02:20.000]  今早我們午堂之前
[00:02:20.000 --> 00:02:24.000]  教會召開了會員大會
[00:02:24.000 --> 00:02:26.000]  很感謝天父
[00:02:26.000 --> 00:02:29.000]  整個會員大會裡
[00:02:29.000 --> 00:02:32.000]  我們聽到很多感恩的事項
[00:02:32.000 --> 00:02:34.000]  包括了過去一年
[00:02:34.000 --> 00:02:38.000]  教會的牧羊的工作 福音的工作
[00:02:38.000 --> 00:02:42.000]  教會的幼稚園 財政
[00:02:42.000 --> 00:02:47.000]  總而言之是很豐富的分享會
[00:02:47.000 --> 00:02:48.000]  所以我想了想
[00:02:48.000 --> 00:02:53.000]  我應該用兩個字形容今次的會員大會
[00:02:53.000 --> 00:02:59.000]  總結過去一年上帝在錦宣家的恩典
[00:02:59.000 --> 00:03:01.000]  我用哪兩個字呢
[00:03:01.000 --> 00:03:03.000]  就是豐收
[00:03:03.000 --> 00:03:05.000]  我們很感謝天父
[00:03:05.000 --> 00:03:09.000]  雖然我們遇到很多的考驗
[00:03:09.000 --> 00:03:13.000]  像財政的大兄說的如履薄冰
[00:03:13.000 --> 00:03:16.000]  但上帝的供應都是很豐富很信實
[00:03:16.000 --> 00:03:20.000]  雖然我們人事上有些變動
[00:03:20.000 --> 00:03:23.000]  但上帝也有他的供應
[00:03:23.000 --> 00:03:27.000]  也給我們很多機會去分享
[00:03:27.000 --> 00:03:31.000]  還有很多宣教福音的機會
