
[00:00:00.000 --> 00:00:07.000]  馬太福音13章24-30,36-43節
[00:00:07.000 --> 00:00:19.000]  耶穌有設過比喻對他們說
[00:00:19.000 --> 00:00:23.000]  天國好比人殺好種在田裡
[00:00:23.000 --> 00:00:26.000]  在人睡覺的時候,他的仇敵來
[00:00:26.000 --> 00:00:30.000]  把雜草撒在墨子裡就走了
[00:00:30.000 --> 00:00:33.000]  到長苗吐水的時候
[00:00:33.000 --> 00:00:36.000]  雜草也顯出來
[00:00:36.000 --> 00:00:39.000]  地主的僕人進前來對他說
[00:00:39.000 --> 00:00:44.000]  主啊,你不是殺好種在田裡嗎?
[00:00:44.000 --> 00:00:47.000]  那裡來的雜草呢?
[00:00:47.000 --> 00:00:49.000]  主人回答他們
[00:00:49.000 --> 00:00:51.000]  這是仇敵做的
[00:00:51.000 --> 00:00:53.000]  僕人對他說
[00:00:53.000 --> 00:00:56.000]  你要我們去拔掉嗎?
[00:00:56.000 --> 00:01:00.000]  主人說不要,恐怕拔雜草
[00:01:00.000 --> 00:01:04.000]  也把墨子連根拔出來
[00:01:04.000 --> 00:01:07.000]  讓這兩樣起長,等到收割
[00:01:07.000 --> 00:01:11.000]  當收割的時候,我會對收割的人說
[00:01:11.000 --> 00:01:14.000]  先把雜草拔出來
[00:01:14.000 --> 00:01:17.000]  菌成菌,留著消
[00:01:17.000 --> 00:01:21.000]  把墨子收在我的倉裡
[00:01:21.000 --> 00:01:24.000]  第36節
[00:01:24.000 --> 00:01:29.000]  當時,耶穌離開眾人,進了屋子
[00:01:29.000 --> 00:01:33.000]  他的門徒進前來說
[00:01:33.000 --> 00:01:37.000]  請把田間雜草的比喻講給我們聽
[00:01:37.000 --> 00:01:39.000]  他回答
[00:01:39.000 --> 00:01:42.000]  那殺好種的就是人子
[00:01:42.000 --> 00:01:44.000]  田地就是世界
[00:01:44.000 --> 00:01:47.000]  好種就是天國之子
[00:01:47.000 --> 00:01:51.000]  雜草就是那邪惡者之子
[00:01:51.000 --> 00:01:54.000]  殺雜草的仇敵就是魔鬼
[00:01:54.000 --> 00:01:58.000]  收割的時候就是世代的終結
[00:01:58.000 --> 00:02:01.000]  收割的人就是天使
[00:02:01.000 --> 00:02:05.000]  正如把雜草拔出來用火焚燒
[00:02:05.000 --> 00:02:08.000]  世代的終結也要如此
[00:02:08.000 --> 00:02:11.000]  人子要猜他的使者
[00:02:11.000 --> 00:02:14.000]  把一切使人跌倒的和作惡的
[00:02:14.000 --> 00:02:17.000]  從他的國裡挑出來
[00:02:17.000 --> 00:02:19.000]  雕在火爐裡
[00:02:19.000 --> 00:02:22.000]  在那裡哀哭切齒了
[00:02:22.000 --> 00:02:25.000]  那時,義人要在他們父的國裡
[00:02:25.000 --> 00:02:27.000]  發出光來
[00:02:27.000 --> 00:02:29.000]  像太陽一樣
[00:02:29.000 --> 00:02:32.000]  有耳的就應當聽
[00:02:32.000 --> 00:02:35.000]  現在把時間交給高博士
[00:02:35.000 --> 00:02:44.000]  (掌聲)
[00:02:44.000 --> 00:02:46.000]  (主席) 頂姐妹晚安
[00:02:46.000 --> 00:02:49.000]  我們一起祈禱
[00:02:49.000 --> 00:02:51.000]  慈悲人愛的天父
[00:02:51.000 --> 00:02:54.000]  我們知道你是啟示的上帝
[00:02:54.000 --> 00:02:58.000]  你猜怕耶穌基督來到世上
[00:02:58.000 --> 00:03:00.000]  為了我們罪的緣故
[00:03:00.000 --> 00:03:02.000]  死在十字架上
[00:03:02.000 --> 00:03:05.000]  你又在這個在世的日子
[00:03:05.000 --> 00:03:07.000]  說了很多的比喻
