
[00:00:00.000 --> 00:00:03.000]  (主席)今日的講題是《逆風的禱告》
[00:00:03.000 --> 00:00:08.000]  經文是記載在《路加福音》一章四十六至五十五節
[00:00:08.000 --> 00:00:12.000]  新約聖經的第八十六至八十七頁
[00:00:12.000 --> 00:00:18.000]  經文是記載在《路加福音》一章四十六至五十五節
[00:00:18.000 --> 00:00:21.000]  新約聖經的第八十六至八十七頁
[00:00:21.000 --> 00:00:23.000]  找到的話請聽我讀出
[00:00:23.000 --> 00:00:29.000]  瑪利亞說:我心尊主為大
[00:00:29.000 --> 00:00:32.000]  我寧以臣我的救主為樂
[00:00:32.000 --> 00:00:35.000]  因為他顧念他侍女的卑微
[00:00:35.000 --> 00:00:39.000]  從今以後萬代要稱我有福
[00:00:39.000 --> 00:00:42.000]  因為有權能的為我做了大事
[00:00:42.000 --> 00:00:44.000]  他的名是盛的
[00:00:44.000 --> 00:00:47.000]  他憐憫敬畏他的人
[00:00:47.000 --> 00:00:49.000]  直到世世代代
[00:00:49.000 --> 00:00:53.000]  他用旁臂施展大能
[00:00:53.000 --> 00:00:57.000]  他廣散心裡妄想的狂傲人
[00:00:57.000 --> 00:01:00.000]  他叫有權柄的實為
[00:01:00.000 --> 00:01:03.000]  叫卑賤的性告
[00:01:03.000 --> 00:01:06.000]  他叫飢餓的飽餐美食
[00:01:06.000 --> 00:01:09.000]  叫富足的空手回去
[00:01:09.000 --> 00:01:12.000]  他輔助了他的僕人以色列
[00:01:12.000 --> 00:01:14.000]  不忘記施憐憫
[00:01:14.000 --> 00:01:17.000]  正如他對我們的列祖說過
[00:01:17.000 --> 00:01:20.000]  憐憫阿伯拉罕和他的後裔
[00:01:20.000 --> 00:01:21.000]  直到永遠
[00:01:21.000 --> 00:01:23.000]  恭請將時間交給阿宰
[00:01:23.000 --> 00:01:29.000]  (教會暫停會議)
[00:01:29.000 --> 00:01:32.000]  (教會暫停會議)
[00:01:32.000 --> 00:01:35.000]  (教會暫停會議)
[00:01:35.000 --> 00:01:38.000]  (教會暫停會議)
[00:01:38.000 --> 00:01:41.000]  (教會暫停會議)
[00:01:42.000 --> 00:01:45.000]  (教會暫停會議)
[00:01:45.000 --> 00:01:48.000]  (教會暫停會議)
[00:01:48.000 --> 00:01:51.000]  (教會暫停會議)
[00:01:51.000 --> 00:01:54.000]  (教會暫停會議)
[00:01:54.000 --> 00:01:57.000]  讓你自己的說話成為我們生命的根生
[00:01:57.000 --> 00:02:00.000]  讓我們反思我們的禱告
[00:02:00.000 --> 00:02:02.000]  反思我們在這個年代
[00:02:02.000 --> 00:02:03.000]  今天的香港
[00:02:03.000 --> 00:02:04.000]  今天的中國裏面
[00:02:04.000 --> 00:02:07.000]  我們怎樣去面對這個世代
[00:02:07.000 --> 00:02:10.000]  教導我們做一個合理心意的
[00:02:10.000 --> 00:02:11.000]  你所喜悅的
[00:02:11.000 --> 00:02:12.000]  好憐憫的人
[00:02:12.000 --> 00:02:14.000]  求主你幫助我們
[00:02:14.000 --> 00:02:15.000]  逢主明求
[00:02:15.000 --> 00:02:16.000]  阿們
