
[00:00:00.000 --> 00:00:02.000]  曾俊貴牧師為我們正道
[00:00:02.000 --> 00:00:04.800]  他的講題是「天父的心」
[00:00:04.800 --> 00:00:06.300]  在講到之前
[00:00:06.300 --> 00:00:09.000]  請先聽我讀出一段經文
[00:00:09.000 --> 00:00:11.500]  經文記載在《路加福音》
[00:00:11.500 --> 00:00:15.000]  15章11節到32節
[00:00:15.000 --> 00:00:20.000]  在我們教會的聖經新約第118頁
[00:00:20.000 --> 00:00:26.000]  《路加福音》15章11節到32節
[00:00:26.000 --> 00:00:28.500]  找到的時候請聽我讀出
[00:00:28.500 --> 00:00:30.500]  15章11節
[00:00:31.000 --> 00:00:32.500]  耶穌又說
[00:00:32.500 --> 00:00:35.000]  一個人有兩個兒子
[00:00:35.000 --> 00:00:37.000]  小兒子對父親說
[00:00:37.000 --> 00:00:41.000]  父親,請你把我應得的家業分給我
[00:00:41.000 --> 00:00:44.500]  他父親就把財產分給他們
[00:00:44.500 --> 00:00:46.500]  過了不多幾天
[00:00:46.500 --> 00:00:51.000]  小兒子把他一切所有的都收拾起來
[00:00:51.000 --> 00:00:53.000]  往遠方去了
[00:00:53.000 --> 00:00:58.000]  在那裡他任意放蕩浪費錢財
[00:00:58.000 --> 00:01:01.500]  他耗盡了一切所有的
[00:01:01.500 --> 00:01:04.500]  又恰逢那地方有大饑荒
[00:01:04.500 --> 00:01:06.500]  就窮困起來
[00:01:06.500 --> 00:01:11.500]  於是他去投靠當地的一個居民
[00:01:11.500 --> 00:01:15.000]  那人打發他到田裡去放豬
[00:01:15.000 --> 00:01:18.500]  他恨不得那豬所吃的豆腐蝦充饑
[00:01:18.500 --> 00:01:21.500]  也沒有人給他什麼吃的
[00:01:21.500 --> 00:01:24.500]  他醒不過來說
[00:01:24.500 --> 00:01:28.500]  我父親有多少故宮,糧食有餘
[00:01:28.500 --> 00:01:31.500]  我倒在這裡餓死嗎?
[00:01:31.500 --> 00:01:33.000]  第18節
[00:01:33.000 --> 00:01:36.500]  我要起來到我父親那裡去
[00:01:36.500 --> 00:01:37.500]  對他說
