
[00:00:00.000 --> 00:00:04.000]  好,大英姐妹主女平安,都聽得清楚吧
[00:00:04.000 --> 00:00:09.000]  又回來跟大家講道,其實都很開心的
[00:00:09.000 --> 00:00:14.000]  我覺得去了監牢之後少了跟大家機會講道
[00:00:14.000 --> 00:00:18.000]  能夠回來講道都是感謝主
[00:00:18.000 --> 00:00:21.000]  今日這個經文其實是有少少長的
[00:00:21.000 --> 00:00:26.000]  同時又是有少少難講的,不過曾牧師吩咐了就要講了
[00:00:26.000 --> 00:00:34.000]  其實保羅講論的時候,其實他是處於一個處境
[00:00:34.000 --> 00:00:39.000]  他想去耶路撒冷過節
[00:00:39.000 --> 00:00:43.000]  他經過一個地方叫米利都,是一個停留的地方
[00:00:43.000 --> 00:00:49.000]  他專登叫人去叫伊弗所教會的長老來見他
[00:00:49.000 --> 00:00:55.000]  米利都這個地方和伊弗所原來相距三天的路程
[00:00:55.000 --> 00:00:58.000]  三天的路程你專登叫人來見你
[00:00:58.000 --> 00:01:01.000]  不是簡單的一件事來的
[00:01:01.000 --> 00:01:05.000]  你想一下,雖然我們現在很發達
[00:01:05.000 --> 00:01:10.000]  去到什麼地方都很少可說要坐飛機超過24小時
[00:01:10.000 --> 00:01:13.000]  但是可能疫情底下你會覺得
[00:01:13.000 --> 00:01:16.000]  我去一個地方之後要隔離14天
[00:01:16.000 --> 00:01:18.000]  回來又要隔離14天
[00:01:18.000 --> 00:01:22.000]  如果你不是有什麼特別原因你都不會專登走去
[00:01:22.000 --> 00:01:28.000]  你不會為了去台灣吃個特色的食物
[00:01:28.000 --> 00:01:31.000]  吃個鳳梨酥然後就去隔離14天的,不會的
[00:01:31.000 --> 00:01:35.000]  所以一定是有一些很重要的理由
[00:01:35.000 --> 00:01:38.000]  所以才會要求伊弗所的長老
[00:01:38.000 --> 00:01:42.000]  走三天來到他的庚前去聽他說話
[00:01:42.000 --> 00:01:48.000]  很可能保羅其實他已經知道自己時日無多
[00:01:48.000 --> 00:01:52.000]  因為二十五節那裡說現在我知道你們眾人以後
[00:01:52.000 --> 00:01:55.000]  不會再見到我的面料
[00:01:55.000 --> 00:01:59.000]  其實前面的經文已經說了保羅他知道
[00:01:59.000 --> 00:02:04.000]  這次去耶路撒冷其實是有困所和患難等著他
[00:02:04.000 --> 00:02:07.000]  聖靈是催迫他去耶路撒冷的
[00:02:07.000 --> 00:02:10.000]  他也都告訴了保羅是有危險的
[00:02:10.000 --> 00:02:14.000]  分分鐘這次去到耶路撒冷就是有去無回的
[00:02:14.000 --> 00:02:16.000]  事實上我們都知道
[00:02:16.000 --> 00:02:20.000]  所以他要把握這次的機會
[00:02:20.000 --> 00:02:23.000]  他和伊弗所的長老說話
[00:02:23.000 --> 00:02:26.000]  很可能就是最後一次
[00:02:26.000 --> 00:02:28.000]  在教會歷史裏面
[00:02:28.000 --> 00:02:32.000]  曾經有一段時間很流行一種叫殉道士的情懷
[00:02:32.000 --> 00:02:35.000]  即是怎樣為之殉道士的情懷呢
[00:02:35.000 --> 00:02:39.000]  那些人認為為神殉道是一件很光榮很偉大的事
[00:02:39.000 --> 00:02:42.000]  事實上是很光榮很偉大的
[00:02:42.000 --> 00:02:45.000]  逃避殉道是很羞恥的事
[00:02:45.000 --> 00:02:50.000]  但問題是他們會追求殉道的榮譽
[00:02:50.000 --> 00:02:52.000]  他們會追求那種殉道榮譽
[00:02:52.000 --> 00:02:55.000]  即是主動去殉道有機會就要去送死
[00:02:55.000 --> 00:03:00.000]  其實輕看自己的生命是有問題的
[00:03:00.000 --> 00:03:04.000]  我們基督徒是不應該輕看上帝所創造的生命
[00:03:04.000 --> 00:03:05.000]  所以我要提醒
[00:03:05.000 --> 00:03:08.000]  保羅他的殉道是有聖靈的帶領的
[00:03:08.000 --> 00:03:11.000]  經文都說是聖靈催促他的
[00:03:11.000 --> 00:03:13.000]  他的殉道是神的意思
[00:03:13.000 --> 00:03:15.000]  而不是人的意思
[00:03:15.000 --> 00:03:17.000]  殉道是很偉大
[00:03:17.000 --> 00:03:19.000]  但我們要珍惜自己的生命
[00:03:19.000 --> 00:03:21.000]  就算是保羅
[00:03:21.000 --> 00:03:24.000]  其實你都見到他有逃走的情況
[00:03:24.000 --> 00:03:26.000]  同樣在那二十章
[00:03:26.000 --> 00:03:29.000]  他知道那些猶太人想設計陷害他
[00:03:29.000 --> 00:03:31.000]  他就逃走
[00:03:31.000 --> 00:03:32.000]  他就離開了
[00:03:32.000 --> 00:03:34.000]  他改變了他的行程
[00:03:34.000 --> 00:03:37.000]  所以我們作為基督徒又要明白
[00:03:37.000 --> 00:03:41.000]  為主的犧牲都要有上帝的帶領
[00:03:41.000 --> 00:03:43.000]  我們要有靈巧的
[00:03:43.000 --> 00:03:45.000]  好像靈巧像蛇一樣
[00:03:45.000 --> 00:03:47.000]  純良像甲子
[00:03:47.000 --> 00:03:49.000]  所以我們回到這段經文所說的
[00:03:49.000 --> 00:03:52.000]  重點是不是保羅的殉道呢?
[00:03:52.000 --> 00:03:54.000]  重點不是保羅的殉道
[00:03:54.000 --> 00:03:57.000]  而是他知道他這一段糞便
[00:03:57.000 --> 00:03:59.000]  可能是最後一次
