
[00:00:00.000 --> 00:00:04.860]  各位頂姐妹 主裡面平安 聖誕快樂
[00:00:04.860 --> 00:00:09.520]  也有些是今天第一次來錦宣家聚會的朋友
[00:00:09.520 --> 00:00:11.460]  可不可以都舉一舉手
[00:00:11.460 --> 00:00:15.260]  彼此可以在主裡面聞安 認識
[00:00:15.260 --> 00:00:19.460]  有些是最近很少來的 都不是很認識來的
[00:00:19.460 --> 00:00:21.260]  有些面孔比較陌生的
[00:00:21.260 --> 00:00:23.020]  有沒有呢 可以舉一舉手
[00:00:23.020 --> 00:00:25.600]  彼此來在主裡面有認識
[00:00:25.600 --> 00:00:31.500]  都有的 歡迎你
[00:00:31.500 --> 00:00:34.000]  當然也有些很久都沒有來
[00:00:34.000 --> 00:00:39.600]  今天又見到面 也在主裡面歡迎彼此來有聞安
[00:00:39.600 --> 00:00:44.200]  聖誕快樂是很容易說的一句話
[00:00:44.200 --> 00:00:49.300]  相信就算不信的人 都會說聖誕快樂的
[00:00:49.300 --> 00:00:53.900]  但是要讓一個人內心感受到
[00:00:53.900 --> 00:00:59.200]  神在他的內心裡面 有這一種的生命力量
[00:00:59.200 --> 00:01:02.100]  而令到他能夠無論在什麼環境
[00:01:02.100 --> 00:01:05.100]  他都能夠平安 喜樂
[00:01:05.100 --> 00:01:07.900]  而且那份的喜樂是一份滿足
[00:01:07.900 --> 00:01:13.000]  這個就需要好像一種的翻譯 一種的解碼
[00:01:13.000 --> 00:01:17.900]  盼望這一段聖經成為我們大家一起彼此的護面
[00:01:17.900 --> 00:01:22.500]  其實自從耶穌降生在伯利恆
[00:01:22.500 --> 00:01:26.600]  最不快樂的就是猶太教的人
[00:01:26.600 --> 00:01:29.300]  因為主耶穌一直的長大
[00:01:29.300 --> 00:01:32.400]  一直到他三十歲出來傳道
[00:01:32.400 --> 00:01:36.200]  就是要完全的顛覆猶太教
[00:01:36.200 --> 00:01:43.800]  不容許猶太教還是這樣帶著舊有的憲制的系統
[00:01:43.800 --> 00:01:47.800]  以為這樣就可以達到神的面前
[00:01:47.800 --> 00:01:52.800]  所以猶太教的人是最不喜歡耶穌的降生
[00:01:52.800 --> 00:01:55.600]  其實今天的伯利恆一樣
[00:01:55.600 --> 00:01:58.300]  猶太人都封鎖伯利恆
[00:01:58.300 --> 00:02:02.800]  不讓阿拉伯人 巴勒斯坦人出來
[00:02:02.800 --> 00:02:06.100]  他們是很不喜歡這一位的耶穌
[00:02:06.100 --> 00:02:09.900]  說自己是由天而來的尼塞亞
[00:02:09.900 --> 00:02:12.200]  到今天還是這樣
[00:02:12.200 --> 00:02:15.300]  但是這段聖經告訴我們
[00:02:15.300 --> 00:02:20.500]  原來主耶穌就是那一位設立新約
[00:02:20.500 --> 00:02:25.000]  神與人立一個站身的約
[00:02:25.000 --> 00:02:29.800]  那個約的條款如果能夠有效的來執行
[00:02:29.800 --> 00:02:32.300]  就有三個大方面了
[00:02:32.300 --> 00:02:36.400]  就是神的律法會寫在人的心裡
[00:02:36.400 --> 00:02:38.800]  這個是第十節
[00:02:38.800 --> 00:02:42.600]  我要將我的律法放在他們的裡面
[00:02:42.600 --> 00:02:44.900]  寫在他們的心上
[00:02:44.900 --> 00:02:47.000]  我要作他們的神
[00:02:47.000 --> 00:02:49.700]  他們要作我的子民
[00:02:49.700 --> 00:02:54.600]  他們不需要再有其他人教他們要認識神
[00:02:54.600 --> 00:02:57.300]  因為從最大到最小
[00:02:57.300 --> 00:02:59.300]  他們都會認識神
[00:02:59.300 --> 00:03:01.000]  這是第一方面
[00:03:01.000 --> 00:03:05.800]  這個新約如果能夠去到每一個人的心靈裡面
[00:03:05.800 --> 00:03:09.300]  就能夠帶來這一種這麼大的力量
[00:03:09.300 --> 00:03:11.700]  對真神的認識
[00:03:11.700 --> 00:03:14.600]  而且是心靈裡面的一個認識
[00:03:14.600 --> 00:03:15.900]  這是第一方面
[00:03:15.900 --> 00:03:18.400]  第二方面就是第十二節
[00:03:18.400 --> 00:03:20.900]  我要寬恕他們的不義
[00:03:20.900 --> 00:03:23.800]  不再紀念他們的罪孽
[00:03:23.800 --> 00:03:26.100]  藉著耶穌
[00:03:26.100 --> 00:03:28.700]  藉著這一位的救贖主
[00:03:28.700 --> 00:03:34.600]  就可以得著與神完全沒有罪惡的阻隔
