
[00:00:00.000 --> 00:00:02.760]  我們一邊祈禱一邊等待
[00:00:02.760 --> 00:00:05.000]  再一次感謝主
[00:00:05.000 --> 00:00:08.480]  招聚我們去研讀神理的話語
[00:00:08.480 --> 00:00:13.000]  我們很快已經到達第十九章啟示錄
[00:00:13.000 --> 00:00:17.000]  很盼望在最後這四章聖經
[00:00:17.000 --> 00:00:19.480]  我們能夠更加掌握
[00:00:19.480 --> 00:00:21.240]  讓我們看到
[00:00:21.240 --> 00:00:24.600]  做物主是至宗德性的主
[00:00:24.600 --> 00:00:27.400]  地上種種的
[00:00:27.400 --> 00:00:29.360]  敵黨神的事情
[00:00:29.640 --> 00:00:32.720]  無論是用什麼方式的呈現
[00:00:32.720 --> 00:00:34.480]  例如狄基督
[00:00:34.480 --> 00:00:36.040]  海獸
[00:00:36.040 --> 00:00:37.200]  地獸
[00:00:37.200 --> 00:00:39.800]  或者是大熊龍
[00:00:39.800 --> 00:00:41.120]  魔鬼
[00:00:41.120 --> 00:00:43.760]  或者是大淫婦
[00:00:43.760 --> 00:00:47.040]  或者是一個奧秘的巴比倫大城
[00:00:47.040 --> 00:00:49.200]  這一切的體系
[00:00:49.200 --> 00:00:52.720]  都要至宗在我們的救贖主
[00:00:52.720 --> 00:00:54.280]  再回來的時候
[00:00:54.280 --> 00:00:57.760]  都要完全的來到失敗
[00:00:57.920 --> 00:00:59.760]  和被征服
[00:00:59.760 --> 00:01:01.160]  我們很盼望
[00:01:01.160 --> 00:01:04.080]  我們對於真理的渴求
[00:01:04.080 --> 00:01:06.080]  對於公義的持守
[00:01:06.080 --> 00:01:08.800]  都能夠在神的面前
[00:01:08.800 --> 00:01:10.960]  來到堅持到底
[00:01:10.960 --> 00:01:14.000]  直到見主的榮面的時候
[00:01:14.000 --> 00:01:16.080]  幫助我們能夠看到
[00:01:16.080 --> 00:01:17.440]  這些的預言
[00:01:17.440 --> 00:01:20.280]  這些將來一定會發生的事情
[00:01:20.280 --> 00:01:24.240]  雖然我們肯定我們不能夠掌握是什麼時間
[00:01:24.240 --> 00:01:26.200]  也都不可以去計算
[00:01:26.320 --> 00:01:28.040]  但是我們知道
[00:01:28.040 --> 00:01:30.280]  主耶穌一定會再回來
[00:01:30.280 --> 00:01:32.200]  來拯救我們
[00:01:32.200 --> 00:01:34.880]  和來結束一切的罪惡
[00:01:34.880 --> 00:01:37.560]  所以我們就求主讓我們有這個盼望
[00:01:37.560 --> 00:01:39.320]  去研讀的時候
[00:01:39.320 --> 00:01:41.320]  都明白裡面的經文
[00:01:41.320 --> 00:01:44.120]  我們今天晚上在你面前等候禱告
[00:01:44.120 --> 00:01:46.520]  奉耶穌基督的名
[00:01:46.520 --> 00:01:47.560]  阿們
[00:01:47.560 --> 00:01:49.960]  其實第十二
