
[00:00:00.000 --> 00:00:02.240]  各位電影姐妹主持人們,平安
[00:00:02.240 --> 00:00:06.840]  我交這個題目給別人的時候
[00:00:06.840 --> 00:00:09.120]  通常收到的第一個反應就是
[00:00:09.120 --> 00:00:11.120]  問我「1」字是不是在這裡
[00:00:11.120 --> 00:00:14.760]  然後就會問我是不是有「2」字
[00:00:14.760 --> 00:00:17.920]  我回答他不是有「2」字,可能是有「3」字
[00:00:17.920 --> 00:00:21.000]  因為其實「安息」這個題目我覺得很重要
[00:00:21.000 --> 00:00:24.080]  還有很多很多東西要說
[00:00:24.080 --> 00:00:26.800]  那麼多東西要說,一次說不完
[00:00:26.800 --> 00:00:30.440]  我們就斬件上下分開
[00:00:30.440 --> 00:00:34.840]  「安息」對於我來說是一個很重要的神學概念
[00:00:34.840 --> 00:00:38.640]  甚至我奇怪,原來我來了錦宣三年多四年
[00:00:38.640 --> 00:00:40.400]  我竟然沒有說過這個題目
[00:00:40.400 --> 00:00:44.120]  我問人,或者我查我以前說過的,竟然沒有說過
[00:00:44.120 --> 00:00:47.280]  所以我覺得需要去到很認真地說
[00:00:47.280 --> 00:00:49.680]  首先問一下什麼叫「安息」呢
[00:00:49.680 --> 00:00:52.040]  「安息」是不是放假休息呢
[00:00:52.040 --> 00:00:54.400]  是不是有些人會問「安息日」
[00:00:54.400 --> 00:00:57.440]  是不是回來做崇拜就叫做「安息日」呢
[00:00:57.440 --> 00:01:00.160]  那麼「安息」是什麼呢?我們來看看
[00:01:00.160 --> 00:01:02.160]  首先第一樣「安息」
[00:01:02.160 --> 00:01:05.160]  又不聽話了
[00:01:05.160 --> 00:01:06.960]  「安息」是好
[00:01:06.960 --> 00:01:10.520]  「安息」當然是好,上帝要我們安息
[00:01:10.520 --> 00:01:13.280]  「安息」是好,這句好像有點廢話
[00:01:13.280 --> 00:01:16.880]  但是我需要跟大家看看到底「安息」有多好
[00:01:16.880 --> 00:01:18.400]  有一些經文
[00:01:18.400 --> 00:01:20.040]  這些是來自《創世紀》的
[00:01:20.040 --> 00:01:24.360]  我選了一些創造的時候的經文
[00:01:24.360 --> 00:01:25.360]  那麼
[00:01:25.360 --> 00:01:27.160]  說到上帝創造
[00:01:27.160 --> 00:01:30.160]  「神說要有光就有了光,神看光是好的」
[00:01:30.160 --> 00:01:32.360]  於是就將光暗分開了
[00:01:32.360 --> 00:01:37.840]  「創造地的時候,天下的水要聚成一處,使乾地露出來,事就將成了」
[00:01:37.840 --> 00:01:43.040]  「神稱乾地為地,聚集一起的水為海,神看是好的」
[00:01:43.040 --> 00:01:47.320]  又不聽話
[00:01:47.320 --> 00:01:49.840]  上回一頁
[00:01:50.640 --> 00:01:52.440]  其實也類似
[00:01:52.440 --> 00:01:56.440]  「地長出植物,含五穀的蔬菜,各從其類」
[00:01:56.440 --> 00:02:00.920]  「果子又各從其類,裡面的樹也各從其類」
[00:02:00.920 --> 00:02:03.560]  「神看是好的」
[00:02:03.560 --> 00:02:06.040]  於是就做了兩個大光體
[00:02:06.040 --> 00:02:07.640]  太陽、月亮
[00:02:07.640 --> 00:02:09.320]  將星體放在天上
[00:02:09.320 --> 00:02:13.560]  「管理晝夜,分別光暗,神看為好的」
[00:02:13.560 --> 00:02:15.960]  下一頁
[00:02:15.960 --> 00:02:17.280]  那麼
[00:02:17.640 --> 00:02:21.720]  「神就造了大魚和水中滋生的各種動物,各從其類」
[00:02:21.720 --> 00:02:25.080]  「以及有翅膀的鳥,各從其類,神看為好的」
[00:02:25.080 --> 00:02:27.480]  接著做的走獸一樣
[00:02:27.480 --> 00:02:28.000]  「是好的」
[00:02:28.000 --> 00:02:29.600]  那麼我不囉嗦了,下一頁,謝謝
[00:02:29.600 --> 00:02:33.120]  「神看一切所做的,就覺得非常好」
[00:02:33.120 --> 00:02:35.040]  這是最後的說法
[00:02:35.040 --> 00:02:37.160]  當神創造了人之後
[00:02:37.160 --> 00:02:39.640]  他的說法就是
[00:02:39.640 --> 00:02:42.360]  看到他自己所做的一切就非常好
[00:02:42.360 --> 00:02:43.360]  到第七天
[00:02:44.560 --> 00:02:46.760]  「神已經做完了造物之工」
[00:02:46.760 --> 00:02:51.760]  「就在第七天安息了,揭了祂所做的一切的工」
[00:02:51.760 --> 00:02:55.240]  其實有些人會覺得
[00:02:55.240 --> 00:02:56.960]  安息就是停工
[00:02:56.960 --> 00:02:58.680]  就是休息
[00:02:58.680 --> 00:03:01.080]  安息就是停工,休息就是休息
[00:03:01.080 --> 00:03:04.040]  事實上,神是否真的停下手不工作呢?
[00:03:04.040 --> 00:03:06.760]  是否真的不工作呢?
[00:03:06.760 --> 00:03:07.800]  當然不是
[00:03:07.800 --> 00:03:10.600]  首先我要說的是,神是不需要休息的
[00:03:10.600 --> 00:03:12.640]  神是不需要休息的
[00:03:12.640 --> 00:03:15.040]  我們看一看詩篇,那裡是這樣說的
