
[00:00:00.000 --> 00:00:04.000]  《耶利米書》一章一至十九節
[00:00:04.000 --> 00:00:06.000]  請大家聽我將經文讀出
[00:00:06.000 --> 00:00:08.000]  今日經文比較長的
[00:00:08.000 --> 00:00:36.000]  (主持人翻譯)
[00:00:36.000 --> 00:00:39.000]  就是第十一年五月間
[00:00:39.000 --> 00:00:41.000]  耶路撒冷被擄時
[00:00:41.000 --> 00:00:45.000]  耶和華的話有一常臨到耶利米
[00:00:45.000 --> 00:00:46.000]  耶利米說
[00:00:46.000 --> 00:01:01.000]  (主持人翻譯)
[00:01:01.000 --> 00:01:02.000]  我就說
[00:01:02.000 --> 00:01:29.000]  (主持人翻譯)
[00:01:29.000 --> 00:01:33.000]  於是耶和華伸手按住我的口對我說
[00:01:33.000 --> 00:01:48.000]  (主持人翻譯)
[00:01:48.000 --> 00:01:51.000]  耶和華的話臨到我說
[00:01:51.000 --> 00:01:53.000]  (主持人翻譯)
[00:01:53.000 --> 00:02:01.000]  我說我看見一根銀杏樹枝
[00:02:01.000 --> 00:02:03.000]  耶和華對我說
[00:02:03.000 --> 00:02:05.000]  (主持人翻譯)
[00:02:05.000 --> 00:02:07.000]  因為我要看守我的話
[00:02:07.000 --> 00:02:09.000]  使它實現
[00:02:09.000 --> 00:02:11.000]  耶和華的話第二次臨到我說
[00:02:11.000 --> 00:02:13.000]  (主持人翻譯)
[00:02:13.000 --> 00:02:16.000]  我說我看見一個水燒開的鍋
[00:02:16.000 --> 00:02:18.000]  從北而傾
[00:02:18.000 --> 00:02:20.000]  耶和華對我說
[00:02:20.000 --> 00:02:23.000]  (主持人翻譯)
[00:02:23.000 --> 00:02:25.000]  臨到這地所有的居民
[00:02:25.000 --> 00:02:29.000]  看呀!我要照北方列國的萬族
[00:02:29.000 --> 00:02:31.000]  這是耶和華說的
[00:02:31.000 --> 00:02:32.000]  他們要來
[00:02:32.000 --> 00:02:35.000]  國安寶座在耶路撒冷的城門口
[00:02:35.000 --> 00:02:37.000]  周圍攻擊城牆
[00:02:37.000 --> 00:02:41.000]  又要攻擊猶大的一切城鎮
[00:02:41.000 --> 00:02:43.000]  這民離棄我
[00:02:43.000 --> 00:02:45.000]  向別神燒香
[00:02:45.000 --> 00:02:47.000]  跪拜自己手所做的
[00:02:47.000 --> 00:02:49.000]  我要針對這一切惡行
[00:02:49.000 --> 00:02:52.000]  向他們宣讀我的裁決
[00:02:52.000 --> 00:02:54.000]  所以你當出腰
[00:02:54.000 --> 00:02:55.000]  起來
[00:02:55.000 --> 00:02:57.000]  將我所吩咐你的一切話
[00:02:57.000 --> 00:02:59.000]  都告訴他們
[00:02:59.000 --> 00:03:01.000]  不要因他們驚惶
[00:03:01.000 --> 00:03:05.000]  免得我使你在他們面前驚惶
[00:03:05.000 --> 00:03:09.000]  看呀!我今日使你成為堅城
[00:03:09.000 --> 00:03:10.000]  鐵柱
[00:03:10.000 --> 00:03:11.000]  銅牆
[00:03:11.000 --> 00:03:14.000]  對抗全地和猶大的君王
[00:03:14.000 --> 00:03:15.000]  官長
[00:03:15.000 --> 00:03:16.000]  祭司
[00:03:16.000 --> 00:03:18.000]  並且他們的百姓
[00:03:18.000 --> 00:03:20.000]  他們要攻擊你
[00:03:20.000 --> 00:03:22.000]  卻不能勝過你
[00:03:22.000 --> 00:03:24.000]  因為我與你同在
[00:03:24.000 --> 00:03:25.000]  要拯救你
[00:03:25.000 --> 00:03:27.000]  這是耶和華說的
[00:03:27.000 --> 00:03:28.000]  經文讀筆
[00:03:28.000 --> 00:03:29.000]  感謝主
[00:03:29.000 --> 00:03:31.000]  今日有我們熟悉的
[00:03:31.000 --> 00:03:34.000]  葛洪彪牧師在當中靜悼
[00:03:34.000 --> 00:03:37.000]  葛牧師是本堂的義務傳道
[00:03:37.000 --> 00:03:39.000]  今日的講題是
[00:03:39.000 --> 00:03:41.000]  神在他話語中臨在
[00:03:41.000 --> 00:03:44.000]  以下恭敬的將時間交給葛牧師
[00:03:44.000 --> 00:03:50.000]  葛牧師
[00:03:50.000 --> 00:03:53.000]  我們一齊同心祈禱
[00:03:53.000 --> 00:03:55.000]  我們親愛的天父上帝
[00:03:55.000 --> 00:03:57.000]  我們滿心感謝讚美你
[00:03:57.000 --> 00:03:59.000]  因為我們敬拜你的時候
[00:03:59.000 --> 00:04:01.000]  我們常常要想起
[00:04:01.000 --> 00:04:03.000]  你是創造天地的主
[00:04:03.000 --> 00:04:05.000]  你是掌管人類歷史的主
[00:04:05.000 --> 00:04:07.000]  你也是我們生命的主
[00:04:07.000 --> 00:04:09.000]  人生路程的主
[00:04:09.000 --> 00:04:11.000]  我們就懇求你
[00:04:11.000 --> 00:04:13.000]  讓我們在生活的裏面
[00:04:13.000 --> 00:04:16.000]  真是以你為我們人生的
[00:04:16.000 --> 00:04:19.000]  最重要最絕對的一位
[00:04:19.000 --> 00:04:22.000]  並且求你的聖靈去指教我們
[00:04:22.000 --> 00:04:24.000]  去進入你自己的真理
[00:04:24.000 --> 00:04:26.000]  你留下給我們的聖經
[00:04:26.000 --> 00:04:30.000]  你是過去在歷史上所做過的事
[00:04:30.000 --> 00:04:31.000]  給我們有甚麼提醒
[00:04:31.000 --> 00:04:32.000]  有甚麼教訓
[00:04:32.000 --> 00:04:35.000]  就求你幫助我們
[00:04:35.000 --> 00:04:36.000]  打開我們的心
[00:04:36.000 --> 00:04:37.000]  我們這樣祈禱
[00:04:37.000 --> 00:04:38.000]  奉耶穌基督的名
[00:04:38.000 --> 00:04:39.000]  阿們
[00:04:39.000 --> 00:04:40.000]  很感謝神的恩典
[00:04:40.000 --> 00:04:43.000]  讓我和弟兄姊妹分享聖經的訊息
[00:04:43.000 --> 00:04:44.000]  我很感恩
[00:04:44.000 --> 00:04:49.000]  其實這幾年我常常都有一些感受
[00:04:49.000 --> 00:04:50.000]  無論看聖經
[00:04:50.000 --> 00:04:53.000]  看蜀靈的書籍等等
[00:04:53.000 --> 00:04:55.000]  我覺得好像神有些東西給我
[00:04:55.000 --> 00:04:58.000]  我這次其實是看了一本書
[00:04:58.000 --> 00:05:00.000]  一本英文書
[00:05:00.000 --> 00:05:03.000]  它是講舊約聖經的一些神學的東西
[00:05:03.000 --> 00:05:05.000]  講到耶利米蘇的時候
[00:05:05.000 --> 00:05:07.000]  它用了一個題目很特別的
[00:05:07.000 --> 00:05:11.000]  它就是說耶和華的臨在與缺席
