
[00:00:00.000 --> 00:00:02.000]  大型姊妹早安
[00:00:02.000 --> 00:00:04.000]  很久不見
[00:00:04.000 --> 00:00:08.000]  知不知道醫院裏面
[00:00:08.000 --> 00:00:10.000]  他們不方便去接觸
[00:00:10.000 --> 00:00:12.000]  但知不知道他們怎樣打招呼?
[00:00:12.000 --> 00:00:14.000]  沒聽過嗎?
[00:00:14.000 --> 00:00:16.000]  他們是用手肘
[00:00:16.000 --> 00:00:18.000]  撞手肘
[00:00:18.000 --> 00:00:20.000]  如果你坐得近的話
[00:00:20.000 --> 00:00:23.000]  這麼久不見你身邊的親愛的大型姊妹
[00:00:23.000 --> 00:00:26.000]  用手肘跟她打招呼好嗎?
[00:00:26.000 --> 00:00:27.000]  如果很遠的話
[00:00:27.000 --> 00:00:29.000]  你覺得你不方便的話
[00:00:29.000 --> 00:00:31.000]  學台灣人好嗎?
[00:00:31.000 --> 00:00:34.000]  好嗎?
[00:00:34.000 --> 00:00:36.000]  給她一個心心好嗎?
[00:00:36.000 --> 00:00:39.000]  有一句很通俗的話
[00:00:39.000 --> 00:00:40.000]  經常說
[00:00:40.000 --> 00:00:42.000]  當人失去過
[00:00:42.000 --> 00:00:44.000]  才會珍惜
[00:00:44.000 --> 00:00:46.000]  我不知道大家對於
[00:00:46.000 --> 00:00:47.000]  這麼多個月
[00:00:47.000 --> 00:00:49.000]  不能夠回來這裏
[00:00:49.000 --> 00:00:51.000]  一同崇拜
[00:00:51.000 --> 00:00:53.000]  你的感覺是怎樣?
[00:00:53.000 --> 00:00:55.000]  我不知道你有什麼新的體會
[00:00:55.000 --> 00:00:57.000]  但是真的
[00:00:57.000 --> 00:01:00.000]  人是曾經失去過
[00:01:00.000 --> 00:01:02.000]  你才會珍惜
[00:01:02.000 --> 00:01:04.000]  所以當今天大家再見面的時候
[00:01:04.000 --> 00:01:09.000]  希望大家是一個全新的形象
[00:01:09.000 --> 00:01:11.000]  一個新的心
[00:01:11.000 --> 00:01:13.000]  你去感謝上帝
[00:01:13.000 --> 00:01:14.000]  原來明天是如何
[00:01:14.000 --> 00:01:16.000]  你都不知道
[00:01:16.000 --> 00:01:20.000]  所以當上帝仍然給大家機會的時候
[00:01:20.000 --> 00:01:22.000]  請你好好珍惜
[00:01:22.000 --> 00:01:24.000]  去一切的
[00:01:24.000 --> 00:01:26.000]  分類當中
[00:01:26.000 --> 00:01:27.000]  去敬拜上帝
[00:01:27.000 --> 00:01:29.000]  去愛身邊的弟兄姊妹
[00:01:29.000 --> 00:01:30.000]  其實我很感恩的
[00:01:30.000 --> 00:01:31.000]  為什麼呢?
[00:01:31.000 --> 00:01:32.000]  第一,我很感謝曾牧師
[00:01:32.000 --> 00:01:34.000]  當我轉變身份之後
[00:01:34.000 --> 00:01:35.000]  他仍然給我機會
[00:01:35.000 --> 00:01:38.000]  用傳道的身份
[00:01:38.000 --> 00:01:39.000]  跟大家分享
[00:01:39.000 --> 00:01:41.000]  我記得我臨走的時候也說
[00:01:41.000 --> 00:01:44.000]  我從來都沒有說過我不是傳道
[00:01:44.000 --> 00:01:46.000]  只不過是說這個身份
[00:01:46.000 --> 00:01:48.000]  但這個要很多人認同
[00:01:48.000 --> 00:01:49.000]  不容易
[00:01:49.000 --> 00:01:51.000]  所以我感謝曾牧師
[00:01:51.000 --> 00:01:52.000]  第二個,我覺得很感恩
[00:01:52.000 --> 00:01:53.000]  為什麼呢?
[00:01:53.000 --> 00:01:54.000]  因為當大家認識我
[00:01:54.000 --> 00:01:57.000]  大家知道我是一個很需要互動的人
[00:01:57.000 --> 00:01:58.000]  我前面沒有人
[00:01:58.000 --> 00:02:00.000]  其實我是不知道怎麼說話的
[00:02:00.000 --> 00:02:02.000]  所以我一直很擔心
[00:02:02.000 --> 00:02:05.000]  其實我很怕對著鏡頭說話
[00:02:05.000 --> 00:02:06.000]  前面沒有人
[00:02:06.000 --> 00:02:08.000]  然後我曾經想過
[00:02:08.000 --> 00:02:10.000]  記得日本有一次
[00:02:10.000 --> 00:02:12.000]  他們畢業的時候
[00:02:12.000 --> 00:02:14.000]  搞了一場什麼出來?
[00:02:14.000 --> 00:02:16.000]  機械人
[00:02:16.000 --> 00:02:17.000]  我初初在想
[00:02:17.000 --> 00:02:20.000]  我用不用在前面弄些紙板公仔
[00:02:20.000 --> 00:02:21.000]  或者我問大家借一些
[00:02:21.000 --> 00:02:23.000]  家裡很大的熊熊
[00:02:23.000 --> 00:02:25.000]  放在椅子上
[00:02:25.000 --> 00:02:27.000]  可以有些存在感
[00:02:27.000 --> 00:02:30.000]  但我真的想不到上帝真的很疼我
[00:02:30.000 --> 00:02:32.000]  今天跟大家分享的時候
[00:02:32.000 --> 00:02:36.000]  又可以重新有我們的崇拜
[00:02:36.000 --> 00:02:39.000]  所以我真的覺得上帝每一步的裏面
[00:02:39.000 --> 00:02:41.000]  其實我想告訴大家
[00:02:41.000 --> 00:02:43.000]  你真的不需要擔心
[00:02:43.000 --> 00:02:46.000]  因為上帝的意念
[00:02:46.000 --> 00:02:48.000]  總是高過我們的意念
[00:02:48.000 --> 00:02:51.000]  我今天跟大家再回來分享的時候
[00:02:51.000 --> 00:02:55.000]  一方面是帶著現在香港的情況
[00:02:55.000 --> 00:02:57.000]  我想我了解大家的心情
[00:02:57.000 --> 00:02:58.000]  為什麼呢?
[00:02:58.000 --> 00:02:59.000]  因為當我改變身份之後
[00:02:59.000 --> 00:03:01.000]  我在下面接觸到很多的
[00:03:01.000 --> 00:03:03.000]  微信住的街坊
[00:03:03.000 --> 00:03:05.000]  和我們聊天的時候
[00:03:05.000 --> 00:03:06.000]  我相信他們和我們一樣
[00:03:06.000 --> 00:03:08.000]  會有很多心裏的擔憂
[00:03:08.000 --> 00:03:11.000]  因為特別生意受很多影響
[00:03:11.000 --> 00:03:13.000]  家庭受很多影響
[00:03:13.000 --> 00:03:15.000]  有些子女在外國
[00:03:15.000 --> 00:03:20.000]  甚至有一個家庭的子女在澳洲
[00:03:20.000 --> 00:03:22.000]  在那邊打工
[00:03:22.000 --> 00:03:26.000]  當他們在餐廳工作的時候
[00:03:26.000 --> 00:03:29.000]  他們戴口罩都會被老闆阻止
[00:03:29.000 --> 00:03:31.000]  老闆不讓他們戴
[00:03:31.000 --> 00:03:33.000]  會覺得你們有問題
[00:03:33.000 --> 00:03:34.000]  等等等等很多的事
[00:03:34.000 --> 00:03:37.000]  而令到大家心裏有很多的擔憂
[00:03:37.000 --> 00:03:38.000]  另外一樣東西
[00:03:38.000 --> 00:03:40.000]  也是帶著我在這幾個月裏
[00:03:40.000 --> 00:03:42.000]  我離開了這裏足足四個月
[00:03:42.000 --> 00:03:43.000]  這四個月裏的時候
[00:03:43.000 --> 00:03:47.000]  我從來沒有穿過西服和西服的皮鞋
[00:03:47.000 --> 00:03:48.000]  所以我今天穿上的時候
[00:03:48.000 --> 00:03:51.000]  我感覺很奇怪
[00:03:51.000 --> 00:03:53.000]  我已經帶著這四個月裏
[00:03:53.000 --> 00:03:54.000]  一種新的體驗的時候
[00:03:54.000 --> 00:03:56.000]  我會發覺原來聖經的說話
[00:03:56.000 --> 00:03:58.000]  是真的很真實的
[00:03:58.000 --> 00:03:59.000]  弟兄姊妹
[00:03:59.000 --> 00:04:00.000]  所以我很盼望今天和大家
[00:04:00.000 --> 00:04:02.000]  從這裏去分享
[00:04:02.000 --> 00:04:03.000]  我今天想和大家說的
[00:04:03.000 --> 00:04:05.000]  不只是這幾節經文
[00:04:05.000 --> 00:04:07.000]  而是雅各書
[00:04:07.000 --> 00:04:08.000]  為什麼呢?因為雅各書裏面
[00:04:08.000 --> 00:04:10.000]  就是當日的教會
[00:04:10.000 --> 00:04:13.000]  他們正在受著很大的困難
[00:04:13.000 --> 00:04:15.000]  一個很大的迫害
[00:04:15.000 --> 00:04:18.000]  而去面對當時整個社會
[00:04:18.000 --> 00:04:19.000]  我相信如果你要比較的話
[00:04:19.000 --> 00:04:20.000]  當時他們的迫害
[00:04:20.000 --> 00:04:23.000]  絕對比今天我們整個香港
[00:04:23.000 --> 00:04:26.000]  我們每個人心裏的感受大很多
[00:04:26.000 --> 00:04:28.000]  但是當時的雅各
[00:04:28.000 --> 00:04:30.000]  他就是同樣的透過這本書
[00:04:30.000 --> 00:04:32.000]  去想提醒他們
[00:04:32.000 --> 00:04:34.000]  提醒當日的教會
[00:04:34.000 --> 00:04:35.000]  去面對著一個墮落
[00:04:35.000 --> 00:04:37.000]  懷著敵意的世界裏面
[00:04:37.000 --> 00:04:40.000]  你要用神聖的智慧
[00:04:40.000 --> 00:04:42.000]  去回應這個世界
[00:04:42.000 --> 00:04:44.000]  整個雅各書的主題
[00:04:44.000 --> 00:04:46.000]  就是講神聖的智慧
[00:04:46.000 --> 00:04:48.000]  意思就是說
