
[00:00:00.000 --> 00:00:02.640]  孫家的弟兄姊妹平安
[00:00:02.640 --> 00:00:05.520]  有人認為做基督徒很難
[00:00:05.520 --> 00:00:09.360]  因為主耶穌的要求實在太高
[00:00:09.360 --> 00:00:11.360]  但有另一個說法
[00:00:11.360 --> 00:00:14.000]  認為做基督徒很容易
[00:00:14.000 --> 00:00:15.200]  為甚麼呢?
[00:00:15.200 --> 00:00:17.760]  因為我們所領受的一切恩典
[00:00:17.760 --> 00:00:20.640]  都不是靠我們的行為而獲得的
[00:00:20.640 --> 00:00:24.240]  我們的行為和我們所能夠領受的恩典
[00:00:24.240 --> 00:00:26.480]  沒有一個必然的關係
[00:00:26.480 --> 00:00:29.360]  既然一切都是神所給予我們的
[00:00:29.360 --> 00:00:33.440]  我們便不需要介意自己做了多少
[00:00:33.440 --> 00:00:38.720]  究竟做基督徒是容易還是難呢?
[00:00:38.720 --> 00:00:40.560]  或者可以這樣說
[00:00:40.560 --> 00:00:42.160]  我們能夠得救
[00:00:42.160 --> 00:00:44.320]  實在不是靠自己的行為
[00:00:44.320 --> 00:00:47.040]  而是靠主耶穌基督的恩典
[00:00:47.040 --> 00:00:50.560]  但我們對救恩的回應的認真程度
[00:00:50.560 --> 00:00:54.560]  就可以用我們的行為作為一個檢視
[00:00:54.560 --> 00:00:56.800]  生命和見證越投入
[00:00:56.800 --> 00:01:00.640]  代表我們對主耶穌的救恩越重視
[00:01:00.640 --> 00:01:02.400]  用信仰的說法
[00:01:02.400 --> 00:01:04.160]  就是我們行事為人
[00:01:04.160 --> 00:01:06.800]  能夠與我們的恩典相稱
[00:01:06.800 --> 00:01:08.880]  如果我們再追問下去
[00:01:08.880 --> 00:01:13.680]  做一個基督徒有甚麼最低的要求呢?
[00:01:13.680 --> 00:01:17.200]  主耶穌分別在馬太福音的登山部分
[00:01:17.200 --> 00:01:20.000]  和在路加福音的平原部分
[00:01:20.000 --> 00:01:23.760]  都對信徒的本質、品格和言行
[00:01:23.760 --> 00:01:25.760]  作出了一些訓示
[00:01:25.760 --> 00:01:28.720]  所以今天我就以馬太福音五章
[00:01:28.720 --> 00:01:32.080]  十三至十六節登山部分的其中一段
[00:01:32.080 --> 00:01:37.280]  去探討信徒如何看待自己一個基督徒的身份和責任
[00:01:37.280 --> 00:01:41.280]  先開一支我們一起祈禱吧
[00:01:41.280 --> 00:01:44.400]  主恩主我們感謝祢的拯救
[00:01:44.400 --> 00:01:48.000]  使我們從罪的捆綁裡釋放出來
[00:01:48.000 --> 00:01:51.280]  但仍然有很多人仍然生活在罪裡面
[00:01:51.280 --> 00:01:54.000]  求主讓我們能夠在這個世界裡
[00:01:54.000 --> 00:01:58.160]  展現到一個充滿主恩典的基督徒生命
[00:01:58.160 --> 00:02:02.400]  以致更多失喪的人能夠歸回主的懷抱
[00:02:02.400 --> 00:02:05.200]  我們的祈禱是奉主耶穌基督的聖名祈求
[00:02:05.200 --> 00:02:08.240]  阿門
[00:02:08.240 --> 00:02:10.000]  開始的時候我們先了解一下
