
[00:00:00.000 --> 00:00:04.160]  各位同工 各位在網上的電影姐妹平安
[00:00:04.160 --> 00:00:10.920]  很感恩這個疫情不難阻擋我們對上帝的敬拜
[00:00:10.920 --> 00:00:13.960]  我們仍然可以透過這個網上歌
[00:00:13.960 --> 00:00:15.560]  我們一起來唱詩
[00:00:15.560 --> 00:00:20.960]  一起來用上帝的話語彼此勉勵
[00:00:20.960 --> 00:00:24.800]  先講一個故事
[00:00:25.640 --> 00:00:30.240]  在這個森林裏面有三棵大樹
[00:00:30.240 --> 00:00:34.120]  這三棵大樹各有自己的理想
[00:00:34.120 --> 00:00:38.200]  第一棵A樹我叫他做
[00:00:38.200 --> 00:00:44.880]  他很希望自己能成為一個很漂亮的珠寶盒
[00:00:44.880 --> 00:00:49.680]  裏面承載著一些很珍貴的珠寶
[00:00:49.680 --> 00:00:54.000]  但有一天一個木匠來到這個森林
[00:00:54.000 --> 00:00:57.280]  把他砍下來了
[00:00:57.280 --> 00:00:59.600]  A樹很開心
[00:00:59.600 --> 00:01:03.200]  以為自己的夢想快要實現了
[00:01:03.200 --> 00:01:10.320]  但他發覺這個木匠幫他做了一個不是一個珠寶盒
[00:01:10.320 --> 00:01:17.000]  而是一個用來承載動物飼料的箱子
[00:01:17.000 --> 00:01:19.720]  A樹很失望
[00:01:19.720 --> 00:01:22.560]  因為他的夢想成功了
[00:01:23.760 --> 00:01:25.240]  到B樹
[00:01:25.240 --> 00:01:29.200]  他很希望自己能成為一隻大船
[00:01:29.200 --> 00:01:33.600]  可以帶著一些皇親國戚去周遊列國
[00:01:33.600 --> 00:01:36.560]  不過當木匠來到的時候
[00:01:36.560 --> 00:01:38.680]  把他砍下來了
[00:01:38.680 --> 00:01:44.640]  他發覺到原來這個木匠不是幫他做成一隻大船
[00:01:44.640 --> 00:01:48.280]  而是一隻很小的漁船
[00:01:48.280 --> 00:01:49.800]  他又很難過
[00:01:49.800 --> 00:01:53.600]  因為他同樣都是夢想成空
[00:01:54.600 --> 00:01:56.880]  到第三棵樹了
[00:01:56.880 --> 00:02:00.320]  他不想被這個木匠砍下來
[00:02:00.320 --> 00:02:05.040]  他只希望能夠一直在森林裏面站著
[00:02:05.040 --> 00:02:09.320]  讓人讚嘆他多麼高崇
[00:02:09.320 --> 00:02:11.320]  多麼壯觀
[00:02:11.320 --> 00:02:15.240]  但有一天這個木匠來到的時候
[00:02:15.240 --> 00:02:18.800]  二話不說就把他砍下來了
[00:02:18.800 --> 00:02:22.400]  他覺得為甚麼會這樣
[00:02:22.400 --> 00:02:23.720]  他很失望
[00:02:23.720 --> 00:02:25.720]  也很沮喪
[00:02:25.720 --> 00:02:29.680]  但是他們有他們自己的計劃
[00:02:29.680 --> 00:02:35.680]  不過上帝對他們這三棵樹各有上帝的計劃
[00:02:35.680 --> 00:02:42.160]  當瑪利亞和約瑟生了耶穌寶寶的時候
[00:02:42.160 --> 00:02:47.240]  他們找不到這個容身之處
[00:02:47.240 --> 00:02:52.200]  他們就去到一間馬槽裏面
[00:02:52.200 --> 00:02:55.480]  當耶穌出生的時候
[00:02:55.480 --> 00:03:02.640]  他們就把耶穌放在一個擺放飼料的箱子裏面
[00:03:02.640 --> 00:03:08.440]  這個就是用A樹所造成的箱子
