
[00:00:00.000 --> 00:00:02.000]  好 各位姐妹們早安
[00:00:02.000 --> 00:00:05.000]  大年初二 祝大家在農年裏面
[00:00:05.000 --> 00:00:07.000]  大家能夠經歷耶穌基督的恩典
[00:00:07.000 --> 00:00:11.000]  能夠充滿基督的力量和身體健康
[00:00:11.000 --> 00:00:15.000]  今天我會講一篇新潮道
[00:00:15.000 --> 00:00:17.000]  其實我從羊年開始
[00:00:17.000 --> 00:00:22.000]  就在感受堂開始我自己的一個習慣
[00:00:22.000 --> 00:00:24.000]  雖然不是每年都在感受堂講
[00:00:24.000 --> 00:00:27.000]  但是今年到農年 我都保持這個習慣
[00:00:27.000 --> 00:00:31.000]  講一篇農年的新潮道
[00:00:31.000 --> 00:00:34.000]  不知道大家在十二新潮裏面
[00:00:34.000 --> 00:00:38.000]  大家最喜歡哪一個新少年
[00:00:38.000 --> 00:00:40.000]  有沒有哪一個特別喜歡
[00:00:40.000 --> 00:00:42.000]  怎樣問呢 不知道大家有何感覺
[00:00:42.000 --> 00:00:44.000]  在十二隻動物裏面
[00:00:44.000 --> 00:00:48.000]  其實有些動物會比較容易愛上
[00:00:48.000 --> 00:00:54.000]  例如虎年 羊年 兔年 馬年
[00:00:54.000 --> 00:00:57.000]  這些形象比較正面
[00:00:57.000 --> 00:00:59.000]  比較容易大家覺得愛上
[00:00:59.000 --> 00:01:00.000]  有些動物都很好的
[00:01:00.000 --> 00:01:02.000]  但要給予一些想法
[00:01:02.000 --> 00:01:06.000]  才會覺得這是一個年份
[00:01:06.000 --> 00:01:08.000]  小肥肥豬 豬年
[00:01:08.000 --> 00:01:10.000]  或者是蛇年
[00:01:10.000 --> 00:01:13.000]  都會給予不同的形式
[00:01:13.000 --> 00:01:16.000]  不過農年是很受歡迎的
[00:01:16.000 --> 00:01:20.000]  農年是一個在中國文化裏面
[00:01:20.000 --> 00:01:25.000]  非常非常愛好的動物
[00:01:25.000 --> 00:01:27.000]  在華人文化裏面
[00:01:27.000 --> 00:01:32.000]  農是象徵權威 力量 幸運
