
[00:00:00.000 --> 00:00:03.000]  頂展會新年快樂
[00:00:03.000 --> 00:00:08.000]  在此的時候,我祝大家身體健康,出入平安
[00:00:08.000 --> 00:00:11.000]  今天跟大家講這篇經文的時候
[00:00:11.000 --> 00:00:14.000]  其實是一篇大家很熟悉的經文
[00:00:14.000 --> 00:00:18.000]  也是很出名的一篇,我們叫《上行之詩》
[00:00:18.000 --> 00:00:21.000]  聖經裡面有一些詩歌
[00:00:21.000 --> 00:00:25.000]  他們是叫《上行之詩》或者叫《朝聖的詩歌》
[00:00:25.000 --> 00:00:28.000]  《上行之詩》通常有三個講法
[00:00:28.000 --> 00:00:32.000]  第一個講法就是信徒上耶路撒冷朝聖的時候
[00:00:32.000 --> 00:00:34.000]  在路上唱的詩歌
[00:00:34.000 --> 00:00:36.000]  第二個講法就是
[00:00:36.000 --> 00:00:40.000]  祭司和師班當他們登上聖殿第十五級樓梯的時候
[00:00:40.000 --> 00:00:42.000]  所唱的詩歌
[00:00:42.000 --> 00:00:47.000]  但是因為《上行之詩》通常是一些比較早期的作品
[00:00:47.000 --> 00:00:51.000]  所以我更加相信是第三個講法
[00:00:51.000 --> 00:00:55.000]  就是以色列的民在秘魯的時間
[00:00:55.000 --> 00:00:59.000]  由巴比倫要直至回到耶路撒冷的過程裡面
[00:00:59.000 --> 00:01:03.000]  他們渴望再次經歷神奇妙的拯救
[00:01:03.000 --> 00:01:06.000]  呼求神的幫助所唱的詩歌
[00:01:06.000 --> 00:01:09.000]  我更加相信是這個可能性
[00:01:09.000 --> 00:01:11.000]  為什麼這麼重要呢?
[00:01:11.000 --> 00:01:14.000]  其實你發覺當時就是這群以色列人
[00:01:14.000 --> 00:01:17.000]  在秘魯的時期,在困難當中的時候
[00:01:17.000 --> 00:01:21.000]  向眾山去呼求幫助
[00:01:21.000 --> 00:01:23.000]  而如果大家還記得的話
[00:01:23.000 --> 00:01:27.000]  在秘魯期間,其中有一個他們很大的谷底
[00:01:27.000 --> 00:01:30.000]  就是如果大家還記得以斯帖的故事
[00:01:30.000 --> 00:01:32.000]  以斯帖裡面的時候
[00:01:32.000 --> 00:01:34.000]  就是當時因為以色列人
[00:01:34.000 --> 00:01:37.000]  他們其中有一個得罪了哈曼
[00:01:37.000 --> 00:01:43.000]  所以哈曼就要阿哈徐老王去滅了以色列整個民族
[00:01:43.000 --> 00:01:47.000]  當時其實是一個很大的困難和一個很大的危機
[00:01:47.000 --> 00:01:50.000]  所以難怪他們要向山舉目
[00:01:50.000 --> 00:01:53.000]  要尋找這個拯救
[00:01:53.000 --> 00:01:57.000]  當今天我們去說在過年
[00:01:57.000 --> 00:01:59.000]  我們都要說很多吉利的話
[00:01:59.000 --> 00:02:01.000]  其實背後的意思就是
[00:02:01.000 --> 00:02:04.000]  其實我們很想得到平安
[00:02:04.000 --> 00:02:07.000]  我們很想得到順利
[00:02:07.000 --> 00:02:09.000]  但我經常都說一件事
[00:02:09.000 --> 00:02:10.000]  在困難裡面的時候
[00:02:10.000 --> 00:02:12.000]  首先我們要搞清楚
[00:02:12.000 --> 00:02:16.000]  哪一個才是我們的幫助者
[00:02:16.000 --> 00:02:18.000]  經文裡面可以開始去說
[00:02:18.000 --> 00:02:21.000]  我向山舉目,我的幫助從何而來?
[00:02:21.000 --> 00:02:25.000]  我的幫助從造天地的耶和華而來
[00:02:25.000 --> 00:02:29.000]  和合本他將幫助去譯了做一個動詞
[00:02:29.000 --> 00:02:31.000]  但是其實在原文裡面
[00:02:31.000 --> 00:02:33.000]  它是一個名詞
[00:02:33.000 --> 00:02:36.000]  它的意思是一個幫助者
[00:02:36.000 --> 00:02:38.000]  詩人告訴我們
[00:02:38.000 --> 00:02:41.000]  我的幫助從耶和華而來
[00:02:41.000 --> 00:02:45.000]  因為他是創造天地的主
[00:02:45.000 --> 00:02:48.000]  姐妹,其實這個是很重要的
[00:02:48.000 --> 00:02:51.000]  所有一切在今天
[00:02:51.000 --> 00:02:56.000]  讓到你面臨困難的人事和物
[00:02:56.000 --> 00:03:02.000]  請你記得那些只不過是受造的物
[00:03:02.000 --> 00:03:05.000]  而今天我們所相信的這個上帝
[00:03:05.000 --> 00:03:09.000]  是創造天地的主
[00:03:09.000 --> 00:03:13.000]  這個定位大家一定要很清楚
[00:03:13.000 --> 00:03:15.000]  為什麼呢?
[00:03:15.000 --> 00:03:18.000]  就正因為有這個差距
[00:03:18.000 --> 00:03:23.000]  所以下面的經文對我們才有幫助這麼重要
[00:03:23.000 --> 00:03:25.000]  因為他絕對有能力
[00:03:25.000 --> 00:03:29.000]  從你任何今天帶給你困難的處境
[00:03:29.000 --> 00:03:31.000]  那些人或者那些情況
[00:03:31.000 --> 00:03:36.000]  他是可以將你拯救出來
[00:03:36.000 --> 00:03:37.000]  經文再下去的時候
[00:03:37.000 --> 00:03:41.000]  他說他給了很多的英許我們
[00:03:41.000 --> 00:03:44.000]  再下來的時候是一堆的英許
[00:03:44.000 --> 00:03:46.000]  他必不叫你的腳搖動
[00:03:46.000 --> 00:03:48.000]  保護你的不打盹
[00:03:48.000 --> 00:03:51.000]  保護以色列的也不打盹也不睡覺
[00:03:51.000 --> 00:03:54.000]  面對挑戰的時候
[00:03:54.000 --> 00:03:56.000]  我們不會讓你跌倒的
[00:03:56.000 --> 00:03:59.000]  意思是讓你能夠站立得穩
[00:03:59.000 --> 00:04:02.000]  其實今天基督徒我們最大的恩典
[00:04:02.000 --> 00:04:05.000]  並不是我們有勝利
[00:04:05.000 --> 00:04:08.000]  而是我們在神的帶領裡面的時候
[00:04:08.000 --> 00:04:11.000]  我們可以離開一切的邪惡
[00:04:11.000 --> 00:04:16.000]  而不會被這個邪惡去撕裂或者控制我們
[00:04:16.000 --> 00:04:20.000]  這個才是我們今天最大的恩典
[00:04:20.000 --> 00:04:24.000]  上帝他令到我們在任何情況之下
[00:04:24.000 --> 00:04:27.000]  我們都能夠站立得穩
[00:04:27.000 --> 00:04:29.000]  他答應過我們
[00:04:29.000 --> 00:04:31.000]  他說他對我們這種保護的時候
[00:04:31.000 --> 00:04:34.000]  這個形容是不打盹
[00:04:34.000 --> 00:04:38.000]  他不會有半秒鐘的時間打盹
[00:04:38.000 --> 00:04:41.000]  他更加重要的承諾就是
[00:04:41.000 --> 00:04:43.000]  他不只是個人
[00:04:43.000 --> 00:04:46.000]  當時他說我保護以色列的
[00:04:46.000 --> 00:04:48.000]  也不打盹也不睡覺
[00:04:48.000 --> 00:04:51.000]  他包括當時整個以色列
[00:04:51.000 --> 00:04:54.000]  也都同樣是今天的教會
[00:04:54.000 --> 00:04:57.000]  我們整個教會裡面的時候
[00:04:57.000 --> 00:04:59.000]  上帝所給我們的這個保障
[00:04:59.000 --> 00:05:02.000]  這個創造天地的上帝給我們的保障
[00:05:02.000 --> 00:05:05.000]  他是告訴我們你不用擔心
[00:05:05.000 --> 00:05:08.000]  我會讓你在真理當中
[00:05:08.000 --> 00:05:10.000]  你能夠站得住腳
[00:05:10.000 --> 00:05:13.000]  而且我會一直一直在你的旁邊
[00:05:13.000 --> 00:05:15.000]  第五節那裡說
[00:05:15.000 --> 00:05:16.000]  保護你的是耶和華
[00:05:16.000 --> 00:05:19.000]  耶和華在你的右邊任避你
[00:05:19.000 --> 00:05:23.000]  右邊是一個很重要的位置
[00:05:23.000 --> 00:05:26.000]  他在你很重要的位置
[00:05:26.000 --> 00:05:29.000]  他一直陪伴著你
[00:05:29.000 --> 00:05:31.000]  他不會離開
[00:05:31.000 --> 00:05:36.000]  這個上帝對我們今天每一個人
[00:05:36.000 --> 00:05:39.000]  包括教會的承諾
[00:05:39.000 --> 00:05:40.000]  我們在今年的裡面
[00:05:40.000 --> 00:05:44.000]  我相信我們都面對了很多的挑戰
[00:05:44.000 --> 00:05:46.000]  但上帝就告訴我們
[00:05:46.000 --> 00:05:48.000]  你放心吧孩子
[00:05:48.000 --> 00:05:51.000]  我是不會撇棄你的
[00:05:51.000 --> 00:05:54.000]  我一定帶你渡過的
[00:05:54.000 --> 00:05:55.000]  弟兄姊妹
[00:05:55.000 --> 00:05:57.000]  而接著他就告訴我們
