
[00:00:00.000 --> 00:00:02.380]  愛我們的主,我們感謝祢
[00:00:02.380 --> 00:00:05.940]  祢讓我們可以來到主祢的殿裏面
[00:00:05.940 --> 00:00:09.600]  一起來敬拜,一起來聽神的話語
[00:00:09.600 --> 00:00:13.260]  願聖靈在我們當中親自成為我們的潔淨
[00:00:13.260 --> 00:00:14.900]  主阿啟迪我們的心靈
[00:00:14.900 --> 00:00:17.960]  讓我們得著屬靈的智慧和悟性
[00:00:17.960 --> 00:00:22.060]  能夠明白神祢自己在聖經裏面的教導更多
[00:00:22.060 --> 00:00:24.800]  祝福我們,願我們說的、聽的
[00:00:24.800 --> 00:00:27.420]  都聽從祢而領受屬靈的福氣
[00:00:27.420 --> 00:00:30.960]  簡單的祈禱,靠耶穌基督來得聖的名
[00:00:30.960 --> 00:00:32.960]  阿門
[00:00:33.040 --> 00:00:36.480]  話說羅馬有一個預言
[00:00:36.480 --> 00:00:39.680]  有一天,一個身體在開會
[00:00:39.680 --> 00:00:42.920]  身體開會最後得到一個結論
[00:00:42.920 --> 00:00:48.320]  我們整個身體最沒用的就是胃
[00:00:48.320 --> 00:00:50.000]  它甚麼都不用做
[00:00:50.000 --> 00:00:53.480]  就收拾我們的食物,在享受世界
[00:00:53.480 --> 00:00:55.360]  於是就說,不如這樣吧
[00:00:55.360 --> 00:00:58.040]  我們甚麼都不做,過一下胃
[00:00:58.040 --> 00:01:04.680]  讓胃不再只能夠吸收我們的食物
[00:01:04.680 --> 00:01:06.680]  結果它真的這樣做
[00:01:06.680 --> 00:01:08.680]  結果大家都知道是怎樣
[00:01:08.680 --> 00:01:11.640]  整個身體都變得軟弱無力
[00:01:11.640 --> 00:01:14.280]  然後他們開始反省
[00:01:14.280 --> 00:01:17.720]  原來不可以餓壞胃
[00:01:17.720 --> 00:01:20.880]  所以要有一個健康的身體
[00:01:20.880 --> 00:01:22.280]  身體各部分
[00:01:22.280 --> 00:01:27.600]  真的必須要大家一起共同去發揮一些功用
[00:01:27.600 --> 00:01:30.680]  保羅對哥林多教會的勸勉
[00:01:30.680 --> 00:01:31.880]  就是說
[00:01:31.880 --> 00:01:35.680]  「正如身體是一個,卻有許多肢體
[00:01:35.680 --> 00:01:38.040]  而且肢體雖然很多
[00:01:38.040 --> 00:01:41.760]  身體仍是一個,基督也是這樣」
[00:01:41.760 --> 00:01:45.560]  我們知道我們人最初是神做我們的
[00:01:45.560 --> 00:01:47.400]  其實是用塵土做我們
[00:01:47.400 --> 00:01:49.960]  我們本來是很卑微的
[00:01:49.960 --> 00:01:55.160]  但是很奇妙地藉著耶穌基督十字架的救恩
[00:01:55.160 --> 00:02:00.720]  使所有信主的人在基督裡面成為基督的身體
[00:02:00.720 --> 00:02:02.120]  就是教會
[00:02:02.120 --> 00:02:06.240]  在基督的教會裡面是基督的身體
[00:02:06.240 --> 00:02:09.680]  這個身體是所有相信耶穌基督的人
[00:02:09.680 --> 00:02:13.720]  藉著信和我們的救主耶穌基督的聯合
[00:02:13.720 --> 00:02:15.000]  所以保羅說
[00:02:15.000 --> 00:02:20.360]  「正如身體是一個,卻有許多肢體
[00:02:20.360 --> 00:02:23.520]  而且肢體雖然很多
[00:02:23.520 --> 00:02:29.360]  身體仍是一個,基督也是這樣」
[00:02:29.360 --> 00:02:32.120]  由信徒所組成的教會
[00:02:32.120 --> 00:02:34.200]  教會是基督的身體
[00:02:34.200 --> 00:02:36.200]  你們就是基督的身體
[00:02:36.200 --> 00:02:40.280]  並且在教會裡各自作肢體
[00:02:40.280 --> 00:02:44.560]  所以我們有些語病要戒掉
[00:02:44.560 --> 00:02:46.520]  教會這樣那樣
[00:02:46.520 --> 00:02:48.320]  教會這樣這樣
[00:02:48.320 --> 00:02:49.680]  那是怎樣?
[00:02:49.680 --> 00:02:51.520]  就是自己是這樣那樣
[00:02:51.520 --> 00:02:52.880]  自己是這樣那樣
[00:02:52.880 --> 00:02:53.720]  因為你是教會
[00:02:53.720 --> 00:02:54.280]  教會是你
[00:02:54.280 --> 00:02:54.840]  你是教會
[00:02:54.840 --> 00:02:55.520]  教會是你
[00:02:55.520 --> 00:02:57.000]  分不開的
[00:02:57.000 --> 00:03:00.760]  你藉著信加入了耶穌基督的教會
[00:03:00.760 --> 00:03:04.680]  就是基督的身體的一部分
[00:03:04.680 --> 00:03:06.920]  所以《干淩多前書》第十二章
[00:03:06.920 --> 00:03:09.840]  其實保羅用了兩個角度
[00:03:09.840 --> 00:03:13.160]  去論述基督身體的合一
[00:03:13.160 --> 00:03:14.040]  第一
[00:03:14.040 --> 00:03:17.080]  他說沒有人可以看低自己
[00:03:17.080 --> 00:03:19.560]  他在南前
[00:03:19.600 --> 00:03:21.120]  《干淩多前書》第十二章
[00:03:21.120 --> 00:03:22.800]  十五至十六節
[00:03:22.800 --> 00:03:23.480]  他說
[00:03:23.480 --> 00:03:25.760]  「此若腳說我不是手
[00:03:25.760 --> 00:03:27.960]  所以不屬乎身子
[00:03:27.960 --> 00:03:30.880]  他不能因此就不屬乎身子
[00:03:30.880 --> 00:03:33.360]  此若耳說我不是眼
[00:03:33.360 --> 00:03:34.960]  所以我不屬乎身子
[00:03:34.960 --> 00:03:38.080]  他也不能因此就不屬乎身子」
[00:03:38.080 --> 00:03:43.480]  所以用腳和手、眼和耳來做例子
[00:03:43.480 --> 00:03:47.120]  身體上的肢體功用
[00:03:47.120 --> 00:03:48.920]  都是一樣重要的
[00:03:48.920 --> 00:03:52.120]  所以我們不應該輕看自己
[00:03:52.120 --> 00:03:53.360]  接著他說
[00:03:53.360 --> 00:03:55.200]  「肢體是多的
[00:03:55.200 --> 00:03:57.120]  身子卻是一個
[00:03:57.120 --> 00:03:58.680]  眼不能對手說
[00:03:58.680 --> 00:04:00.120]  我用不著你
[00:04:00.120 --> 00:04:02.320]  頭也不能對腳說
[00:04:02.320 --> 00:04:03.560]  我用不著你」
[00:04:03.560 --> 00:04:05.320]  第二個原則就是
[00:04:05.320 --> 00:04:07.680]  我們也不可以看低別人
[00:04:07.680 --> 00:04:08.440]  身體
[00:04:08.440 --> 00:04:09.000]  這個身子
[00:04:09.000 --> 00:04:11.200]  教會裏面任何一個肢體
[00:04:11.200 --> 00:04:13.320]  都不可以對另一個肢體說
[00:04:13.320 --> 00:04:15.080]  你無關重要
[00:04:15.080 --> 00:04:16.320]  我們有時覺得
[00:04:16.320 --> 00:04:17.320]  哎呀 這個
[00:04:17.320 --> 00:04:18.880]  對那些很明顯
[00:04:18.880 --> 00:04:20.040]  因此很明顯
[00:04:20.040 --> 00:04:22.160]  有明顯因此的弟兄姊妹
[00:04:22.160 --> 00:04:23.040]  我們就覺得
[00:04:23.040 --> 00:04:23.880]  哇 真是
