
[00:00:00.000 --> 00:00:05.800]  感恩天父讓我們可以繼續在羅馬書盡心去研讀
[00:00:05.800 --> 00:00:11.200]  很盼望我們能夠不會遺漏一些重要的真理
[00:00:11.200 --> 00:00:16.200]  以及我們能夠明白保羅整個寫作的動機
[00:00:16.200 --> 00:00:20.360]  以及如何去講解這個福音
[00:00:20.360 --> 00:00:22.600]  讓我們能夠掌握
[00:00:22.600 --> 00:00:24.400]  使得我們一方面
[00:00:24.400 --> 00:00:26.400]  我們自己的屬靈的生命
[00:00:26.400 --> 00:00:28.800]  都得到那個慰養建立
[00:00:28.800 --> 00:00:32.400]  更加讓我們能夠在整卷書
[00:00:32.400 --> 00:00:35.400]  都很想每一個教會
[00:00:35.400 --> 00:00:37.400]  每一個時代的教會
[00:00:37.400 --> 00:00:40.800]  都要向萬民
[00:00:40.800 --> 00:00:43.600]  未得之民傳福音
[00:00:43.600 --> 00:00:46.200]  去見證耶穌的救恩
[00:00:46.200 --> 00:00:47.600]  求主幫助我們
[00:00:47.600 --> 00:00:49.600]  我們去到這個二十一世紀
[00:00:49.600 --> 00:00:52.000]  我們仍然能夠有羅馬書
[00:00:52.000 --> 00:00:53.600]  流傳到今天
[00:00:53.600 --> 00:00:57.600]  都是神自己保守這些聖經的經卷
[00:00:57.600 --> 00:00:59.000]  我們很感謝主
[00:00:59.000 --> 00:01:01.600]  幫助我們用心靈
[00:01:01.600 --> 00:01:05.000]  去發掘裏面的重要的部份
[00:01:05.000 --> 00:01:08.200]  使得我們能夠掌握整卷書
[00:01:08.200 --> 00:01:10.200]  那個重要的脈絡
[00:01:10.200 --> 00:01:13.000]  使得我們真的可以有效
[00:01:13.000 --> 00:01:17.800]  有能力去將福音帶給有需要的人
[00:01:17.800 --> 00:01:20.600]  我們今天晚上等候在你的面前
[00:01:20.600 --> 00:01:24.800]  也給弟兄姊妹在家可以安靜
[00:01:24.800 --> 00:01:27.000]  甚至乎可以做筆記
[00:01:27.000 --> 00:01:29.000]  使得我們的研讀
[00:01:29.000 --> 00:01:31.800]  更加有一份興趣
[00:01:31.800 --> 00:01:34.800]  和有聖靈的感動
[00:01:34.800 --> 00:01:37.400]  我們愛慕神的話語
[00:01:37.400 --> 00:01:40.400]  尤其是羅馬書這卷這麼重要的書卷
[00:01:40.400 --> 00:01:44.200]  我們這樣禱告奉耶穌基督的名
[00:01:44.200 --> 00:01:45.200]  阿們
[00:01:45.200 --> 00:01:47.200]  第三講的羅馬書
[00:01:47.200 --> 00:01:49.600]  仍然是第一章的引言
[00:01:49.600 --> 00:01:52.000]  上一個星期我們講到
[00:01:52.000 --> 00:01:54.400]  很重要保羅看自己
[00:01:54.400 --> 00:01:56.800]  很清楚第一節第五節
[00:01:56.800 --> 00:02:02.400]  他也清楚自己是被神呼召去做使徒
[00:02:02.400 --> 00:02:04.800]  記得福音派
[00:02:04.800 --> 00:02:06.000]  至少福音派
[00:02:06.000 --> 00:02:10.800]  我們是拒絕承認這個世界還有新的使徒
[00:02:10.800 --> 00:02:14.200]  因為使徒這個職份已經過去了
[00:02:14.200 --> 00:02:17.200]  他們是耶穌的見證人
[00:02:17.200 --> 00:02:20.200]  他們在未寫聖經之前
[00:02:20.200 --> 00:02:22.200]  當然是新約聖經
[00:02:22.200 --> 00:02:27.800]  他們是介乎見過復活的耶穌
[00:02:27.800 --> 00:02:30.800]  降世的肉身的耶穌
[00:02:30.800 --> 00:02:34.800]  和他們是為這位復活的主耶穌
[00:02:34.800 --> 00:02:36.800]  作他們的生命見證
[00:02:36.800 --> 00:02:39.400]  當然見證不是只是那個Verbal
[00:02:39.400 --> 00:02:40.800]  講述
[00:02:40.800 --> 00:02:44.200]  是他們有那個很特殊的恩賜
[00:02:44.200 --> 00:02:47.200]  來記載聖經
[00:02:47.200 --> 00:02:48.800]  寫下一些書信
[00:02:48.800 --> 00:02:51.000]  這些是很特殊性的
[00:02:51.000 --> 00:02:54.200]  福音派到今天仍然沒有改變
[00:02:54.200 --> 00:02:56.800]  就是我們不承認
[00:02:56.800 --> 00:02:58.800]  還有新的使徒運動
[00:02:58.800 --> 00:03:01.000]  新的先知的運動
[00:03:01.000 --> 00:03:02.200]  因為不需要了
[00:03:02.200 --> 00:03:06.600]  因為已經有傳遍的新舊約
[00:03:06.600 --> 00:03:08.800]  已經完備的聖經
[00:03:08.800 --> 00:03:11.200]  不需要再有新的啟示
[00:03:11.200 --> 00:03:14.400]  我們是在已經有的聖經裏面
[00:03:14.400 --> 00:03:16.800]  去得到那個
[00:03:16.800 --> 00:03:18.200]  不只是靈感
[00:03:18.200 --> 00:03:21.000]  而是得到那個很明確的
[00:03:21.000 --> 00:03:22.600]  聖經的教導
[00:03:22.600 --> 00:03:26.000]  和我們跟隨著聖經的教導
[00:03:26.000 --> 00:03:28.200]  而去傳福音等等
[00:03:28.200 --> 00:03:32.000]  所以我們在這一章裏面
[00:03:32.000 --> 00:03:33.800]  那個引言部分
[00:03:33.800 --> 00:03:37.000]  保羅就很強調他這個使徒的身份
[00:03:37.000 --> 00:03:38.400]  使徒做什麼的呢?
[00:03:38.400 --> 00:03:41.200]  特別差派去傳福音
[00:03:41.200 --> 00:03:43.000]  問什麼是福音呢?
[00:03:43.000 --> 00:03:47.800]  福音就是這位降世成為人的耶穌
