
[00:00:00.000 --> 00:00:04.000]  主席,今天早上有本堂的傳道人
[00:00:04.000 --> 00:00:08.000]  早耀和吳傳道在當中為我們宣導
[00:00:08.000 --> 00:00:14.000]  傳道今天的講題是回應禱告的上主
[00:00:14.000 --> 00:00:18.000]  在宣導以先請聽我讀出一段經文
[00:00:18.000 --> 00:00:25.000]  是記載在舊約詩篇第132篇第一到第十八節
[00:00:25.000 --> 00:00:31.000]  在舊約聖經第901至902頁
[00:00:31.000 --> 00:00:38.000]  找到的請聽我讀出這篇132篇一到十八節
[00:00:38.000 --> 00:00:45.000]  耀和,求你紀念大衛,紀念他所受的一切苦難
[00:00:45.000 --> 00:00:51.000]  他怎樣向耀和起誓,向那國的大能者許願
[00:00:51.000 --> 00:00:56.000]  我必不進我的帳幕,也不上我的床鋪
[00:00:56.000 --> 00:01:01.000]  我不用我的眼睛睡覺,也不用我的眼皮打盹
[00:01:01.000 --> 00:01:08.000]  直等到我為耀和尋得所在,為那國的大能者尋得居所
[00:01:08.000 --> 00:01:16.000]  我們聽說若為在爾伯他,我們在雅爾的田野尋見他
[00:01:16.000 --> 00:01:22.000]  我們要進他的居所,在他的腳凳前下拜
[00:01:22.000 --> 00:01:29.000]  耀和說,求你興起與你有能力的約衞同入安揭之所
[00:01:29.000 --> 00:01:34.000]  願你的祭司披上公義,願你的聖文歡呼
[00:01:34.000 --> 00:01:40.000]  求你因你僕人大衛的緣故,不要惦記你的受高者
[00:01:40.000 --> 00:01:46.000]  耀和說,憑信實向大衛起了誓,絕不改變
[00:01:46.000 --> 00:01:51.000]  我要納你身所生的坐在你的寶座上
[00:01:51.000 --> 00:01:56.000]  你的眾子若謹守我的約,和我所教導他們的伯道
[00:01:56.000 --> 00:02:00.000]  他們的子孫必永遠坐在你的寶座上
[00:02:00.000 --> 00:02:07.000]  因為耀和說揀選了錫安,願意當作自己的居所
[00:02:07.000 --> 00:02:12.000]  這是我永遠安揭之所,我要住在這地方
[00:02:12.000 --> 00:02:18.000]  因為我願意在這裡,我要賜福使糧食豐足
