
[00:00:00.000 --> 00:00:00.920]  感謝陳
[00:00:00.920 --> 00:00:04.800]  今天晚上有我們的本堂傳道人曾敏姑娘
[00:00:04.800 --> 00:00:07.800]  在我們當中傳講神的話語
[00:00:07.800 --> 00:00:12.300]  她的講題是「蒙神重用的僕人」
[00:00:12.300 --> 00:00:15.400]  相關的經文是記載在獵王記上
[00:00:15.400 --> 00:00:19.200]  十七章八至二十四節
[00:00:19.200 --> 00:00:27.000]  獵王記上十七章八至二十四節
[00:00:27.000 --> 00:00:31.000]  是記載在舊約的四百九十六頁
[00:00:31.000 --> 00:00:40.000]  獵王記上十七章第八節這樣說
[00:00:40.000 --> 00:00:42.600]  「耶和華的話臨到他」
[00:00:42.600 --> 00:00:43.800]  即是「伊利亞」
[00:00:43.800 --> 00:00:45.000]  說
[00:00:45.000 --> 00:00:48.600]  「你起身到西頓的撒勒法去」
[00:00:48.600 --> 00:00:50.400]  「住在那裡」
[00:00:50.400 --> 00:00:55.600]  「看啊 我已吩咐那裡的一個寡婦供養你」
[00:00:55.600 --> 00:00:58.800]  「伊利亞就起身往撒勒法去」
[00:00:58.800 --> 00:01:01.800]  「她到了城門看啊」
[00:01:01.800 --> 00:01:05.400]  「有一個寡婦在那裡撿柴」
[00:01:05.400 --> 00:01:07.800]  「伊利亞呼喚她說」
[00:01:07.800 --> 00:01:11.800]  「請你用器皿取點水來給我喝」
[00:01:11.800 --> 00:01:14.200]  「她去取水的時候」
[00:01:14.200 --> 00:01:17.400]  「伊利亞又吩咐她說」
[00:01:17.400 --> 00:01:21.800]  「請你手裡也拿點餅來給我」
[00:01:21.800 --> 00:01:22.800]  「她說」
[00:01:22.800 --> 00:01:27.000]  「我只著永生的耶和華你的腎起勢」
[00:01:27.000 --> 00:01:28.800]  「我沒有餅」
[00:01:28.800 --> 00:01:31.200]  「探內只有一板面」
[00:01:31.200 --> 00:01:33.800]  「嬪女只有一點油」
[00:01:33.800 --> 00:01:37.000]  「看啊 我去找兩斤柴」
[00:01:37.000 --> 00:01:41.400]  「帶回家為我和我兒子做餅」
[00:01:41.400 --> 00:01:45.400]  「我們吃了就等死吧」
[00:01:45.400 --> 00:01:47.400]  「伊利亞對她說」
[00:01:47.400 --> 00:01:48.800]  「不要怕」
[00:01:48.800 --> 00:01:51.600]  「你去照你所說的做吧」
[00:01:51.600 --> 00:01:54.600]  「只要先為我做一個小餅」
[00:01:54.600 --> 00:01:56.200]  「拿來給我」
[00:01:56.200 --> 00:02:00.200]  「然後為你和你的兒子做餅」
[00:02:00.200 --> 00:02:03.600]  「因為耶和華與色烈的腎如此說」
[00:02:03.600 --> 00:02:06.800]  「探內的面必不用盡」
[00:02:06.800 --> 00:02:10.200]  「貧累的油必不短缺」
[00:02:10.200 --> 00:02:15.800]  「直到耶和華始於剛在地上的日子」
[00:02:15.800 --> 00:02:19.000]  「婦人就照伊利亞的話去做」
[00:02:19.000 --> 00:02:25.000]  「她和伊利亞以及她家中的人吃了許多日子」
[00:02:25.000 --> 00:02:28.400]  「探內的面果然沒有用盡」
[00:02:28.400 --> 00:02:31.400]  「貧累的油也不短缺」
[00:02:31.400 --> 00:02:35.400]  「正如耶和華藉伊利亞所說的話」
