
[00:00:00.000 --> 00:00:09.000]  經過了許多日子,有二十年,以色列全家都哀哭歸向耶和華。
[00:00:09.000 --> 00:00:16.000]  撒姆爾對以色列全家說:「你們若全心回轉歸向耶和華,
[00:00:16.000 --> 00:00:22.000]  就要從你們中間取掉外邦的神明王阿斯他祿,
[00:00:22.000 --> 00:00:27.000]  預備你們的心歸向耶和華,單單侍奉他。
[00:00:27.000 --> 00:00:31.000]  他必救你們脫離非利士人的手。」
[00:00:31.000 --> 00:00:39.000]  以色列人就取掉諸巴力王阿斯他祿,單單侍奉耶和華。
[00:00:39.000 --> 00:00:46.000]  撒姆爾說:「要召集以色列眾人到米斯巴去,
[00:00:46.000 --> 00:00:49.000]  我好為你們向耶和華禱告。」
[00:00:49.000 --> 00:00:54.000]  他們就聚集在米斯巴,打水,
[00:00:54.000 --> 00:01:02.000]  燒在耶和華面前。當日他們禁食,說:「我們得罪了耶和華。」
[00:01:02.000 --> 00:01:07.000]  撒姆爾在米斯巴作以色列人的事事。
[00:01:07.000 --> 00:01:13.000]  非利士人聽見以色列人聚集在米斯巴,
[00:01:13.000 --> 00:01:18.000]  非利士的領袖就上來要攻擊以色列。
[00:01:18.000 --> 00:01:25.000]  以色列人聽見就懼怕非利士人。
[00:01:25.000 --> 00:01:33.000]  以色列人對撒姆爾說:「願祢不住為我們呼求耶和華,我們的神,
[00:01:33.000 --> 00:01:37.000]  救我們脫離非利士人的手。」
[00:01:37.000 --> 00:01:43.000]  撒姆爾就把一隻吃奶的羔羊獻給耶和華,
[00:01:43.000 --> 00:01:48.000]  作全身的繁祭,為以色列人呼求耶和華。
[00:01:48.000 --> 00:01:55.000]  耶和華就應允他。撒姆爾正獻繁祭的時候,
[00:01:55.000 --> 00:01:59.000]  非利士人前來要與以色列爭戰。
[00:01:59.000 --> 00:02:04.000]  以色列人從米斯巴出來,追趕非利士人,
[00:02:04.000 --> 00:02:08.000]  擊殺他們,直到白鴿的下邊。
[00:02:08.000 --> 00:02:15.000]  撒姆爾拿一塊石頭,立在米斯巴和扇的中間,
[00:02:15.000 --> 00:02:23.000]  給石頭起名叫「以便爾者」,說:「到如今,耶和華都幫助我們。」
[00:02:23.000 --> 00:02:29.000]  因此,非利士人被制伏了,不再入侵以色列境內。
[00:02:29.000 --> 00:02:34.000]  撒姆爾有生之年,耶和華的手攻擊非利士人。
[00:02:34.000 --> 00:02:42.000]  (主持人:經文讀筆,請曾牧師)
[00:02:42.000 --> 00:02:44.000]  各位弟兄姊妹,早晨!
[00:02:44.000 --> 00:02:49.000]  一年,我只有兩次機會來大家當中講道,
[00:02:49.000 --> 00:02:52.000]  這次是年底,第二次。
[00:02:52.000 --> 00:02:56.000]  都很希望能夠藉著今天早上的訊息,
[00:02:56.000 --> 00:02:59.000]  和大家又有一些紀念,
[00:02:59.000 --> 00:03:03.000]  因為猶太人很喜歡納石為記,
[00:03:03.000 --> 00:03:08.000]  很多的,稍後我和大家做一些聖經便會知道。
[00:03:08.000 --> 00:03:11.000]  不如我們先有一個簡單的祈禱吧。
[00:03:11.000 --> 00:03:17.000]  親愛的主耶穌,今早我們能夠聚集在嘉欣樓,
[00:03:17.000 --> 00:03:22.000]  我們大家都帶著一份心靈,安靜的來到您的面前,
[00:03:22.000 --> 00:03:27.000]  您是配得我們重讚敬拜的真神。
[00:03:27.000 --> 00:03:32.000]  雖然我們見不到您,但您是無處不在的真神,
[00:03:32.000 --> 00:03:35.000]  是那一位監察人心,
[00:03:35.000 --> 00:03:39.000]  也是用您自己永遠的愛,愛我們。
[00:03:39.000 --> 00:03:41.000]  因為我們認識您,
[00:03:41.000 --> 00:03:46.000]  我們的生命可以不斷有發現,不斷有提升,
[00:03:46.000 --> 00:03:50.000]  我們的新心靈都能夠有成長和建造,
[00:03:50.000 --> 00:03:54.000]  我們在知識,我們在我們的情感,
[00:03:54.000 --> 00:03:59.000]  在我們的意志都能夠像我們的主,
[00:03:59.000 --> 00:04:04.000]  因為您本身就是用您自己的形象,樣式來做我們。
