
[00:00:00.000 --> 00:00:02.640]  各位弟兄姊妹,主佬們平安
[00:00:02.640 --> 00:00:06.360]  很少在午堂跟大家講道
[00:00:06.360 --> 00:00:08.200]  我也很珍惜這個機會
[00:00:08.200 --> 00:00:12.440]  今天講這個題目「脫去穿上」
[00:00:12.440 --> 00:00:15.120]  令我們想起衣服
[00:00:15.120 --> 00:00:17.640]  我是一個不太喜歡買衣服的人
[00:00:17.640 --> 00:00:20.120]  如果弟兄姊妹經常見我
[00:00:20.120 --> 00:00:22.680]  就見到我穿來穿去都好像差不多
[00:00:22.680 --> 00:00:25.000]  因為我覺得穿甚麼衣服
[00:00:25.000 --> 00:00:26.640]  我都不會有太大的改變
[00:00:26.640 --> 00:00:28.560]  穿起龍袍都不像太子
[00:00:28.560 --> 00:00:31.600]  所以我穿的衣服很單調
[00:00:31.600 --> 00:00:34.080]  通常你見到我就是正式的
[00:00:34.080 --> 00:00:38.880]  我連花都沒有,最多胸口有個袋
[00:00:38.880 --> 00:00:40.800]  有一次牧師問我
[00:00:40.800 --> 00:00:42.800]  「你是否只有一件穿衣服?」
[00:00:42.800 --> 00:00:45.120]  因為他見我穿來穿去都是那件
[00:00:45.120 --> 00:00:48.400]  其實不是的,我是單調到一個地步
[00:00:48.400 --> 00:00:50.560]  我覺得那件衣服是舒服的
[00:00:50.560 --> 00:00:53.320]  我是會同款不同色買一堆的
[00:00:53.320 --> 00:00:57.720]  所以我的衣櫃裏基本上是差不多款式
[00:00:57.720 --> 00:01:00.200]  你見我好像卡通人物一樣
[00:01:00.200 --> 00:01:04.360]  每次見到我都是差不多款式、差不多衣服
[00:01:04.360 --> 00:01:07.240]  雖然好像每天都是那件
[00:01:07.240 --> 00:01:10.040]  但事實上當然是有換衣服的
[00:01:10.040 --> 00:01:12.080]  好像最近天氣這麼熱
[00:01:12.080 --> 00:01:16.520]  你穿了半天已經整件衣服都是汗
[00:01:16.520 --> 00:01:18.240]  你會很想換掉它
[00:01:18.240 --> 00:01:20.760]  你不要說一件衣服穿兩天
[00:01:20.760 --> 00:01:22.840]  你半天都受不了
[00:01:22.840 --> 00:01:27.120]  保羅在《伊弗所書》裏叫一些信徒
[00:01:27.120 --> 00:01:30.800]  「你要脫去救我,穿上身我」
