
[00:00:00.000 --> 00:00:04.540]  今天又可以來到大家當中
[00:00:04.540 --> 00:00:09.040]  與大家一起以上帝的話語彼此勉勵
[00:00:09.040 --> 00:00:15.300]  我們今天集中講《已忽所書》第五章15到21節
[00:00:15.300 --> 00:00:20.420]  我們在過去的新年裏面
[00:00:20.420 --> 00:00:23.540]  大家一起吃飯的時候有沒有喝酒
[00:00:23.540 --> 00:00:26.340]  因為有時人們都會說
[00:00:26.340 --> 00:00:29.080]  聖經說不准喝酒
[00:00:29.080 --> 00:00:31.080]  保羅說的
[00:00:31.080 --> 00:00:34.000]  但其實他們很多時候用這裏
[00:00:34.000 --> 00:00:36.280]  《已忽所書》第五章裏面說
[00:00:36.280 --> 00:00:37.740]  不要醉酒
[00:00:37.740 --> 00:00:39.960]  我們就說不可以喝酒
[00:00:39.960 --> 00:00:43.540]  其實保羅沒有說過不可以喝酒
[00:00:43.540 --> 00:00:48.080]  他只是說不可以醉酒
[00:00:48.080 --> 00:00:51.840]  在這裏的經文裏面
[00:00:51.840 --> 00:00:55.040]  保羅亦都用聖靈充滿
[00:00:55.040 --> 00:00:58.000]  加上醉酒一起去講
[00:00:58.000 --> 00:01:02.000]  以致有一個聖靈充滿的道理
[00:01:02.000 --> 00:01:05.000]  帶到去彼個我們
[00:01:05.000 --> 00:01:08.840]  這個保羅一般的書信
[00:01:08.840 --> 00:01:13.420]  通常前的部分都是理論的部分
[00:01:13.420 --> 00:01:15.420]  《已忽所書》都是一樣
[00:01:15.420 --> 00:01:17.420]  在一至三章裏面
[00:01:17.420 --> 00:01:22.660]  就講到信徒因為耶穌基督十字架的救恩
[00:01:22.660 --> 00:01:24.340]  我們得著了
[00:01:24.340 --> 00:01:27.880]  所以我們的生命就要活出
[00:01:27.880 --> 00:01:31.720]  在耶穌基督裏面的生命
[00:01:31.720 --> 00:01:37.680]  就要活出一個在耶穌基督裏面的生命
[00:01:37.680 --> 00:01:42.100]  到第四至第六章的時候
[00:01:42.100 --> 00:01:45.380]  就有一些實際的應用
[00:01:45.380 --> 00:01:50.720]  就講明這個信徒怎樣去行出
[00:01:50.720 --> 00:01:53.720]  在第四章裏面就講到
[00:01:53.720 --> 00:01:56.920]  信徒之間要有一個合一的表現
[00:01:56.920 --> 00:01:59.920]  要有一個光明的生命
[00:01:59.920 --> 00:02:02.720]  要有一個聖潔的言語
[00:02:02.720 --> 00:02:06.220]  到底第五章的下半部分
[00:02:06.220 --> 00:02:10.220]  到第六章就講了很多人際關係
[00:02:10.220 --> 00:02:13.220]  夫妻之間怎樣相處
[00:02:13.220 --> 00:02:16.220]  子女之間又怎樣相處
[00:02:16.220 --> 00:02:20.220]  主人和僕人又應該怎樣呢?
[00:02:20.220 --> 00:02:26.220]  在《耶福所書》第五章十五到二十一節裏面
[00:02:26.220 --> 00:02:30.220]  就講到怎樣可以有力
[00:02:30.220 --> 00:02:38.220]  並且持續地活出一個在基督裏面的生命
[00:02:38.220 --> 00:02:45.220]  我們看看第十五、第十七和第十八節
[00:02:45.220 --> 00:02:47.220]  這三節的經文
[00:02:47.220 --> 00:02:53.220]  裏面有一個很特別的句式
[00:02:53.220 --> 00:02:59.220]  第十五節說不要像無知的人
[00:02:59.220 --> 00:03:03.220]  不要做一些沒甚麼智慧的人
[00:03:03.220 --> 00:03:05.220]  要倒要怎樣呢?
[00:03:05.220 --> 00:03:08.220]  要做一個智慧的人
[00:03:08.220 --> 00:03:13.220]  第十七節說不要做一個糊塗人
[00:03:13.220 --> 00:03:16.220]  不做糊塗人要怎樣呢?
[00:03:16.220 --> 00:03:19.220]  要明白上帝的旨意
[00:03:19.220 --> 00:03:21.220]  我們先看這兩節
[00:03:21.220 --> 00:03:26.220]  其實在第十五和第十七節
[00:03:26.220 --> 00:03:30.220]  這兩節的經文是彼此在解釋的
[00:03:30.220 --> 00:03:34.220]  他說要做一個有智慧的人
[00:03:34.220 --> 00:03:37.220]  聖經裏面說有智慧的人
[00:03:37.220 --> 00:03:42.220]  不是指有學問、有地位、很聰明的人
[00:03:42.220 --> 00:03:47.220]  而是指願意聽從上帝的話語的人
[00:03:47.220 --> 00:03:51.220]  願意追求上帝心意的人
[00:03:51.220 --> 00:03:57.220]  所以在經文裏面說敬畏耶和華是智慧的開端
[00:03:57.220 --> 00:04:02.220]  所以這個智慧不是說聰明或有學問的人
[00:04:02.220 --> 00:04:08.220]  是說願意跟從上帝、願意聽他話的人
[00:04:08.220 --> 00:04:14.220]  上帝是一個有真智慧的神
[00:04:14.220 --> 00:04:19.220]  他是一個無所不知、無所不能的上帝
[00:04:19.220 --> 00:04:22.220]  所以我們在上帝裏面的時候
[00:04:22.220 --> 00:04:25.220]  我們就不會再是一個無知的人
[00:04:25.220 --> 00:04:28.220]  亦都不會再是一個糊里糊塗
[00:04:28.220 --> 00:04:32.220]  甚麼都不知道、甚麼都蒙查查地去做人
[00:04:32.220 --> 00:04:36.220]  我記得我在教育學院讀書的時候
[00:04:36.220 --> 00:04:40.220]  有一位老師、一位導師去作見證
[00:04:40.220 --> 00:04:43.220]  不過其實他那時候都是在尋求耶穌
[00:04:43.220 --> 00:04:44.220]  他都未相信的
[00:04:44.220 --> 00:04:47.220]  他就說當他大學畢業的時候
[00:04:47.220 --> 00:04:50.220]  他其實是很喜歡教書的
[00:04:50.220 --> 00:04:54.220]  他都覺得教書的收入都頗穩定的
[00:04:54.220 --> 00:04:57.220]  但他覺得不夠多
[00:04:57.220 --> 00:05:00.220]  其實我想教書的收入都很高的
[00:05:00.220 --> 00:05:02.220]  但他覺得不夠多
[00:05:02.220 --> 00:05:06.220]  他就毅然沒有再教書
[00:05:06.220 --> 00:05:09.220]  就走出去做生意
[00:05:09.220 --> 00:05:11.220]  但做了十幾年之後
[00:05:11.220 --> 00:05:13.220]  他覺得很辛苦
[00:05:13.220 --> 00:05:15.220]  因為這個不是他的性格
[00:05:15.220 --> 00:05:18.220]  亦都不是他自己的興趣
[00:05:18.220 --> 00:05:20.220]  所以做了十幾年生意之後
