
[00:00:00.000 --> 00:00:04.000]  今日我們有鄧太康傳道在我們莊中靜悟
[00:00:04.000 --> 00:00:10.400]  今日的講題是「我們與神的關係 葡萄樹與枝子」
[00:00:10.400 --> 00:00:15.200]  經文記載在約翰福音十五章一至八節
[00:00:15.200 --> 00:00:20.400]  「我就是真葡萄樹 我乎是栽培的人」
[00:00:20.400 --> 00:00:25.000]  「凡屬我不潔果子的枝子 它就剪掉」
[00:00:25.600 --> 00:00:31.000]  「凡潔果子的 它就修剪乾淨 使枝子潔果子更多」
[00:00:31.000 --> 00:00:36.000]  「現在你們因我講給你們的道 已經潔淨了」
[00:00:36.000 --> 00:00:41.000]  「你們要常在我裡面 我也常在你們裡面」
[00:00:41.000 --> 00:00:47.000]  「枝子若不常在葡萄樹上 自己就不能潔果子」
[00:00:47.000 --> 00:00:51.000]  「你們若不常在我裡面 也是這樣」
[00:00:52.000 --> 00:00:56.000]  「我就是葡萄樹 你們是枝子」
[00:00:56.000 --> 00:01:00.000]  「常在我裡面的 我也常在它裡面」
[00:01:00.000 --> 00:01:06.000]  「這人就多潔果子 因為來了我 你們就不能做什麼」
[00:01:06.000 --> 00:01:13.000]  「人若不常在我裡面 就像枝子被雕在外面 枯乾了」
[00:01:13.000 --> 00:01:17.000]  「人撿起來 迎進火裡燒了」
[00:01:18.000 --> 00:01:22.000]  「你們若常在我裡面 我的話也常在你們裡面」
[00:01:22.000 --> 00:01:27.000]  「凡你們想要的 祈求就給你們成全」
[00:01:27.000 --> 00:01:31.000]  「你們多潔果子 我父就因此得榮耀」
[00:01:31.000 --> 00:01:34.000]  「你們也就是我的門徒了」
[00:01:34.000 --> 00:01:37.000]  恭敬真時間交給鄧權龍
[00:01:37.000 --> 00:01:38.000]  鄧英傑 早安
[00:01:38.000 --> 00:01:43.000]  很感恩 很久不見 有很多的面孔
[00:01:43.000 --> 00:01:47.000]  很開心今天有機會回來再跟大家分享
[00:01:48.000 --> 00:01:51.000]  當我回來的時候不斷在想
[00:01:51.000 --> 00:01:54.000]  究竟說什麼呢?
[00:01:54.000 --> 00:01:56.000]  什麼是重要呢?
[00:01:56.000 --> 00:01:59.000]  當然整本聖經都重要
[00:01:59.000 --> 00:02:04.000]  但是我常常覺得一件事 有些基礎的原則是很重要的
[00:02:04.000 --> 00:02:07.000]  所以我特意選了今天這篇聖經
[00:02:07.000 --> 00:02:10.000]  這篇經文其實大家很熟悉
[00:02:10.000 --> 00:02:14.000]  我相信大家有很多人甚至聽過千千萬萬次
[00:02:15.000 --> 00:02:18.000]  我想告訴大家這篇經文有一個很重要的背景
[00:02:18.000 --> 00:02:19.000]  是大家不可以不知道的
[00:02:19.000 --> 00:02:22.000]  這篇經文在馬太方第十五章
[00:02:22.000 --> 00:02:25.000]  但是當他去說的時候
[00:02:25.000 --> 00:02:30.000]  其實是第十二章耶穌進入耶路撒冷
[00:02:30.000 --> 00:02:36.000]  耶穌進入耶路撒冷是代表已經進入整個救贖的尾期
[00:02:36.000 --> 00:02:38.000]  另一個階段
[00:02:38.000 --> 00:02:41.000]  第三章的時候是耶穌的最後晚餐
[00:02:42.000 --> 00:02:45.000]  耶穌的門徒洗腳預備自己被賣
[00:02:45.000 --> 00:02:47.000]  預備要去港區復活
[00:02:47.000 --> 00:02:49.000]  到了第十四章
[00:02:49.000 --> 00:02:53.000]  他安慰他的門徒說他一定會回來
[00:02:53.000 --> 00:02:55.000]  他會刺客聖靈
[00:02:55.000 --> 00:02:57.000]  之後才進入第十五章
[00:02:57.000 --> 00:03:00.000]  其實我想跟大家說一件很重要的事
[00:03:00.000 --> 00:03:05.000]  我不知道大家今天屬靈生命你是怎樣
[00:03:05.000 --> 00:03:09.000]  我不知道你信了耶穌之後這麼久
[00:03:10.000 --> 00:03:12.000]  你參與了很多的侍奉一段日子
[00:03:12.000 --> 00:03:15.000]  我不知道你今天的屬靈生命是如何
[00:03:15.000 --> 00:03:20.000]  究竟是按著聖經上帝所給我們的豐盛
[00:03:20.000 --> 00:03:23.000]  還是很枯乾
[00:03:23.000 --> 00:03:31.000]  還是我們只是一個表面上很快樂
[00:03:31.000 --> 00:03:36.000]  但是其實裡面有很多生命問題的基督徒
[00:03:36.000 --> 00:03:39.000]  為什麼這篇經文重要
[00:03:39.000 --> 00:03:42.000]  因為耶穌要離開了
[00:03:42.000 --> 00:03:45.000]  其實他很想告訴他的門徒
[00:03:45.000 --> 00:03:49.000]  因為他早就知道門徒之後會有很多跌倒
[00:03:49.000 --> 00:03:51.000]  但是我想告訴他們
[00:03:51.000 --> 00:03:53.000]  請你們記得一個很重要的秘訣
[00:03:53.000 --> 00:04:01.000]  就是怎樣才能夠時時保持我的生命在我裡面
[00:04:01.000 --> 00:04:06.000]  我怎樣才能夠將生命不斷保持在我裡面
[00:04:06.000 --> 00:04:08.000]  因為耶穌說過什麼
[00:04:08.000 --> 00:04:12.000]  我來到是要讓你們的生命更豐盛
[00:04:12.000 --> 00:04:14.000]  我經常都想告訴頂尖會
[00:04:14.000 --> 00:04:17.000]  請你將你的信仰不要停留在
[00:04:17.000 --> 00:04:19.000]  你當日只是舉了手
[00:04:19.000 --> 00:04:22.000]  我決志信耶穌之後完
[00:04:22.000 --> 00:04:24.000]  不是的
[00:04:24.000 --> 00:04:26.000]  我經常提醒受洗頂尖會
[00:04:26.000 --> 00:04:29.000]  那只不過是一個開始
[00:04:29.000 --> 00:04:31.000]  更加重要的是
