
[00:00:00.000 --> 00:00:02.500]  很感恩,今天是一個很特別的日子
[00:00:02.500 --> 00:00:04.500]  很特別的日子在於
[00:00:04.500 --> 00:00:08.500]  下一次我們在這裏見面的時候是何時?
[00:00:08.500 --> 00:00:10.500]  是年初一
[00:00:10.500 --> 00:00:12.500]  先跟大家拜個早年
[00:00:12.500 --> 00:00:14.500]  祝大家身體健康
[00:00:14.500 --> 00:00:17.500]  獨齡生命更加越來越的剛強
[00:00:17.500 --> 00:00:19.000]  求主幫助我們
[00:00:19.000 --> 00:00:21.000]  今天又很開心,是一個很特別的日子
[00:00:21.000 --> 00:00:24.500]  我們可以在這裏一起聽Z7的見證
[00:00:24.500 --> 00:00:26.500]  讓我們更加明白
[00:00:26.500 --> 00:00:31.500]  有時候我見大家拿著程序表的代禱事項
[00:00:31.500 --> 00:00:34.500]  去到Z7又不知道是甚麼
[00:00:34.500 --> 00:00:36.500]  現在我們就能夠了解得多一點
[00:00:36.500 --> 00:00:38.500]  又能夠更加到位
[00:00:38.500 --> 00:00:40.500]  來為他們禱告
[00:00:40.500 --> 00:00:42.500]  感謝天父,我們一起低頭祈禱
[00:00:42.500 --> 00:00:46.500]  相信天父上帝我們來到你的庚前
[00:00:46.500 --> 00:00:48.500]  我們要多謝你
[00:00:48.500 --> 00:00:50.500]  多謝天父你是你的恩典
[00:00:50.500 --> 00:00:52.500]  讓我們能夠在這裏聚集
[00:00:52.500 --> 00:00:53.500]  是你的恩典
[00:00:53.500 --> 00:00:55.500]  讓我們能夠在這裏一起敬拜
[00:00:55.500 --> 00:00:57.500]  一起歌頌
[00:00:57.500 --> 00:00:59.500]  一起侍奉
[00:00:59.500 --> 00:01:02.500]  一起聽關於Z7的見證
[00:01:02.500 --> 00:01:04.500]  又能夠在這裏
[00:01:04.500 --> 00:01:06.500]  主讓我們一起聽上帝的話語
[00:01:06.500 --> 00:01:08.500]  求神幫助我們
[00:01:08.500 --> 00:01:10.500]  讓我們無論聽的、說的
[00:01:10.500 --> 00:01:12.500]  都在你面前蒙恩
[00:01:12.500 --> 00:01:14.500]  可以一起領受你的教導
[00:01:14.500 --> 00:01:16.500]  求主看顧
[00:01:16.500 --> 00:01:18.500]  天父我們將這段時間交上
[00:01:18.500 --> 00:01:19.500]  求主憐憫
[00:01:19.500 --> 00:01:21.500]  奉主耶穌基督的聖名
[00:01:21.500 --> 00:01:23.500]  阿們
[00:01:23.500 --> 00:01:25.500]  提摩太后宣
[00:01:25.500 --> 00:01:27.500]  這次我跟大家講的這段經文
[00:01:27.500 --> 00:01:32.500]  我覺得又和今天的Z7的分享很合
[00:01:32.500 --> 00:01:35.500]  這段經文是保羅寫信
[00:01:35.500 --> 00:01:38.500]  再和提摩太太分享
[00:01:38.500 --> 00:01:40.500]  分享可能是不好
[00:01:40.500 --> 00:01:42.500]  適切用分享這個字
[00:01:42.500 --> 00:01:45.500]  應該是他最後對提摩太太有一些叮嚀
[00:01:45.500 --> 00:01:47.500]  這段時間應該是保羅
[00:01:47.500 --> 00:01:49.500]  快要離世的日子
[00:01:49.500 --> 00:01:51.500]  快要離世的日子
[00:01:51.500 --> 00:01:53.500]  他要講什麼話
[00:01:53.500 --> 00:01:56.500]  是一些很重要的話
[00:01:56.500 --> 00:01:58.500]  但保羅當時被囚禁
[00:01:58.500 --> 00:02:00.500]  是一個死囚
[00:02:00.500 --> 00:02:04.500]  所以他不能夠去找提摩太太
[00:02:04.500 --> 00:02:06.500]  和她以提念命
[00:02:06.500 --> 00:02:09.500]  但他就寫了四張提摩太后書
