
[00:00:00.000 --> 00:00:02.000]  請我們同心祈禱
[00:00:02.000 --> 00:00:04.000]  親愛的主
[00:00:04.000 --> 00:00:08.000]  再一次我們感謝讚美你
[00:00:08.000 --> 00:00:11.000]  讓我們能夠朝見你
[00:00:11.000 --> 00:00:13.000]  敬拜你
[00:00:13.000 --> 00:00:17.000]  剛才的師哥再再告訴我們
[00:00:17.000 --> 00:00:20.000]  你是掌管著萬有的主
[00:00:20.000 --> 00:00:23.000]  雖然可能在地上
[00:00:23.000 --> 00:00:27.000]  我們會面對很大的困難
[00:00:27.000 --> 00:00:29.000]  有個人的
[00:00:29.000 --> 00:00:32.000]  有社會現在的疫情
[00:00:32.000 --> 00:00:36.000]  也可能有一些我們不能掌控的事情
[00:00:36.000 --> 00:00:42.000]  但是雖然雲很密集
[00:00:42.000 --> 00:00:47.000]  但是雲上的太陽告訴我們
[00:00:47.000 --> 00:00:53.000]  坐在寶座上仍然是掌管著萬有的造物主宰
[00:00:53.000 --> 00:00:57.000]  我們今天能夠打開彼得前書
[00:00:57.000 --> 00:00:59.000]  一同去研讀
[00:00:59.000 --> 00:01:04.000]  我們見到使徒彼得帶我們去思想
[00:01:04.000 --> 00:01:06.000]  帶我們去認識的
[00:01:06.000 --> 00:01:09.000]  我們這一位耶穌基督
[00:01:09.000 --> 00:01:12.000]  是多麼值得我們去追求
[00:01:12.000 --> 00:01:15.000]  因為你是穩固的盤石
[00:01:15.000 --> 00:01:18.000]  是防國的頭塊石頭
[00:01:18.000 --> 00:01:21.000]  就是說一切的根基
[00:01:21.000 --> 00:01:23.000]  在主耶穌裡面
[00:01:23.000 --> 00:01:25.000]  是從來都沒有動搖過
[00:01:25.000 --> 00:01:30.000]  幫助我們能夠一起建立教會
[00:01:30.000 --> 00:01:34.000]  我們一起在神的聖宮去傳揚福音
[00:01:34.000 --> 00:01:37.000]  將人帶進基督的大愛
[00:01:37.000 --> 00:01:41.000]  我們都能夠真的這樣感受到
[00:01:41.000 --> 00:01:47.000]  我們就是在發揮活石的生命作用
[00:01:47.000 --> 00:01:50.000]  我們在你面前等候禱告
[00:01:50.000 --> 00:01:52.000]  奉耶穌基督的命
[00:01:52.000 --> 00:01:54.000]  阿們
[00:01:54.000 --> 00:01:56.000]  一段聖經
[00:01:56.000 --> 00:01:59.000]  我們講過有兩堂了
[00:01:59.000 --> 00:02:02.000]  彼得來到去勸勉
[00:02:02.000 --> 00:02:04.000]  當時是分散了在
[00:02:04.000 --> 00:02:08.000]  本都 加拉泰 加伯多加 比推尼
[00:02:08.000 --> 00:02:10.000]  這些寄居的
[00:02:10.000 --> 00:02:14.000]  很可能他們真的要面對分散
[00:02:14.000 --> 00:02:18.000]  有在羅馬政權的迫迫
[00:02:18.000 --> 00:02:21.000]  也都可能在他們的心靈上面
[00:02:21.000 --> 00:02:26.000]  面對內憂外患
[00:02:26.000 --> 00:02:28.000]  很多這些困難
[00:02:28.000 --> 00:02:31.000]  令到信徒
[00:02:31.000 --> 00:02:35.000]  其實內心那個盼望的依歸
