
[00:00:00.000 --> 00:00:03.140]  晚安 各位網友 我們一起禱告
[00:00:03.140 --> 00:00:07.480]  再一次我們將整個的聚會仰望交託給主
[00:00:07.480 --> 00:00:11.040]  多謝你招聚我們 透過不同的方式
[00:00:11.040 --> 00:00:14.540]  我們可以在現場 我們可以在線上
[00:00:14.540 --> 00:00:19.320]  也可以之後透過YouTube的頻道
[00:00:19.320 --> 00:00:21.820]  我們可以聽一些錄音
[00:00:21.820 --> 00:00:25.700]  都給我們在信息裏面 我們有啟發
[00:00:25.700 --> 00:00:31.580]  特別是在第13、14章 一直到第15章的第一個段落
[00:00:31.580 --> 00:00:36.440]  都是保羅很想教會在待人接物
[00:00:36.440 --> 00:00:39.980]  彼此相交、相處上面
[00:00:39.980 --> 00:00:44.380]  要有基督徒的那個愛心
[00:00:44.380 --> 00:00:46.840]  我們很盼望主都帶領我們
[00:00:46.840 --> 00:00:50.560]  因為雖然時代不同 文化背景都不同
[00:00:50.560 --> 00:00:53.320]  我們都不是猶太的民族
[00:00:53.320 --> 00:00:58.380]  或者當時歐洲的這些不同的地區的人
[00:00:58.380 --> 00:01:01.400]  但是我們知道神的話語
[00:01:01.400 --> 00:01:05.640]  特別是那個大方向原則是不會改變的
[00:01:05.640 --> 00:01:10.260]  幫助我們每一個地區的教會都來去遵守
[00:01:10.260 --> 00:01:14.660]  都來去有一個透過啟發、反思
[00:01:14.660 --> 00:01:18.260]  而帶來的那個具體的落實、執行
[00:01:18.260 --> 00:01:21.540]  使到教會能夠與時俱進
[00:01:21.540 --> 00:01:25.760]  去承載不同弟兄姐妹的心靈
[00:01:25.760 --> 00:01:29.280]  來去認識主和同心的事故主
[00:01:29.280 --> 00:01:31.940]  我們一起在你面前等候禱告
[00:01:31.940 --> 00:01:35.300]  奉耶穌基督的名 阿們
[00:01:35.300 --> 00:01:39.140]  上一個星期我們都差不多講了
[00:01:39.140 --> 00:01:42.220]  第1到第12節的那個段落
[00:01:42.220 --> 00:01:46.320]  我們今天就可以再去思想
[00:01:46.320 --> 00:01:50.420]  或者我們從第13節這個段落開始
[00:01:50.420 --> 00:01:55.340]  到第23節 就是在這一章裏面
[00:01:55.340 --> 00:01:59.260]  是有兩個大的分段的
[00:01:59.260 --> 00:02:02.300]  在第一個分段我們就講過
[00:02:02.300 --> 00:02:05.460]  第1到第12節就要避免
[00:02:05.460 --> 00:02:11.060]  不要去壟斷教會裏面一些人所做的事
[00:02:11.060 --> 00:02:14.180]  如果那些事情不是與真理、
[00:02:14.180 --> 00:02:17.780]  救恩有關連的 直接的關聯的
[00:02:17.780 --> 00:02:23.420]  我們就要彼此的尊重、欣賞、接納
[00:02:23.420 --> 00:02:29.480]  接著去到第13節就剛剛一個對比
[00:02:29.480 --> 00:02:32.380]  一個負面的不要壟斷
[00:02:32.380 --> 00:02:38.220]  13到23節剛剛一個進程或者一個對比
[00:02:38.220 --> 00:02:43.620]  就是要怎樣去具體去挽回弟兄
[00:02:43.620 --> 00:02:47.660]  以及怎樣可以透過一些飲食
[00:02:47.660 --> 00:02:52.180]  透過一些文化的差異就可以接納到
[00:02:52.180 --> 00:02:55.860]  以致那個愛心能夠很具體的落實
[00:02:55.860 --> 00:03:01.420]  所以這兩段經文都是保羅很有意識地
[00:03:01.420 --> 00:03:05.700]  很想在一些很實際的
[00:03:05.700 --> 00:03:08.060]  包括可能保羅自己也知道
[00:03:08.060 --> 00:03:10.860]  會有這樣的文化差異
[00:03:10.860 --> 00:03:14.080]  他來舉這些例子很具體的
[00:03:14.080 --> 00:03:19.220]  就是發生在當時羅馬帝國意大利的教會
[00:03:19.220 --> 00:03:21.860]  因為有猶太人的聚集
[00:03:21.860 --> 00:03:26.700]  所以在這麼大的文化差距之下
[00:03:26.700 --> 00:03:30.600]  能夠這樣來到去有一個教導
[00:03:30.600 --> 00:03:33.980]  其實殊不簡單 可想而知保羅
[00:03:33.980 --> 00:03:36.140]  不只是講一些道理
[00:03:36.140 --> 00:03:42.260]  而是他很具體在每個星期的聚集的生活裏面
[00:03:42.260 --> 00:03:46.620]  怎樣能夠帶出一份愛的生命
[00:03:46.620 --> 00:03:49.300]  怎樣能夠彼此的接納
[00:03:49.300 --> 00:03:51.380]  以致能夠合一呢?
[00:03:51.380 --> 00:03:54.420]  所以這一章其實都相當精彩的
[00:03:54.420 --> 00:03:59.100]  不過這一章我們又不能夠抽離上下文
[00:03:59.100 --> 00:04:04.500]  因為整個的上下文比較遙遠的12章
[00:04:04.500 --> 00:04:10.180]  就是我們已經要肯定自己是一個活祭的生命
[00:04:10.180 --> 00:04:13.740]  是神用了很重的代價
[00:04:13.740 --> 00:04:16.020]  他的愛子為我們犧牲
[00:04:16.020 --> 00:04:18.860]  所以如果我們就這樣讀14章
[00:04:18.860 --> 00:04:22.460]  我們就好像覺得我們要在教會裏面做和事佬
[00:04:22.460 --> 00:04:25.620]  做好人 大家不要生涯不要口
[00:04:25.620 --> 00:04:27.780]  就變成好像人與人之間
[00:04:27.780 --> 00:04:31.620]  怎樣來制定一些的律例
[00:04:31.620 --> 00:04:35.620]  或者一些的守則 圖書館盡量不要吵
[00:04:35.620 --> 00:04:39.700]  就不是這樣 而是在更大的大前提
[00:04:39.700 --> 00:04:44.940]  我們對外固然要面對尼祿羅馬帝國
[00:04:44.940 --> 00:04:49.540]  所以我們在正常的情況下我們要學習馴服
[00:04:49.540 --> 00:04:53.340]  我們要來到去在那個實際的操作
[00:04:53.340 --> 00:04:56.340]  例如我們要納稅 我們要奉公守法
[00:04:56.340 --> 00:04:58.980]  我們要來到去做好這件事
[00:04:58.980 --> 00:05:03.740]  第14章就是教會是一班無恩的人
[00:05:03.740 --> 00:05:08.340]  我們都是神的活祭的生命
[00:05:08.340 --> 00:05:12.340]  奉獻了給神的一個祭身
[00:05:12.340 --> 00:05:16.740]  我們應該怎樣在我們人與人之間的相處
[00:05:16.740 --> 00:05:23.460]  明顯是有不同的信主和信心的程度
[00:05:23.460 --> 00:05:25.260]  都有不相同的時候
[00:05:25.260 --> 00:05:30.580]  看事物的角度 看事物的情況又有不同
[00:05:30.580 --> 00:05:34.100]  怎樣可以處理得好一些呢?
