
[00:00:00.000 --> 00:00:02.800]  各位我們一起同心禱告
[00:00:02.800 --> 00:00:05.520]  多謝天父讓今天晚上
[00:00:05.520 --> 00:00:09.720]  我們再一次可以查《羅馬書》第六章
[00:00:09.720 --> 00:00:12.120]  幫助我們能夠對這兩個段落
[00:00:12.120 --> 00:00:15.200]  可以掌握保羅想要探討的
[00:00:15.200 --> 00:00:17.200]  不可犯罪
[00:00:17.200 --> 00:00:20.000]  以及不可以濫用恩典
[00:00:20.000 --> 00:00:22.400]  也讓我們能夠看到
[00:00:22.400 --> 00:00:26.240]  到底怎樣可以靠主得勝
[00:00:26.240 --> 00:00:29.160]  在地上、在有限的人生
[00:00:29.160 --> 00:00:31.160]  過一個土神喜悅
[00:00:31.160 --> 00:00:34.480]  以及將自己奉獻給神的生活
[00:00:34.480 --> 00:00:35.920]  求主帶領我們
[00:00:35.920 --> 00:00:39.440]  這些都不是說要怎樣去引修
[00:00:39.440 --> 00:00:42.160]  怎樣去過一些被世的生活
[00:00:42.160 --> 00:00:44.720]  而是在我們的日常生活裏面
[00:00:44.720 --> 00:00:47.160]  這是我們基督徒正常
[00:00:47.160 --> 00:00:49.160]  應該是正常的生活
[00:00:49.160 --> 00:00:51.160]  正常的基督徒生活
[00:00:51.160 --> 00:00:53.720]  就是要將自己獻給神的
[00:00:53.720 --> 00:00:56.320]  求主帶領我們看這些經文
[00:00:56.320 --> 00:01:00.080]  裏面都有相當關鍵的一些字詞
[00:01:00.080 --> 00:01:01.600]  我們能夠掌握
[00:01:01.600 --> 00:01:03.880]  雖然我們不懂原文的希臘文
[00:01:03.880 --> 00:01:06.600]  但是讓我們能夠透過不同的翻譯館
[00:01:06.600 --> 00:01:08.960]  都來去了解、明白
[00:01:08.960 --> 00:01:13.440]  我們再一次仰望、禱告、求主施恩
[00:01:13.440 --> 00:01:17.200]  奉耶穌基督的名 阿們
[00:01:17.200 --> 00:01:21.600]  上一個星期我們講到第十一節
[00:01:21.600 --> 00:01:24.000]  十一節我們還沒有開始講
[00:01:24.000 --> 00:01:27.080]  尤其是第十一節到十四節
[00:01:27.080 --> 00:01:29.080]  是很重的一個概念
[00:01:29.080 --> 00:01:34.640]  就是必須要主動獻上自己給神
[00:01:34.640 --> 00:01:39.320]  這個似乎是正常基督徒的生活
[00:01:39.320 --> 00:01:41.680]  必須的起點
[00:01:41.680 --> 00:01:43.960]  成為基督徒之後
[00:01:43.960 --> 00:01:47.480]  我們憑信心、靠恩典
[00:01:47.480 --> 00:01:49.480]  去得到神的救恩
[00:01:49.600 --> 00:01:54.400]  但是原來在正常的基督徒的人生
[00:01:54.400 --> 00:01:57.400]  因為我們已經歸屬了給神
[00:01:57.400 --> 00:02:00.120]  所以保羅常常都告訴我們
[00:02:00.120 --> 00:02:03.960]  我們要記住洗禮所象徵的意義
[00:02:03.960 --> 00:02:07.560]  就是由死復活
[00:02:07.560 --> 00:02:09.560]  你好 歡迎你
[00:02:09.560 --> 00:02:12.160]  隨便坐
[00:02:12.160 --> 00:02:14.160]  我們今天多了一位年輕人
[00:02:14.160 --> 00:02:16.560]  有些在線的 有些在現場的
[00:02:16.560 --> 00:02:22.160]  當然我們之後可以在網上的YouTube
[00:02:22.160 --> 00:02:24.160]  有我們專屬的頻道
[00:02:24.160 --> 00:02:27.960]  有羅馬書 由第一講到第十五講
[00:02:27.960 --> 00:02:31.880]  到第十四講 大家又可以再重溫
[00:02:31.880 --> 00:02:33.640]  另外的書卷都有的
[00:02:33.640 --> 00:02:36.280]  現在我都算是習慣
[00:02:36.280 --> 00:02:38.760]  可以盡量趕到做PowerPoint
[00:02:38.760 --> 00:02:41.960]  所以晚上回家之後
[00:02:41.960 --> 00:02:46.720]  都會把PowerPoint給大家可以就著那個講道
[00:02:46.720 --> 00:02:51.440]  來看一些經文或者一些重點
[00:02:51.440 --> 00:02:52.960]  大家來留意
[00:02:52.960 --> 00:02:57.200]  我們要看第十一節的時間
[00:02:57.200 --> 00:02:59.880]  我們看到第六章的十一節
[00:02:59.880 --> 00:03:05.200]  上個星期 今天應該可以完到第六章
[00:03:05.200 --> 00:03:10.600]  但是我們要重溫那個很重要的上下文的段落
[00:03:10.600 --> 00:03:13.760]  第四章結尾就已經告訴我們
[00:03:13.760 --> 00:03:17.520]  其實在舊約已經有恩信稱義
[00:03:17.520 --> 00:03:20.680]  恩信稱義絕對不是保羅的發明
[00:03:20.680 --> 00:03:24.520]  其實舊約的人有信心的阿伯拉罕
[00:03:24.520 --> 00:03:27.440]  在他未受割禮之前
[00:03:27.440 --> 00:03:30.920]  他已經憑信心得到神的
[00:03:30.920 --> 00:03:36.720]  對他的信的行為來去稱義
[00:03:36.720 --> 00:03:39.400]  就是他相信神 應許他
[00:03:39.400 --> 00:03:43.280]  雖然他當時未有子孫 未有兒子
[00:03:43.280 --> 00:03:47.520]  但是神說你的子孫將來
[00:03:47.520 --> 00:03:51.320]  好像天上的星 海裡面的沙那麼多
[00:03:51.320 --> 00:03:53.320]  阿伯拉罕信神
[00:03:53.320 --> 00:03:55.920]  神就以此為他的義
[00:03:55.920 --> 00:04:00.960]  就應許要將福氣給阿伯拉罕和他的後裔
[00:04:00.960 --> 00:04:06.080]  所以保羅都在第四章告訴我們
[00:04:06.080 --> 00:04:09.400]  恩信稱義不只是給某一些人
[00:04:09.400 --> 00:04:14.400]  例如猶太人 他自命是神的子民
[00:04:14.400 --> 00:04:17.680]  他們自認自己有割禮
[00:04:17.680 --> 00:04:22.640]  有律法等等 有摩西的律法書等等
[00:04:22.640 --> 00:04:24.840]  但是保羅說不是
[00:04:24.840 --> 00:04:26.840]  恩信稱義是萬民的
[00:04:26.840 --> 00:04:30.800]  每一個人都需要神的救恩
[00:04:30.800 --> 00:04:34.520]  恩信稱義是給每一個信的人
[00:04:34.520 --> 00:04:39.440]  以及萬民都是虧欠神的榮耀
[00:04:39.440 --> 00:04:43.240]  萬民都是在神的憤怒下
[00:04:43.240 --> 00:04:46.520]  所以每一個人都需要恩典
[00:04:46.520 --> 00:04:49.080]  然後講完第四章之後
[00:04:49.080 --> 00:04:51.080]  第五章的第一個段落
[00:04:51.080 --> 00:04:55.040]  就告訴我們原來我們恩信稱義
[00:04:55.040 --> 00:04:59.160]  其實是進入與神的復和關係
[00:04:59.160 --> 00:05:01.360]  與這位造物的主
[00:05:01.360 --> 00:05:04.760]  來到有一個生命的連繫的關係
[00:05:04.760 --> 00:05:07.480]  所以這個連繫 這個關係
[00:05:07.480 --> 00:05:10.720]  就帶來各種的生命的福樂
[00:05:10.720 --> 00:05:15.960]  我們立即會享受與神復和的平安
[00:05:15.960 --> 00:05:21.320]  站在神的那個
[00:05:21.320 --> 00:05:23.120]  應許的恩典
[00:05:23.120 --> 00:05:27.120]  嚴格來說 我們是去到神面前
[00:05:27.120 --> 00:05:29.720]  站在那個恩典裏面
[00:05:29.720 --> 00:05:32.560]  以及我們就算在患難
[00:05:32.560 --> 00:05:36.400]  都可以歡欣喜喜的誇耀
[00:05:36.400 --> 00:05:40.720]  因為患難只是讓我們更加的
[00:05:40.720 --> 00:05:43.920]  那個生命可以成長、成熟
[00:05:43.920 --> 00:05:46.400]  所以保羅告訴我們
[00:05:46.400 --> 00:05:49.960]  在我們信主成為基督徒之後
[00:05:49.960 --> 00:05:53.280]  很重要、很正常、不是特殊
[00:05:53.280 --> 00:05:56.080]  不是一些神秘主義
[00:05:56.080 --> 00:05:59.400]  而是我們應該每天發展
[00:05:59.400 --> 00:06:02.680]  與神相和的生活
[00:06:02.680 --> 00:06:04.960]  第五章頭的段落
[00:06:04.960 --> 00:06:06.760]  一到第十一節
[00:06:06.760 --> 00:06:09.400]  就盡量保羅都說了
[00:06:09.400 --> 00:06:12.080]  我們怎樣能夠以神為樂
[00:06:12.080 --> 00:06:14.720]  怎樣能夠在神的裏面
[00:06:14.720 --> 00:06:17.440]  等候那個真正的應許的日子
[00:06:17.440 --> 00:06:19.360]  接著到第二個段落
[00:06:19.360 --> 00:06:21.280]  五章十二節
[00:06:21.280 --> 00:06:23.800]  一直到結尾的二十一節
[00:06:23.800 --> 00:06:25.160]  就告訴我們
[00:06:25.160 --> 00:06:29.800]  原來人類共有的那個最大的問題
[00:06:29.800 --> 00:06:33.240]  就是因為我們是阿當的子孫
[00:06:33.240 --> 00:06:34.880]  人類的始祖
[00:06:34.880 --> 00:06:37.800]  因為人的犯罪
[00:06:37.800 --> 00:06:39.920]  被神來刑罰
[00:06:39.920 --> 00:06:43.520]  罪是從阿當入了人類
[00:06:43.520 --> 00:06:47.840]  因為阿當就是舊有人類的總代表
[00:06:47.840 --> 00:06:51.600]  所以阿當的背影
[00:06:51.600 --> 00:06:55.520]  就導致神的審判對每一個人
[00:06:55.520 --> 00:06:58.280]  所以我們一生來這個世界
[00:06:58.280 --> 00:07:00.640]  保羅就帶我們去看一個
