
[00:00:00.000 --> 00:00:03.980]  很開心能夠再次和你們一起去敬拜
[00:00:03.980 --> 00:00:07.820]  分享一起敬拜的喜樂
[00:00:07.820 --> 00:00:10.320]  我們同心禱告
[00:00:10.320 --> 00:00:15.140]  親愛的主多謝你讓我們能夠有榮幸
[00:00:15.140 --> 00:00:19.220]  我們能夠歡喜快樂的一起相聚
[00:00:19.220 --> 00:00:22.740]  在你的聖所當中我們歌頌讚美你
[00:00:22.740 --> 00:00:25.040]  我們在今年頭的開始
[00:00:25.040 --> 00:00:27.620]  我們繼續在面前立願
[00:00:27.620 --> 00:00:29.800]  我們走人生的道路
[00:00:29.800 --> 00:00:33.520]  如今我們重大兄姊妹們都要聽你的話語
[00:00:33.520 --> 00:00:36.680]  求你讓我們有聰明有智慧
[00:00:36.680 --> 00:00:39.200]  讓我們的耳朵聽得見
[00:00:39.200 --> 00:00:41.580]  我們的眼睛看得見
[00:00:41.580 --> 00:00:44.260]  我們的心會相信
[00:00:44.260 --> 00:00:48.100]  我們將你的真道走出來
[00:00:48.100 --> 00:00:51.520]  走在你的真道上面
[00:00:51.520 --> 00:00:55.000]  我們的祈禱是奉主耶穌基督的名字求
[00:00:55.000 --> 00:00:56.680]  阿們
[00:00:56.680 --> 00:01:05.480]  歷代以來基督徒都有不同形式的
[00:01:05.480 --> 00:01:07.400]  屬靈的操練
[00:01:07.400 --> 00:01:11.600]  為的是要更加的去親近神
[00:01:11.600 --> 00:01:13.600]  專注在神的身上
[00:01:13.600 --> 00:01:17.640]  其中一個方式就是朝聖
[00:01:17.640 --> 00:01:22.400]  在天主教在基督教的實踐當中都有朝聖的
[00:01:22.400 --> 00:01:28.180]  早期的一位女朝聖者叫做Igiria
[00:01:28.180 --> 00:01:30.980]  她來自於今天的西班牙
[00:01:30.980 --> 00:01:34.080]  就在384個AD
[00:01:34.080 --> 00:01:37.200]  她曾經去到地中海各處
[00:01:37.200 --> 00:01:41.780]  最後去到聖地去朝聖
