
[00:00:00.000 --> 00:00:02.000]  再一次感謝天父
[00:00:02.000 --> 00:00:08.000]  我們可以在晚上再思想撒加利亞書的經文
[00:00:08.000 --> 00:00:12.000]  雖然都是一些很長時間的寓言
[00:00:12.000 --> 00:00:20.000]  但是那個持久和對於日後耶穌基督的降臨
[00:00:20.000 --> 00:00:23.000]  和關於以色列這個民族
[00:00:23.000 --> 00:00:26.000]  其實都是有那個研究的價值
[00:00:26.000 --> 00:00:28.000]  都幫助我們能夠明白
[00:00:28.000 --> 00:00:31.000]  如果有些是深的
[00:00:31.000 --> 00:00:34.000]  都讓我們能夠得到一些教導
[00:00:34.000 --> 00:00:38.000]  使我們能夠慢慢掌握經文的意義
[00:00:38.000 --> 00:00:42.000]  我們今天晚上等候在你的面前
[00:00:42.000 --> 00:00:44.000]  多謝你讓我們能夠在教會
[00:00:44.000 --> 00:00:48.000]  在網上我們都可以來學習聖經的真理
[00:00:48.000 --> 00:00:52.000]  我們這樣禱告奉耶穌基督的名
[00:00:52.000 --> 00:00:53.000]  阿們
[00:00:53.000 --> 00:00:58.000]  我們簡介上一個禮拜
[00:00:58.000 --> 00:01:06.000]  特別是提到第四個異象
[00:01:06.000 --> 00:01:10.000]  就是這個大祭司
[00:01:10.000 --> 00:01:13.000]  他在聖殿裏面
[00:01:13.000 --> 00:01:19.000]  這個撒加利亞先知他所見到的
[00:01:19.000 --> 00:01:24.000]  尤其是強調大祭司的積焚
[00:01:24.000 --> 00:01:27.000]  和當他見到這個異象之後
[00:01:27.000 --> 00:01:29.000]  尤其是髒衣服脫下
[00:01:29.000 --> 00:01:34.000]  然後又有潔淨的衣服和戴冠冕
[00:01:34.000 --> 00:01:38.000]  然後實實際際叫約書亞
[00:01:38.000 --> 00:01:41.000]  當然是叫這個先知撒加利亞
[00:01:41.000 --> 00:01:45.000]  來跟約書亞說
[00:01:45.000 --> 00:01:46.000]  大祭司約書亞說
[00:01:46.000 --> 00:01:50.000]  這個是第三章的第六節那段經文
[00:01:50.000 --> 00:01:57.000]  然後就引述引進了尼塞亞大衛的子孫
[00:01:57.000 --> 00:01:59.000]  和這一塊石頭
[00:01:59.000 --> 00:02:02.000]  神親自雕刻的石頭
[00:02:02.000 --> 00:02:05.000]  神是怎樣來栽培他的愛子
[00:02:05.000 --> 00:02:07.000]  將來成為穩固的根基
[00:02:07.000 --> 00:02:10.000]  防國的頭塊石頭
[00:02:10.000 --> 00:02:14.000]  不是用很漂亮的裝飾
[00:02:14.000 --> 00:02:16.000]  而是他沒有階型美容的
[00:02:16.000 --> 00:02:18.000]  我們受苦的主
[00:02:18.000 --> 00:02:21.000]  這一位憂患之子
[00:02:21.000 --> 00:02:24.000]  是為憂患而生的
[00:02:24.000 --> 00:02:27.000]  一點都不是寓意詳片那些的苦情
[00:02:27.000 --> 00:02:31.000]  是他要注定來這個人世間
[00:02:31.000 --> 00:02:34.000]  是為人類的罪受苦的
[00:02:34.000 --> 00:02:35.000]  我們的耶穌基督
[00:02:35.000 --> 00:02:37.000]  所以他的人生就是這樣
[00:02:37.000 --> 00:02:39.000]  常經憂患
