
[00:00:00.000 --> 00:00:02.000]  我們一起祈禱吧
[00:00:02.000 --> 00:00:10.000]  親愛的主耶穌,再一次感謝您讓我們經歷了受苦節、復活節
[00:00:10.000 --> 00:00:14.000]  雖然我們不能夠面對面一起守聖餐
[00:00:14.000 --> 00:00:22.000]  但我們都能夠在線上直著網絡、直著視像系統
[00:00:22.000 --> 00:00:26.000]  直著很快的Wi-Fi或網路
[00:00:26.000 --> 00:00:29.000]  我們可以彼此在靈裡面相交
[00:00:29.000 --> 00:00:34.000]  我們可以親近主耶穌,紀念十字架的救恩
[00:00:34.000 --> 00:00:39.000]  我們今天晚上又再恢復聖經人物的茶經
[00:00:39.000 --> 00:00:42.000]  盼望我們能夠一直看著約翰福音
[00:00:42.000 --> 00:00:49.000]  有幾個小人物讓我們能夠認識神主耶穌在過去
[00:00:49.000 --> 00:00:52.000]  是怎樣將人帶進救恩裡面
[00:00:52.000 --> 00:00:56.000]  讓人可以得到真正的自好的福氣
[00:00:56.000 --> 00:00:59.000]  我們今天晚上在您面前等候
[00:00:59.000 --> 00:01:05.000]  仍然都是為了疫情,為了世界各地現在面對
[00:01:05.000 --> 00:01:10.000]  不單是緊張,不單是身體可能會受到病毒
[00:01:10.000 --> 00:01:16.000]  現在是最到變成一個世界經濟的近乎崩潰
[00:01:16.000 --> 00:01:18.000]  盼望神施一憐憫
[00:01:18.000 --> 00:01:25.000]  讓更多人可以得到生活上的保障和心靈的平安
[00:01:25.000 --> 00:01:30.000]  願您幫助帶領給我們大家的心靈都是強健的
[00:01:30.000 --> 00:01:33.000]  一起跟隨我們的主
[00:01:33.000 --> 00:01:38.000]  我們這樣祈禱奉耶穌基督的名,阿們
[00:01:38.000 --> 00:01:42.000]  我們要看第四章的約翰福音
[00:01:42.000 --> 00:01:48.000]  第一個印象你要問的問題就是
[00:01:48.000 --> 00:01:53.000]  為什麼和一個小婦人的談道要談這麼長
[00:01:53.000 --> 00:02:01.000]  和作者要用這麼長的篇幅來講她的得救故事
[00:02:01.000 --> 00:02:07.000]  一個女子在聖經裡面
[00:02:07.000 --> 00:02:11.000]  為什麼要用這麼長的經文去介紹她
[00:02:11.000 --> 00:02:15.000]  相反有些這麼顯赫的彌哥底母
[00:02:15.000 --> 00:02:19.000]  只是14節聖經來講述
[00:02:19.000 --> 00:02:27.000]  一個很短,甚至耶穌是兩次帶著一種譴責的口吻
[00:02:27.000 --> 00:02:30.000]  就是說你是一個以色列人的先生
[00:02:30.000 --> 00:02:33.000]  為什麼你不會知道這些事情呢
[00:02:33.000 --> 00:02:38.000]  第四章作者已經不斷將背景告訴我們
[00:02:38.000 --> 00:02:43.000]  當時的社會背景,當時很強的民族性
[00:02:43.000 --> 00:02:50.000]  很強烈的對撒瑪利亞的偏見
[00:02:50.000 --> 00:02:53.000]  第四章我先讀給大家聽聽
[00:02:53.000 --> 00:02:57.000]  很快就會去到我們大神的兒子信主
[00:02:57.000 --> 00:03:00.000]  那個醫好的問題
[00:03:00.000 --> 00:03:05.000]  第四章第一節,主知道法利塞人聽見他修門徒
[00:03:05.000 --> 00:03:07.000]  施洗比約翰還多
[00:03:07.000 --> 00:03:10.000]  其實不是耶穌親自施洗
[00:03:10.000 --> 00:03:12.000]  是他的門徒施洗
[00:03:12.000 --> 00:03:14.000]  他就離開了猶太
[00:03:14.000 --> 00:03:17.000]  又再一次往加利利去
[00:03:17.000 --> 00:03:20.000]  第四節就說必須經過撒瑪利亞
[00:03:20.000 --> 00:03:23.000]  如果你有時間,你放逼的時候
[00:03:23.000 --> 00:03:24.000]  你看看後面的地圖
[00:03:24.000 --> 00:03:27.000]  其實不一定要經過撒瑪利亞的
[00:03:27.000 --> 00:03:28.000]  可以繞大圈的
[00:03:28.000 --> 00:03:33.000]  但是耶穌就是直接從加利利下去撒瑪利亞
[00:03:33.000 --> 00:03:37.000]  第五節,於是到了撒瑪利亞一座城
[00:03:37.000 --> 00:03:38.000]  名叫聚迦
[00:03:38.000 --> 00:03:40.000]  靠近雅各
[00:03:40.000 --> 00:03:43.000]  給他兒子約瑟那塊地
[00:03:43.000 --> 00:03:46.000]  在那裡有雅各井
[00:03:46.000 --> 00:03:47.000]  約瑟
[00:03:47.000 --> 00:03:49.000]  即是說創世記
[00:03:49.000 --> 00:03:52.000]  我們將來又會再看一個很重要的聖經人物
[00:03:52.000 --> 00:03:53.000]  約瑟
[00:03:53.000 --> 00:03:56.000]  他就是在埃及
[00:03:56.000 --> 00:03:58.000]  後來就回來了
[00:03:58.000 --> 00:04:00.000]  他有個地方
[00:04:00.000 --> 00:04:01.000]  接著第六節
[00:04:01.000 --> 00:04:03.000]  在那裡有雅各井
[00:04:03.000 --> 00:04:06.000]  耶穌因走路困乏就坐在井旁
[00:04:06.000 --> 00:04:08.000]  那時約有午靜
[00:04:08.000 --> 00:04:10.000]  十二點鐘正午
[00:04:10.000 --> 00:04:13.000]  你知道巴勒斯坦正午的時間
[00:04:13.000 --> 00:04:16.000]  是不會有人出入的
[00:04:16.000 --> 00:04:18.000]  不會有人出去
[00:04:18.000 --> 00:04:22.000]  來冒著炎熱
[00:04:22.000 --> 00:04:24.000]  來打水
[00:04:24.000 --> 00:04:26.000]  所以你就已經感覺到
[00:04:26.000 --> 00:04:29.000]  這個來打水的人
[00:04:29.000 --> 00:04:31.000]  是一個很不尋常的人
[00:04:31.000 --> 00:04:34.000]  就算還沒介紹他的背景
[00:04:34.000 --> 00:04:36.000]  都已經會來到去講
[00:04:36.000 --> 00:04:40.000]  就說有一個撒瑪利亞的婦人來打水
[00:04:40.000 --> 00:04:42.000]  耶穌對她說
[00:04:42.000 --> 00:04:44.000]  請你給我水喝
[00:04:44.000 --> 00:04:47.000]  那時門徒進城買食物去了
[00:04:47.000 --> 00:04:50.000]  撒瑪利亞的婦人對她說
[00:04:50.000 --> 00:04:52.000]  你既是猶太人
[00:04:52.000 --> 00:04:56.000]  為什麼要向我一個撒瑪利亞的婦人要水喝呢
[00:04:56.000 --> 00:04:59.000]  原來猶太人和撒瑪利亞人
[00:04:59.000 --> 00:05:01.000]  是沒有來往的
[00:05:01.000 --> 00:05:04.000]  那就是說這個婦人很詫異
[00:05:04.000 --> 00:05:06.000]  這個猶太的男士耶穌
[00:05:06.000 --> 00:05:09.000]  為什麼要來和我說話
[00:05:09.000 --> 00:05:11.000]  搭訕對話呢
[00:05:11.000 --> 00:05:15.000]  作者不斷將那些背景告訴我們
