
[00:00:00.000 --> 00:00:07.000]  今天我們一起看看《路加福音》第七章36至50節
[00:00:07.000 --> 00:00:09.500]  這段經文可能大家都很熟悉
[00:00:09.500 --> 00:00:12.000]  我們稍後一起來看這段經文
[00:00:12.000 --> 00:00:13.500]  我們一起低頭祈禱
[00:00:13.500 --> 00:00:17.000]  親愛的天父上帝 我們來到祢的根前
[00:00:17.000 --> 00:00:19.500]  我們求祢若祢同在 看顧幫助我們
[00:00:19.500 --> 00:00:22.500]  主要讓我們能夠在祢的恩典當中
[00:00:22.500 --> 00:00:25.000]  我們能夠洞悉祢對我們的愛
[00:00:25.000 --> 00:00:27.000]  亦都能夠向祢好好回應
[00:00:27.000 --> 00:00:28.500]  求主祢幫助我們
[00:00:28.500 --> 00:00:31.000]  如果在座無論聽或說 都有祢的恩典
[00:00:31.000 --> 00:00:35.000]  我們可以好好學習 好好去深思
[00:00:35.000 --> 00:00:38.000]  祈禱奉主耶穌 記得祢的聖名 阿們
[00:00:38.000 --> 00:00:42.000]  你愛他嗎?
[00:00:42.000 --> 00:00:45.000]  你愛耶穌嗎?
[00:00:45.000 --> 00:00:49.000]  我想我們每個人都愛的
[00:00:49.000 --> 00:00:51.000]  不過要看看怎樣去愛
[00:00:51.000 --> 00:00:53.000]  先不說耶穌
[00:00:53.000 --> 00:00:56.000]  家人呢?你愛他嗎?
[00:00:58.000 --> 00:01:00.000]  我想兩杯雪糕
[00:01:00.000 --> 00:01:03.000]  我會對我隔壁的人
[00:01:03.000 --> 00:01:06.000]  我會肯讓兩杯給他吃
[00:01:06.000 --> 00:01:08.000]  我想很多姐妹都肯
[00:01:08.000 --> 00:01:11.000]  你愛他嗎?
[00:01:11.000 --> 00:01:12.000]  怎樣才算是愛他呢?
[00:01:12.000 --> 00:01:15.000]  可能你不給他雪糕吃 是愛他
[00:01:15.000 --> 00:01:17.000]  男士感受到
[00:01:17.000 --> 00:01:22.000]  坐在一起看電視
[00:01:22.000 --> 00:01:24.500]  坐在一起轉身看不同的東西
[00:01:24.500 --> 00:01:27.000]  或者低頭看自己的電話
[00:01:27.000 --> 00:01:29.000]  你愛他嗎?
[00:01:29.000 --> 00:01:32.000]  愛雪糕多一點 愛爸爸多一點呢?
[00:01:32.000 --> 00:01:37.000]  幫爸爸按摩
[00:01:37.000 --> 00:01:40.000]  還是爸爸扮牛牛是愛呢?
[00:01:40.000 --> 00:01:45.000]  父母都可能幫子女換片片
[00:01:45.000 --> 00:01:50.000]  子女有沒有機會 或者有沒有這樣的預備
[00:01:50.000 --> 00:01:53.000]  願意幫父母換片片呢?
[00:01:54.000 --> 00:01:57.000]  還是當父母需要換片片的時候
[00:01:57.000 --> 00:02:00.000]  我們想了很多不同的解決方法呢?
[00:02:00.000 --> 00:02:03.000]  你愛他嗎?
[00:02:03.000 --> 00:02:08.000]  我們祈禱要求 期望神英文我們祈禱的時候
[00:02:08.000 --> 00:02:11.000]  我們很有愛心地好好去禱告
[00:02:11.000 --> 00:02:15.000]  可以很晚我們都繼續祈禱
[00:02:15.000 --> 00:02:19.000]  當我們不是這一方面
[00:02:19.000 --> 00:02:23.000]  而是有些事是神為我們做了之後
[00:02:23.000 --> 00:02:28.000]  我們會怎樣表達我們對神的愛呢?
[00:02:28.000 --> 00:02:32.000]  我今早踏入辦公室的時候
[00:02:32.000 --> 00:02:36.000]  今天有沒有人未經過我的辦公室看過的?
[00:02:36.000 --> 00:02:40.000]  舉手來看看 有沒有什麼不同?
[00:02:40.000 --> 00:02:44.000]  有呀 是呀 有什麼不同?
[00:02:44.000 --> 00:02:48.000]  我看過辦公室的時候
[00:02:48.000 --> 00:02:51.000]  有一班很愛神的人
[00:02:51.000 --> 00:02:54.000]  一定是昨晚來做了一些事
[00:02:54.000 --> 00:02:57.000]  一會兒有時間你們看看
[00:02:57.000 --> 00:03:00.000]  這班人做了什麼 為什麼說他們很愛神呢?
[00:03:00.000 --> 00:03:03.000]  因為今早大家都要回來聚會
[00:03:03.000 --> 00:03:06.000]  他們有這樣的時間要回來 可能要早一點
[00:03:06.000 --> 00:03:08.000]  你也是這樣的時間要回來
[00:03:08.000 --> 00:03:10.000]  但他們應該是昨晚在做了
[00:03:10.000 --> 00:03:13.000]  不是 應該是今早凌晨在做事
[00:03:13.000 --> 00:03:18.000]  一會兒去看看
[00:03:18.000 --> 00:03:23.000]  對神的愛 原來我們仍然有很多不同的方式可以去表達
[00:03:23.000 --> 00:03:25.000]  這裏有一個人他也很愛耶穌
[00:03:25.000 --> 00:03:27.000]  這個叫法利塞人
[00:03:27.000 --> 00:03:30.000]  這個法利塞人從聖經當中
[00:03:30.000 --> 00:03:36.000]  第四十幾節
[00:03:36.000 --> 00:03:40.000]  第七章 我看我這裏會快一點
[00:03:40.000 --> 00:03:52.000]  聖經當中的第四十節
[00:03:52.000 --> 00:03:56.000]  耶穌回答他:西門 我有話對你說
[00:03:56.000 --> 00:03:59.000]  那一句西門到底是在說誰
[00:03:59.000 --> 00:04:05.000]  還有後面的四十四節
[00:04:05.000 --> 00:04:15.000]  耶穌對西門說:我進了你的家 你沒有給我水洗腳
[00:04:15.000 --> 00:04:19.000]  這個西門應該有一個名字
[00:04:19.000 --> 00:04:22.000]  這個法利塞人應該有一個名字
[00:04:22.000 --> 00:04:24.000]  他的名字應該叫西門
[00:04:24.000 --> 00:04:28.000]  今天我們所說的西門不是西門彼得 耶穌的門徒
[00:04:28.000 --> 00:04:31.000]  這個西門就是法利塞人
[00:04:31.000 --> 00:04:34.000]  這個法利塞人請耶穌基督吃飯
[00:04:34.000 --> 00:04:36.000]  請耶穌基督吃飯的時候
[00:04:36.000 --> 00:04:39.000]  一定會有一群陪耶穌基督一起吃飯的人
[00:04:39.000 --> 00:04:41.000]  他請了一群陪客
[00:04:41.000 --> 00:04:43.000]  耶穌基督的門徒也在
[00:04:43.000 --> 00:04:48.000]  也會有一些人在拿菜出來
[00:04:48.000 --> 00:04:51.000]  招呼照顧他們的女士
[00:04:51.000 --> 00:04:53.000]  當耶穌基督來到
[00:04:53.000 --> 00:04:55.000]  和他們一起吃飯的時候
[00:04:55.000 --> 00:04:57.000]  發生了一件事
[00:04:57.000 --> 00:04:59.000]  發生了這件事就有一個女士
[00:04:59.000 --> 00:05:02.000]  有一個女人她就預備來了
