
[00:00:00.000 --> 00:00:06.000]  多謝主讓今天晚上我們可以再一次聚集
[00:00:06.000 --> 00:00:09.000]  來查考聖經的話語
[00:00:09.000 --> 00:00:13.000]  我們都盼望藉著阿伯蘭一生的遭遇
[00:00:13.000 --> 00:00:15.000]  讓我們能夠明白
[00:00:15.000 --> 00:00:19.000]  如何在我們的人生中跟隨祢
[00:00:19.000 --> 00:00:22.000]  相信作者給我們看到的資料
[00:00:22.000 --> 00:00:26.000]  都是一個重要的事件的記序
[00:00:26.000 --> 00:00:29.000]  而不是每天發生的一個日記
[00:00:29.000 --> 00:00:32.000]  幫助我們能夠在這些事件中
[00:00:32.000 --> 00:00:37.000]  如何跟神有生命的聯繫
[00:00:37.000 --> 00:00:39.000]  也讓我們真的
[00:00:39.000 --> 00:00:41.000]  當我們面對我們自己人生一些
[00:00:41.000 --> 00:00:43.000]  不同的際遇
[00:00:43.000 --> 00:00:46.000]  不同的關卡的時候
[00:00:46.000 --> 00:00:49.000]  都有神的恩典帶領我們渡過
[00:00:49.000 --> 00:00:51.000]  今天晚上我們盼望
[00:00:51.000 --> 00:00:55.000]  一些技術性的層面的事情
[00:00:55.000 --> 00:00:59.000]  都不會影響我們大家的聚會
[00:00:59.000 --> 00:01:02.000]  和學習聖經
[00:01:02.000 --> 00:01:04.000]  求主保守
[00:01:04.000 --> 00:01:06.000]  我們一起在祢面前等候禱告
[00:01:06.000 --> 00:01:08.000]  奉耶穌基督的名
[00:01:08.000 --> 00:01:10.000]  阿們
[00:01:10.000 --> 00:01:13.000]  上一個星期有一點不好意思
[00:01:13.000 --> 00:01:16.000]  可能是Zoom的帳號有點撞
[00:01:16.000 --> 00:01:20.000]  所以我們要回到第十二章的第七節
[00:01:20.000 --> 00:01:22.000]  看回起
[00:01:22.000 --> 00:01:25.000]  或者都不差在了
[00:01:25.000 --> 00:01:29.000]  由十二章第一節讀多一點
[00:01:29.000 --> 00:01:31.000]  大家的印象會更加深刻一點
[00:01:31.000 --> 00:01:34.000]  十二章第一節開始
[00:01:34.000 --> 00:01:37.000]  耶和華對阿巴蘭說
[00:01:37.000 --> 00:01:41.000]  你要離開本地、本族、父家
[00:01:41.000 --> 00:01:44.000]  和我所要指示你的地去
[00:01:44.000 --> 00:01:46.000]  我必叫你成為大國
[00:01:46.000 --> 00:01:48.000]  我必賜福給你
[00:01:48.000 --> 00:01:50.000]  叫你的名為大
[00:01:50.000 --> 00:01:52.000]  我必要叫別人得福
[00:01:52.000 --> 00:01:54.000]  為你祝福的
[00:01:54.000 --> 00:01:56.000]  我必賜福於他
[00:01:56.000 --> 00:01:57.000]  那就助你的
