
[00:00:00.000 --> 00:00:05.520]  好 感恩我們能夠透過停了一兩個禮拜之後
[00:00:05.520 --> 00:00:12.280]  又再恢復今天我們這個宗教改革的查經
[00:00:12.280 --> 00:00:17.760]  盼望大家都能夠透過這個分享
[00:00:17.760 --> 00:00:22.260]  去認識關於這個16世紀的宗教改革
[00:00:22.260 --> 00:00:24.640]  一些重要的發展
[00:00:24.640 --> 00:00:27.560]  和一些我們值得去關注的
[00:00:27.560 --> 00:00:33.840]  想問一問在線上的看到這個畫面
[00:00:33.840 --> 00:00:36.000]  就是這個PowerPoint的了
[00:00:36.000 --> 00:00:39.760]  如果看到的可以給我手勢就行了
[00:00:39.760 --> 00:00:42.360]  我們開始一起祈禱
[00:00:42.360 --> 00:00:45.960]  再一次感恩天父給我們恢復
[00:00:45.960 --> 00:00:48.360]  我們今天晚上的查經
[00:00:48.360 --> 00:00:53.640]  我們在這個比較大的教會歷史的題目
[00:00:53.640 --> 00:00:58.880]  宗教改革的過去的內容、發展
[00:00:58.880 --> 00:01:03.160]  還有我們真的很想去很簡單的思想一下
[00:01:03.160 --> 00:01:06.840]  宗教改革到今天已經是500年後
[00:01:06.840 --> 00:01:13.360]  我們看到基督教一直透過普世的憤興運動
[00:01:13.360 --> 00:01:15.200]  普世的宣教運動
[00:01:15.200 --> 00:01:20.720]  去到非洲、去到我們的中國、去到印度
[00:01:20.720 --> 00:01:22.440]  當然有其它的地方
[00:01:22.440 --> 00:01:23.840]  但是我們想到
[00:01:23.840 --> 00:01:27.600]  都真是想到福音一直這樣行進
[00:01:27.600 --> 00:01:31.800]  去到一些從來都沒有福音到的地方
[00:01:31.800 --> 00:01:40.200]  都是透過這個天主教內部的一個再一次的反省
[00:01:40.200 --> 00:01:42.480]  而出現的這個改革
[00:01:42.480 --> 00:01:46.840]  所以我們都盼望神給我們在今天的教會
[00:01:46.840 --> 00:01:50.800]  雖然我們在香港都有不同的宗派
[00:01:50.800 --> 00:01:55.800]  但是都給我們秉承宗教改革這些的先賢
[00:01:55.800 --> 00:01:59.240]  他們的那個內心對神
[00:01:59.240 --> 00:02:03.160]  特別是對神的道的重視的態度
[00:02:03.160 --> 00:02:06.800]  給我們能夠有所學習、有所反思
[00:02:06.800 --> 00:02:09.400]  我們今天晚上會講加爾文
[00:02:09.400 --> 00:02:12.840]  求主給我們對他的一些事蹟
[00:02:12.840 --> 00:02:16.560]  他推行的改革有一定的掌握
[00:02:16.560 --> 00:02:23.400]  又給我們能夠在其中去做一個思想
[00:02:23.400 --> 00:02:25.920]  我們有什麼可以效法
[00:02:25.920 --> 00:02:29.640]  或者有什麼我們要給面子、求神幫助
[00:02:29.640 --> 00:02:31.520]  我們這樣仰望禱告
[00:02:31.520 --> 00:02:35.000]  奉耶穌基督的名 阿們
[00:02:35.000 --> 00:02:38.240]  好 這是第二講
[00:02:38.240 --> 00:02:43.680]  我先要看回那個錄音 等一等
[00:02:43.680 --> 00:02:45.680]  可能我還沒有開
[00:02:46.440 --> 00:02:49.120]  OK 因為好像沒有電
[00:02:49.120 --> 00:02:50.640]  現在行了 沒問題
[00:02:50.640 --> 00:02:53.480]  我們裝一點重溫
[00:02:53.480 --> 00:02:59.880]  他的加爾文其實法國人
[00:02:59.880 --> 00:03:02.040]  他年紀不是很大
[00:03:02.040 --> 00:03:04.520]  他55歲就離世了
[00:03:04.520 --> 00:03:06.720]  他1509年出世
[00:03:06.720 --> 00:03:10.920]  1564年就離開世界
[00:03:10.920 --> 00:03:15.440]  當然是在瑞士的日內瓦的地方
[00:03:15.440 --> 00:03:25.520]  輾轉你可以想像到他1534至1535年
[00:03:25.520 --> 00:03:32.160]  就已經奠定了他的基督教要義的第一版的面世
[00:03:32.160 --> 00:03:35.720]  當然就是整個歐洲普及
[00:03:35.720 --> 00:03:42.760]  已經奠定了他在宗教改革的神學家的身份
[00:03:42.760 --> 00:03:48.560]  和更加讓宗教改革有理有據
[00:03:48.560 --> 00:03:54.320]  有真理的奠基
[00:03:54.320 --> 00:03:58.880]  和讓宗教改革不會百花齊放
[00:03:58.880 --> 00:04:02.800]  不會不同人有不同的演繹
[00:04:02.800 --> 00:04:07.280]  他這個建樹是相當重要的
[00:04:07.280 --> 00:04:11.280]  因為改革開了第一槍的馬丁路德
[00:04:11.280 --> 00:04:14.640]  他從來都沒有準備任何的文件
[00:04:14.640 --> 00:04:18.360]  他只是很想和內部的天主教友對話
[00:04:18.360 --> 00:04:21.360]  裡面有一些東西不合聖經
[00:04:21.360 --> 00:04:22.960]  特別是贖罪券
[00:04:22.960 --> 00:04:28.320]  買來只是去圍著教會的修葺
[00:04:28.320 --> 00:04:29.840]  那個維修
[00:04:29.840 --> 00:04:31.880]  變成一個基金
[00:04:31.880 --> 00:04:35.480]  但是背後是帶來很多的平信徒
[00:04:35.480 --> 00:04:37.320]  買了贖罪券之後
[00:04:37.320 --> 00:04:41.040]  只會更加肆無忌憚地去犯罪
[00:04:41.040 --> 00:04:46.280]  所以更加遠離了神和那個赦罪本身的本質
[00:04:46.280 --> 00:04:49.400]  馬丁路德看到這些情況就去做
[00:04:49.400 --> 00:04:53.200]  所以他本身不是有一套很完整的神學
[00:04:53.200 --> 00:04:56.080]  來做一個改革的
[00:04:56.080 --> 00:04:58.600]  所以只是好像被逼
[00:04:58.600 --> 00:05:02.440]  因為他釘了95條在威登堡的教堂
[00:05:02.440 --> 00:05:05.400]  就引發輿論
[00:05:05.400 --> 00:05:08.840]  整個歐洲廣泛的對天主教的
[00:05:08.840 --> 00:05:11.120]  真的有人突然間提出
[00:05:11.120 --> 00:05:13.120]  很多人就會附和
[00:05:13.120 --> 00:05:15.120]  因為壓迫了很多年
[00:05:15.120 --> 00:05:19.600]  每個地方又要向天主教的教廷交稅
[00:05:19.600 --> 00:05:23.240]  還有很多種種其他的繁文縟節等等
[00:05:23.240 --> 00:05:26.480]  所以宗教對當時的中世紀
[00:05:26.480 --> 00:05:28.040]  是一個壓迫
[00:05:28.040 --> 00:05:29.920]  是一個枷鎖
[00:05:29.920 --> 00:05:33.040]  多過是一個心靈的釋放
[00:05:33.040 --> 00:05:34.680]  多過是一個
[00:05:34.680 --> 00:05:38.960]  大家一家人很想去禮拜堂敬拜神
[00:05:38.960 --> 00:05:41.320]  所以你可以想像到
