
[00:00:00.000 --> 00:00:04.220]  很感恩再一次能夠和大家分享神的話語
[00:00:04.220 --> 00:00:06.460]  我們一起簡單的祈禱
[00:00:06.460 --> 00:00:12.240]  多謝主剛才美好的敬拜
[00:00:12.240 --> 00:00:17.740]  我們真的很盼望認識祢是那位監察人心
[00:00:17.740 --> 00:00:20.720]  又是完全悉透我們
[00:00:20.720 --> 00:00:22.740]  用祢永恆的愛
[00:00:22.740 --> 00:00:25.980]  完全沒有改變的愛
[00:00:25.980 --> 00:00:28.540]  來愛我們這一班人
[00:00:28.940 --> 00:00:31.740]  使我們能夠得著祢的豐盛
[00:00:31.740 --> 00:00:34.460]  成為神祢的兒女
[00:00:34.460 --> 00:00:36.060]  我們很感謝主
[00:00:36.060 --> 00:00:39.060]  今早我們的聚集
[00:00:39.060 --> 00:00:40.540]  我們的等候
[00:00:40.540 --> 00:00:46.300]  很想能夠有神聖靈在我們內心的教導
[00:00:46.300 --> 00:00:48.540]  使我們明白聖經
[00:00:48.540 --> 00:00:51.740]  也能夠在我們自己現在這個時代
[00:00:51.740 --> 00:00:53.140]  此時此地
[00:00:53.140 --> 00:00:56.100]  如何去有一個反思
[00:00:56.100 --> 00:01:00.100]  形容將神的話語在我們的生活
[00:01:00.100 --> 00:01:03.060]  來落實和來遵行
[00:01:03.060 --> 00:01:04.820]  我們這樣仰望
[00:01:04.820 --> 00:01:07.820]  禱告奉耶穌基督的名
[00:01:07.820 --> 00:01:08.900]  阿們
[00:01:08.900 --> 00:01:13.180]  這段聖經其實相當豐富和寶貴
[00:01:13.180 --> 00:01:15.700]  講了兩類人
[00:01:15.700 --> 00:01:19.140]  第三到第五節
[00:01:19.140 --> 00:01:21.660]  假的教師
[00:01:21.660 --> 00:01:24.060]  有什麼特徵
[00:01:24.780 --> 00:01:27.460]  第六到第十節
[00:01:27.460 --> 00:01:29.620]  就是要警告
[00:01:29.620 --> 00:01:31.020]  在這個世界
[00:01:31.020 --> 00:01:33.900]  有一樣東西我們要避開
[00:01:33.900 --> 00:01:35.660]  當然不容易的
[00:01:35.660 --> 00:01:37.700]  就是貪婪
[00:01:37.700 --> 00:01:39.980]  接著第十一節
[00:01:39.980 --> 00:01:42.660]  就講另外一個人
[00:01:42.660 --> 00:01:44.460]  另外一類的人
[00:01:44.460 --> 00:01:48.020]  就是真實的聖經教師
[00:01:48.020 --> 00:01:54.340]  或者說跟隨神的道路去走的這一班人
[00:01:55.100 --> 00:01:56.580]  就是十一節
[00:01:56.580 --> 00:02:00.020]  很值得跟大家先讀一讀這段聖經
[00:02:00.020 --> 00:02:02.340]  十一到十六節
[00:02:02.340 --> 00:02:05.500]  待會當然我們會講那些假教師
