
[00:00:00.000 --> 00:00:02.000]  祢的靈充滿我們
[00:00:02.000 --> 00:00:04.500]  讓我們能夠得著生命的力量
[00:00:04.500 --> 00:00:07.100]  讓我們的生命更新復興
[00:00:07.100 --> 00:00:08.860]  讓我們聽得出祢的話
[00:00:08.860 --> 00:00:10.300]  和能夠
[00:00:10.300 --> 00:00:14.020]  我們充滿著喜樂、踴躍的心去跟隨祢
[00:00:14.020 --> 00:00:15.120]  我們這樣的禱告
[00:00:15.120 --> 00:00:16.320]  奉耶穌基督的名
[00:00:16.320 --> 00:00:17.520]  阿門
[00:00:17.520 --> 00:00:18.800]  感謝神的恩典
[00:00:18.800 --> 00:00:21.520]  讓我和弟兄姊妹分享聖經的說話
[00:00:21.520 --> 00:00:24.000]  我在去年開始
[00:00:24.000 --> 00:00:25.800]  又有一個領袖就是
[00:00:25.800 --> 00:00:29.000]  今年在幫錦村家講道的時候
[00:00:29.000 --> 00:00:31.000]  我會集中在以賽亞書
[00:00:31.000 --> 00:00:33.200]  由於我不是每一次
[00:00:33.200 --> 00:00:36.900]  都會在五堂裡面跟大家一起
[00:00:36.900 --> 00:00:38.800]  所以對你們來說
[00:00:38.800 --> 00:00:41.400]  可能你們是獨立聽那一次的信息
[00:00:41.400 --> 00:00:42.500]  但對我來說
[00:00:42.500 --> 00:00:44.500]  所有的講道都是連貫的
[00:00:44.500 --> 00:00:49.200]  這一年我就會集中在以賽亞書的第一章到十二章
[00:00:49.200 --> 00:00:50.900]  其中一些重要的經文
[00:00:50.900 --> 00:00:52.800]  我拿來做講道的
[00:00:52.800 --> 00:00:58.200]  上一次我已經講了以賽亞書的主題了
[00:00:58.200 --> 00:01:00.500]  所以可能對有些弟兄姊妹來說
[00:01:00.500 --> 00:01:03.500]  他們沒有這個機會聽
[00:01:03.500 --> 00:01:05.700]  這次是第一次進入以賽亞書
[00:01:05.700 --> 00:01:06.200]  好了
[00:01:06.200 --> 00:01:09.100]  我自己在祈禱的時候
[00:01:09.100 --> 00:01:12.800]  我選了以賽亞書裡面
[00:01:12.800 --> 00:01:16.800]  一段經文就是一章二十一到二十六節
[00:01:16.800 --> 00:01:20.600]  題目就是以賽亞體現耶路撒冷的衰落
[00:01:20.600 --> 00:01:22.900]  我講道有三個部分
[00:01:22.900 --> 00:01:24.500]  第一個部分
[00:01:24.500 --> 00:01:28.500]  就是講以賽亞書第一章二十一到二十六節
[00:01:28.500 --> 00:01:30.300]  它的經文背景
[00:01:30.300 --> 00:01:31.700]  因為我們沒有背景
[00:01:31.700 --> 00:01:33.600]  我們是不知道它講什麼的
[00:01:33.600 --> 00:01:34.600]  第二部分
[00:01:34.600 --> 00:01:38.100]  我就會用前面少許的經文來幫助
[00:01:38.100 --> 00:01:40.000]  五方面的悔改
[00:01:40.000 --> 00:01:44.000]  第三部分就是在講重建誠信和公義
