
[00:00:00.000 --> 00:00:05.080]  我們很高興由本堂的傳道 姚洪傳道
[00:00:05.080 --> 00:00:11.080]  為我們宣講「活在神的應許中」這個講題
[00:00:11.080 --> 00:00:13.080]  在未講到之先
[00:00:13.080 --> 00:00:18.600]  請大家聽我一起讀出今日相關的經文
[00:00:18.600 --> 00:00:24.280]  是記載在《獵王記》上第二章一至九節
[00:00:24.280 --> 00:00:28.400]  《獵王記》上二章一至九節
[00:00:28.400 --> 00:00:35.160]  舊約聖經第467至468頁
[00:00:35.160 --> 00:00:41.160]  舊約聖經第467至468頁
[00:00:41.160 --> 00:00:44.360]  找到的請聽我讀出
[00:00:44.360 --> 00:00:46.760]  大衛的死期臨近了
[00:00:46.760 --> 00:00:49.840]  就申呼他兒子所羅門說
[00:00:49.840 --> 00:00:52.640]  我要走世人必走的路了
[00:00:52.640 --> 00:00:56.440]  你當剛強 作大丈夫
[00:00:56.440 --> 00:01:00.240]  遵守耶和華你神所吩咐的
[00:01:00.240 --> 00:01:05.440]  照著摩西律法上所寫的行耶和華的道
[00:01:05.440 --> 00:01:11.360]  遵守他的律例 誡明 典章 法道
[00:01:11.360 --> 00:01:13.840]  好讓你無論做什麼
[00:01:13.840 --> 00:01:18.120]  不虛往何處 盡道行通
[00:01:18.120 --> 00:01:19.600]  第四節
[00:01:19.600 --> 00:01:23.960]  耶和華必承就他所說關於我的話
[00:01:23.960 --> 00:01:28.800]  說你的子孫若謹慎自己的行為
[00:01:28.800 --> 00:01:33.600]  盡心盡義 行進實行在我面前
[00:01:33.600 --> 00:01:38.280]  就不斷有人助以色列的亡危
[00:01:38.280 --> 00:01:43.120]  你也知道洗腦亞的兒子約阿
[00:01:43.120 --> 00:01:45.360]  向我所做的事
[00:01:45.360 --> 00:01:49.280]  他對付以色列的兩個元帥
[00:01:49.280 --> 00:01:51.960]  尼爾的兒子亞尼爾
[00:01:51.960 --> 00:01:54.960]  和益歇的兒子阿瑪撒
[00:01:54.960 --> 00:01:56.960]  殺了他們
[00:01:56.960 --> 00:02:00.280]  他在太平時如同戰爭一般
[00:02:00.280 --> 00:02:02.440]  流這二人的血
[00:02:02.440 --> 00:02:05.880]  把這戰爭的血染了他的腰間
[00:02:05.880 --> 00:02:09.640]  足的大和腳上穿的鞋
[00:02:09.640 --> 00:02:13.520]  所以你們要照你的智慧去做
[00:02:13.520 --> 00:02:18.760]  不讓他白髮 安然 下陰間
[00:02:18.760 --> 00:02:23.200]  你當恩代激烈人巴西來的眾兒子
[00:02:23.200 --> 00:02:27.080]  請他們常與你們同坐吃飯
[00:02:27.080 --> 00:02:30.200]  因為我躲避你哥哥
[00:02:30.200 --> 00:02:34.200]  壓沙龍的時候他們親近我
[00:02:34.200 --> 00:02:35.280]  第八節
[00:02:35.280 --> 00:02:41.360]  看啊 在你這裡有來自巴胡林的變雅文人
[00:02:41.360 --> 00:02:43.960]  基拉的兒子 仕毅
[00:02:43.960 --> 00:02:46.680]  我到馬哈廉去的日子
[00:02:46.680 --> 00:02:49.960]  他用狠毒的語言咒罵我
[00:02:49.960 --> 00:02:54.000]  後來他腳下若彈河迎接我
[00:02:54.000 --> 00:02:57.120]  我就指著夜和華向他起誓說
[00:02:57.120 --> 00:02:59.840]  我必不用刀殺你
[00:02:59.840 --> 00:03:03.360]  但現在你不要以為他無罪
[00:03:03.360 --> 00:03:05.320]  你是有智慧的人
[00:03:05.320 --> 00:03:07.720]  必知道怎樣待他
[00:03:07.720 --> 00:03:11.160]  使他白髮流血下陰間
[00:03:11.160 --> 00:03:13.160]  恭請將時間交給老傳道
[00:03:13.160 --> 00:03:31.160]  (掌聲)
[00:03:31.160 --> 00:03:33.160]  弟兄姊妹平安
[00:03:33.160 --> 00:03:38.160]  有人說 中國人這樣說
[00:03:38.160 --> 00:03:41.160]  人之將死 死然也善
[00:03:41.160 --> 00:03:44.160]  當然 一個人的生命去到盡頭
[00:03:44.160 --> 00:03:47.160]  都無需說甚麼假話
[00:03:47.160 --> 00:03:51.160]  不過對於一個很重要的領袖的林中維賢來說
[00:03:51.160 --> 00:03:56.160]  他不單單只要說出甚麼叫「真」和甚麼叫「善」
[00:03:56.160 --> 00:03:57.160]  因為作為一個領袖
[00:03:57.160 --> 00:04:00.160]  需要向帶領的群眾
[00:04:00.160 --> 00:04:04.160]  說出一個未來的展望和藍圖
[00:04:04.160 --> 00:04:08.160]  作為對下一代的指示或者發展的方向
[00:04:08.160 --> 00:04:12.160]  聖經裏面有很多重要人物的遺言
[00:04:12.160 --> 00:04:16.160]  往往都涉及未來和一些重要的提示
[00:04:16.160 --> 00:04:19.160]  好像以色列族長雅各
[00:04:19.160 --> 00:04:23.160]  他的遺言就涉及了十二支派的未來
[00:04:23.160 --> 00:04:29.160]  摩西的遺言又涉及了以色列人進入迦南的未來
[00:04:29.160 --> 00:04:34.160]  約書亞的遺言又涉及十二支派在迦南地
[00:04:34.160 --> 00:04:37.160]  分地之後的未來
[00:04:37.160 --> 00:04:43.160]  撒魯爾的遺言就涉及了以色列立了王之後的未來
[00:04:43.160 --> 00:04:51.160]  而大衛的遺言就涉及了大衛王朝的承繼或者承傳的未來
[00:04:51.160 --> 00:04:56.160]  今天很想透過《列王記》上的二章一至九節
[00:04:56.160 --> 00:05:00.160]  從大衛向所羅門的遺言裏面
[00:05:00.160 --> 00:05:03.160]  我們去探討一個信仰的重點
[00:05:03.160 --> 00:05:05.160]  我們先開始一個祈禱
[00:05:06.160 --> 00:05:11.160]  主祢有祢的話語作為我們生命的陀
[00:05:11.160 --> 00:05:15.160]  亦有聖靈指引著我們生命的方向
[00:05:15.160 --> 00:05:19.160]  祢的憐憫、祢的保守叫我們不會偏離航道
[00:05:19.160 --> 00:05:23.160]  祢的提醒讓我們能夠按著祢的心意而行
[00:05:23.160 --> 00:05:26.160]  求祢繼續施恩典、施憐憫
[00:05:26.160 --> 00:05:29.160]  保佑我們屬靈生命每天都能夠成長
[00:05:29.160 --> 00:05:31.160]  能夠被祢使用
[00:05:31.160 --> 00:05:32.160]  榮耀主名
[00:05:32.160 --> 00:05:35.160]  我們祈禱是奉主耶穌基督的聖名
[00:05:35.160 --> 00:05:36.160]  祈求,阿們
[00:05:36.160 --> 00:05:58.160]  在大衛對所羅門的遺言裏面
[00:05:58.160 --> 00:06:00.160]  大致分為兩個部分
[00:06:00.160 --> 00:06:04.160]  如果剛才有撇開聖經
[00:06:04.160 --> 00:06:07.160]  不要蓋住,再撇開
[00:06:07.160 --> 00:06:09.160]  在第二節、第四節裏面
[00:06:09.160 --> 00:06:13.160]  內容基本上與神和以色列王國有關
[00:06:13.160 --> 00:06:15.160]  而第五節、第九節
[00:06:15.160 --> 00:06:18.160]  內容大概與人有關
[00:06:18.160 --> 00:06:22.160]  我們先看看大衛的遺言的第一部分
[00:06:22.160 --> 00:06:25.160]  第一部分我給了一個主題
[00:06:25.160 --> 00:06:30.160]  就是遵守神的話語作為承傳給下一代的教訓
[00:06:30.160 --> 00:06:33.160]  我們再試試讀第二和第三節
[00:06:34.160 --> 00:06:35.160]  他說
[00:07:01.160 --> 00:07:03.160]  這兩節經文的重點
[00:07:03.160 --> 00:07:06.160]  基本上與約書亞一章七節
[00:07:06.160 --> 00:07:10.160]  摩西糞便約書亞的三個重點
[00:07:10.160 --> 00:07:12.160]  差不多完全一樣
[00:07:12.160 --> 00:07:21.160]  在約書亞一章七節他怎樣說呢
[00:07:21.160 --> 00:07:22.160]  他說
[00:07:22.160 --> 00:07:34.160]  這兩節經文你見到
[00:07:34.160 --> 00:07:38.160]  highlight的部分其實差不多
