
[00:00:00.000 --> 00:00:02.360]  各位頂智媒主平安
[00:00:02.360 --> 00:00:06.000]  又是我最近講道講得很密
[00:00:06.000 --> 00:00:09.160]  教會可能不夠傳道
[00:00:09.160 --> 00:00:11.320]  所以大家懇切祈禱
[00:00:11.320 --> 00:00:13.320]  多些人幫忙輪一輪
[00:00:13.320 --> 00:00:15.720]  今天是聖誕節
[00:00:15.720 --> 00:00:17.240]  其實昨天是聖誕節
[00:00:17.240 --> 00:00:18.840]  今天是博星節
[00:00:18.840 --> 00:00:20.520]  不知道大家開了禮物沒有
[00:00:20.520 --> 00:00:24.520]  其實這個聖誕節大家應該很忙吧
[00:00:24.520 --> 00:00:28.600]  其實在教會裡面這個場景特別忙
[00:00:28.600 --> 00:00:31.640]  聖誕節我們有很多功能和工作
[00:00:31.640 --> 00:00:34.000]  除了要去玩之外
[00:00:34.000 --> 00:00:35.760]  教會也有很多節目
[00:00:35.760 --> 00:00:38.120]  下午也有其他節目
[00:00:38.120 --> 00:00:40.800]  大家應該清楚
[00:00:40.800 --> 00:00:43.960]  除了玩和侍奉之外
[00:00:43.960 --> 00:00:47.800]  其實聖誕節我們是慶祝耶穌基督的降生
[00:00:47.800 --> 00:00:49.680]  這個要很清楚
[00:00:49.680 --> 00:00:52.840]  我們要很專注這件事
[00:00:52.840 --> 00:00:54.800]  但是我想問一下大家
[00:00:54.800 --> 00:00:59.440]  關於耶穌基督出生的場景
[00:00:59.440 --> 00:01:02.520]  不知道大家的印象是怎樣的
[00:01:02.520 --> 00:01:04.680]  一定記得有馬槽
[00:01:04.680 --> 00:01:08.840]  記得有顆百麗行之星
[00:01:08.840 --> 00:01:10.840]  記得這些東西
[00:01:10.840 --> 00:01:12.000]  有些牧羊人
[00:01:12.000 --> 00:01:13.400]  有些博士
[00:01:13.400 --> 00:01:16.200]  其實我們印象中這個場景
[00:01:16.200 --> 00:01:19.600]  一般叫做馬槽的聖景
[00:01:19.600 --> 00:01:23.800]  通常聖誕節佈置是這樣的
[00:01:23.800 --> 00:01:25.520]  有個百麗行,有顆星
[00:01:25.520 --> 00:01:27.360]  約瑟瑪利亞,耶穌
[00:01:27.360 --> 00:01:29.880]  然後有牧羊人,有博士
[00:01:29.880 --> 00:01:31.400]  但是不知道大家知不知道
[00:01:31.400 --> 00:01:33.240]  其實這個場景
[00:01:33.240 --> 00:01:36.480]  按照我們的記憶
[00:01:36.480 --> 00:01:39.080]  其實是一個炒雜感的場景
[00:01:39.080 --> 00:01:41.680]  有些東西是混在一起的
[00:01:41.680 --> 00:01:45.720]  首先在聖經裡面有兩段經文
[00:01:45.720 --> 00:01:47.480]  是講耶穌出生的
[00:01:47.480 --> 00:01:49.960]  第一段在《路加福音》說到
[00:01:49.960 --> 00:01:55.200]  凱撒大帝要求要數點人數
[00:01:55.200 --> 00:01:57.600]  就是戶口登記
[00:01:57.600 --> 00:02:02.600]  可能因為你知道羅馬帝國管理的範圍很大
[00:02:02.600 --> 00:02:05.640]  所以他們需要做一些人口的普查
[00:02:05.640 --> 00:02:10.120]  於是要求所有人要回鄉做戶口登記
[00:02:10.120 --> 00:02:13.840]  所以約瑟要帶著他老婆瑪利亞
[00:02:13.840 --> 00:02:16.800]  帶著肚子都要回鄉
[00:02:16.800 --> 00:02:20.360]  在百麗行因為找不到旅店
[00:02:20.360 --> 00:02:26.920]  被迫要在馬場過夜
[00:02:26.920 --> 00:02:29.480]  耶穌就出生在馬場裡面
[00:02:29.480 --> 00:02:33.600]  當時有些天使向牧羊人報信
[00:02:33.600 --> 00:02:38.360]  於是那些牧羊人就找到馬場去拜耶穌
[00:02:38.360 --> 00:02:40.360]  這是第一段的片段
[00:02:40.360 --> 00:02:43.400]  所以有些牧羊人有顆星
[00:02:43.400 --> 00:02:45.920]  有個馬槽
[00:02:45.920 --> 00:02:47.720]  這是那個場景
[00:02:47.720 --> 00:02:50.720]  然後另一段的記載
[00:02:50.720 --> 00:02:52.240]  就是今天說的經文
[00:02:52.240 --> 00:02:54.000]  就是有幾個博士
[00:02:54.000 --> 00:02:55.960]  從這個星象就知道
[00:02:55.960 --> 00:02:58.800]  猶太人的王要出生了
[00:02:58.800 --> 00:03:02.600]  於是就去拜祂了
[00:03:02.600 --> 00:03:05.400]  我讀給大家聽
[00:03:05.400 --> 00:03:07.480]  在希律作王的時候
[00:03:07.480 --> 00:03:10.040]  耶穌生在猶太的百麗行
