
[00:00:00.000 --> 00:00:02.800]  書文姐妹說我們讀經文
[00:00:02.800 --> 00:00:04.560]  大家讀經文的時候
[00:00:04.560 --> 00:00:06.200]  可以覺得很有趣
[00:00:06.200 --> 00:00:11.800]  究竟這封信是說些什麼呢?
[00:00:11.800 --> 00:00:13.960]  其實《約翰一書》
[00:00:13.960 --> 00:00:17.120]  是聖經裏面的一個所謂的
[00:00:17.120 --> 00:00:19.360]  蒙愛的使徒約翰
[00:00:19.360 --> 00:00:22.280]  是寫給神家裏面的兒女
[00:00:22.280 --> 00:00:26.400]  一般都會稱為一個愛的家書
[00:00:26.400 --> 00:00:28.400]  整個書信裏面
[00:00:28.400 --> 00:00:33.720]  經常提到兒子、女兒和愛
[00:00:33.720 --> 00:00:35.480]  都說了幾十次
[00:00:35.480 --> 00:00:39.240]  在語調和風格上
[00:00:39.240 --> 00:00:41.440]  是一個屬靈的父親
[00:00:41.440 --> 00:00:45.520]  他對在基督裏面的兒女所說的話
[00:00:45.520 --> 00:00:47.480]  所以說出來
[00:00:47.480 --> 00:00:50.080]  就會覺得又親切
[00:00:50.080 --> 00:00:51.480]  又有些權威
[00:00:51.480 --> 00:00:52.600]  他所說的時候
[00:00:52.600 --> 00:00:53.400]  大家都覺得
[00:00:53.400 --> 00:00:56.240]  「是的,我們都要聽」
[00:00:56.240 --> 00:01:00.000]  首先我們再看看
[00:01:00.000 --> 00:01:02.880]  「我寫信給你們小子們」
[00:01:02.880 --> 00:01:05.120]  「你們的罪是直接基督的名」
[00:01:05.120 --> 00:01:06.520]  「得了赦免」
[00:01:06.520 --> 00:01:08.840]  這個是原文的結構
[00:01:08.840 --> 00:01:11.880]  和剛才主席和我們讀的經文
[00:01:11.880 --> 00:01:12.760]  是有一點分別
[00:01:12.760 --> 00:01:13.720]  通常就是這樣
[00:01:13.720 --> 00:01:15.000]  「我寫信給」
[00:01:15.000 --> 00:01:15.880]  哪一個呢?
[00:01:15.880 --> 00:01:17.920]  就是那個對象
[00:01:17.920 --> 00:01:22.960]  然後就是約翰所說的勉勵
[00:01:22.960 --> 00:01:23.840]  然後就說
[00:01:23.840 --> 00:01:25.080]  「我寫信給你們」
[00:01:25.080 --> 00:01:26.080]  然後就寫給誰呢?
[00:01:26.080 --> 00:01:27.800]  就寫給父老
[00:01:27.800 --> 00:01:31.440]  「因為你們是認識從起初」
[00:01:31.440 --> 00:01:33.920]  「就有的那一位」
[00:01:33.920 --> 00:01:35.640]  然後就寫給誰呢?
[00:01:35.640 --> 00:01:37.680]  然後就寫給少年人
[00:01:37.680 --> 00:01:39.840]  他說因為少年人
[00:01:39.840 --> 00:01:42.800]  是你們的聖過那惡者
[00:01:42.800 --> 00:01:44.040]  然後是重覆的
[00:01:44.040 --> 00:01:48.640]  所以大家會留意到
[00:01:48.640 --> 00:01:49.800]  他說
[00:01:49.800 --> 00:01:51.480]  「我寫信給你們少年人」
[00:01:51.480 --> 00:01:53.520]  「你們是認識父」
[00:01:53.520 --> 00:01:56.160]  然後他說「我寫信給父老」
