
[00:00:00.000 --> 00:00:04.000]  好 各位頂智妹 祝你們平安
[00:00:04.000 --> 00:00:08.000]  這一年很特別 我想大家都未試過一個平安夜
[00:00:08.000 --> 00:00:11.000]  會是真的這麼寧靜的
[00:00:11.000 --> 00:00:16.000]  大家要共同抗疫 要來家裏看直播
[00:00:16.000 --> 00:00:19.000]  可能聖誕大餐都要下午出去吃
[00:00:19.000 --> 00:00:22.000]  甚至要分開幾桌去吃
[00:00:22.000 --> 00:00:26.000]  我都是下午才和兒子出去吃東西
[00:00:26.000 --> 00:00:29.000]  剛才晚上回來的時候 一個不留意
[00:00:29.000 --> 00:00:33.000]  過了六點鐘 於是唯有買外賣
[00:00:33.000 --> 00:00:35.000]  今年真的很特別
[00:00:35.000 --> 00:00:39.000]  在這個平安夜 我相信大家更加需要
[00:00:39.000 --> 00:00:41.000]  從神而來的平安
[00:00:41.000 --> 00:00:44.000]  傳統上今晚叫平安夜
[00:00:44.000 --> 00:00:47.000]  我們都是宣告平安的訊息
[00:00:47.000 --> 00:00:49.000]  在《路加福音》二章十四節
[00:00:49.000 --> 00:00:53.000]  天使都說的 在至高之處榮耀歸於神
[00:00:53.000 --> 00:00:57.000]  在地上平安歸於他所喜悅的人
[00:00:57.000 --> 00:01:01.000]  但是平安夜這個名字是怎麼來的呢
[00:01:01.000 --> 00:01:03.000]  我翻查一下
[00:01:03.000 --> 00:01:06.000]  其實英文平安夜是Christmas Eve
[00:01:06.000 --> 00:01:08.000]  或者是Silent Night
[00:01:08.000 --> 00:01:11.000]  為什麼不是譯作安靜夜呢
[00:01:11.000 --> 00:01:13.000]  要譯作平安夜呢
[00:01:13.000 --> 00:01:15.000]  剛好今天看Facebook
[00:01:15.000 --> 00:01:19.000]  看到高永軒博士也有說平安夜的訊息
[00:01:19.000 --> 00:01:21.000]  關於Silent Night
[00:01:21.000 --> 00:01:23.000]  我就不多說了
[00:01:23.000 --> 00:01:25.000]  但是研究研究的時候發覺
[00:01:25.000 --> 00:01:29.000]  可能和剛才我們唱的平安夜的詩歌有關
[00:01:29.000 --> 00:01:31.000]  因為它是一首很出名的詩歌
[00:01:31.000 --> 00:01:33.000]  而它的英文名字
[00:01:33.000 --> 00:01:35.000]  英文的翻譯是Silent Night
[00:01:35.000 --> 00:01:37.000]  我們翻譯成中文 變成平安夜
[00:01:37.000 --> 00:01:42.000]  於是慢慢就變成聖誕節前夕的稱呼
[00:01:42.000 --> 00:01:45.000]  既然這是一個公認的中文翻譯
[00:01:45.000 --> 00:01:49.000]  也沒有辦法再去處理了
[00:01:49.000 --> 00:01:52.000]  不如我們反而去思考一下平安這個訊息
[00:01:52.000 --> 00:01:55.000]  在平安夜裏面去思考平安
