
[00:00:00.000 --> 00:00:07.800]  經文是記載在《新約老家福音》第四章十四至二十一節
[00:00:07.800 --> 00:00:11.120]  耶穌帶著聖靈的能力回到加利利
[00:00:11.120 --> 00:00:14.280]  祂的名聲傳遍了四方
[00:00:14.280 --> 00:00:17.040]  祂在各會堂裡教導人
[00:00:17.040 --> 00:00:19.360]  眾人都稱讚祂
[00:00:19.360 --> 00:00:21.080]  耶穌來到那撒勒
[00:00:21.080 --> 00:00:23.240]  就是祂長大的地方
[00:00:23.240 --> 00:00:24.560]  在安息日
[00:00:24.560 --> 00:00:27.080]  照祂素常的規矩進了會堂
[00:00:27.080 --> 00:00:29.920]  站起來要唸聖經
[00:00:29.920 --> 00:00:33.640]  有人把以塞亞先知的書交給他
[00:00:33.640 --> 00:00:35.400]  他就打開
[00:00:35.400 --> 00:00:37.960]  找到一處寫像
[00:00:37.960 --> 00:00:40.200]  主的靈在我身上
[00:00:40.200 --> 00:00:42.440]  因為祂用高高我
[00:00:42.440 --> 00:00:45.880]  叫我傳福音給貧窮的人
[00:00:45.880 --> 00:00:47.360]  差遣我宣告
[00:00:47.360 --> 00:00:49.600]  被擄得得釋放
[00:00:49.600 --> 00:00:51.440]  生命得得看見
[00:00:51.440 --> 00:00:54.920]  受壓迫得得自由
[00:00:54.920 --> 00:00:58.080]  宣告神閱立人的欺憐
[00:00:58.080 --> 00:01:01.480]  於是他把書捲起來
[00:01:01.480 --> 00:01:04.640]  加環級管理人就坐下
[00:01:04.640 --> 00:01:08.240]  會堂裡的人都正正看他
[00:01:08.240 --> 00:01:10.880]  耶穌對他們說
[00:01:10.880 --> 00:01:13.600]  你們聽見這段經文
[00:01:13.600 --> 00:01:17.480]  今天已經應驗了
[00:01:17.480 --> 00:01:18.160]  我們感謝神
[00:01:18.160 --> 00:01:19.720]  今天有本堂的傳導人
[00:01:19.720 --> 00:01:21.840]  楊明麗姑娘在我們中間靜悟
[00:01:21.840 --> 00:01:23.640]  而今天的講題就是
[00:01:23.640 --> 00:01:26.360]  「帶著使命前行」
[00:01:26.360 --> 00:01:27.400]  現在恭請楊姑娘
[00:01:27.400 --> 00:01:29.400]  各位弟兄姊妹早晨
[00:01:29.400 --> 00:01:30.880]  新年快樂
[00:01:30.880 --> 00:01:32.480]  我們一起來看聖經的時候
[00:01:32.480 --> 00:01:37.280]  我們先一起禱告
[00:01:37.280 --> 00:01:37.880]  親愛的父上
[00:01:37.880 --> 00:01:39.120]  帶我們來到你的庚前
[00:01:39.120 --> 00:01:41.600]  我們求你看顧幫助我們
[00:01:41.600 --> 00:01:42.960]  主要是讓我們有你的恩典
[00:01:42.960 --> 00:01:44.760]  主要是讓我們能夠明白
[00:01:44.760 --> 00:01:46.560]  上帝你對我們的心意
[00:01:46.560 --> 00:01:47.880]  主要是求你幫助我們
[00:01:47.880 --> 00:01:49.880]  讓我們無論坐的
[00:01:49.880 --> 00:01:50.840]  站的
[00:01:50.840 --> 00:01:51.400]  講的
[00:01:51.400 --> 00:01:51.880]  聽的
[00:01:51.880 --> 00:01:53.280]  都有你的恩典
[00:01:53.280 --> 00:01:54.880]  可以得著你的話語
[00:01:54.880 --> 00:01:57.040]  可以成為我們生命的指引
[00:01:57.040 --> 00:01:58.040]  禱告仰望你
[00:01:58.040 --> 00:01:59.680]  奉主耶穌基督的聖名
[00:01:59.680 --> 00:02:00.480]  阿們
[00:02:00.480 --> 00:02:06.720]  我今天就和大家一起繼續看
[00:02:06.720 --> 00:02:08.080]  《路加福音》
[00:02:08.080 --> 00:02:11.240]  《路加福音》我們上一個禮拜
[00:02:11.240 --> 00:02:16.160]  應該是看到耶穌基督受洗
[00:02:16.160 --> 00:02:20.320]  耶穌基督受洗之後
[00:02:20.320 --> 00:02:21.640]  早沖皇帝
[00:02:21.640 --> 00:02:23.200]  聖靈引導他
[00:02:23.200 --> 00:02:25.160]  去到曠野四十天
[00:02:25.160 --> 00:02:30.240]  四十天也是他退休
[00:02:30.240 --> 00:02:31.680]  和神更加親近
[00:02:31.680 --> 00:02:33.560]  和天父更加親近的時候
[00:02:33.560 --> 00:02:38.440]  這四十天是他有這麼多的時間
[00:02:38.440 --> 00:02:40.960]  他可以安靜到自己的時候
[00:02:40.960 --> 00:02:44.760]  這四十天他也做了一件很重大的事
[00:02:44.760 --> 00:02:48.520]  就是面對著撒旦很多的試探印有
[00:02:48.520 --> 00:02:52.240]  聖經當中也記錄了三個試探
[00:02:52.240 --> 00:02:54.280]  然後他就出來
[00:02:54.280 --> 00:02:57.320]  他就出來要工作了
[00:02:57.320 --> 00:02:58.840]  他就開始出來工作
[00:02:58.840 --> 00:03:00.240]  開始出來工作的時候
[00:03:00.240 --> 00:03:03.960]  聖經就說他是神的聖靈
[00:03:03.960 --> 00:03:05.280]  一直與他同在
[00:03:05.280 --> 00:03:07.040]  他帶著聖靈的能力
[00:03:07.040 --> 00:03:08.720]  出去工作
[00:03:08.720 --> 00:03:11.080]  耶穌基督沒有聖靈的能力
[00:03:11.080 --> 00:03:12.800]  他回到加利利
[00:03:12.800 --> 00:03:13.680]  回到加利利
[00:03:13.680 --> 00:03:16.280]  他的名聲已經傳遍了四方
[00:03:16.280 --> 00:03:18.840]  他就在各個會堂裡面教訓人
[00:03:18.840 --> 00:03:20.960]  眾人都很稱頌他
[00:03:20.960 --> 00:03:23.400]  然後耶穌基督來到拿撒勒
[00:03:23.400 --> 00:03:25.000]  他成長的地方
[00:03:25.000 --> 00:03:26.760]  按昔日的時候
[00:03:26.760 --> 00:03:29.760]  他照常的規矩就去到會堂那邊
[00:03:29.760 --> 00:03:32.120]  站出來讀聖經
[00:03:32.120 --> 00:03:34.400]  有人就給他遞了一本聖經
[00:03:34.400 --> 00:03:35.680]  是以塞亞書
[00:03:35.680 --> 00:03:37.360]  以前的聖經就跟我們不同
[00:03:37.360 --> 00:03:38.720]  我們一本過
[00:03:38.720 --> 00:03:39.960]  他們是分開了的
[00:03:39.960 --> 00:03:42.160]  以塞亞書因為太長
[00:03:42.160 --> 00:03:44.840]  可能是分開兩卷的鵝皮紙
[00:03:44.840 --> 00:03:46.480]  鵝皮卷的
[00:03:46.480 --> 00:03:49.680]  然後他就打開了以塞亞書
[00:03:49.680 --> 00:03:50.920]  一出來讀
[00:03:50.920 --> 00:03:54.960]  這一本其實是引了以塞亞書的58章
[00:03:54.960 --> 00:03:56.720]  和第61章
[00:03:56.720 --> 00:03:58.720]  拿了兩段的聖經來讀
[00:03:58.720 --> 00:04:00.400]  主的靈在我身上
[00:04:00.400 --> 00:04:02.520]  因為祂用高告我
[00:04:02.520 --> 00:04:05.040]  叫我傳福音給貧窮的人
[00:04:05.040 --> 00:04:07.640]  差遣我報告被擄得釋放
[00:04:07.640 --> 00:04:09.280]  行眼的得看見
[00:04:09.280 --> 00:04:11.680]  叫那受壓迫的得自由
[00:04:11.680 --> 00:04:14.080]  報告上帝越立人的欺憐
[00:04:14.080 --> 00:04:16.520]  這段聖經我會這樣看
[00:04:16.520 --> 00:04:18.040]  這樣看是
