
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,我們一起祈禱
[00:00:03.000 --> 00:00:06.000]  我們再一次感謝天父
[00:00:06.000 --> 00:00:10.000]  讓我們能夠有一個恆常的讀聖經
[00:00:10.000 --> 00:00:13.000]  研讀聖經的習慣和聚會
[00:00:13.000 --> 00:00:16.000]  我們一直看《啟示錄》
[00:00:16.000 --> 00:00:19.000]  和交替看舊約的聖經人物
[00:00:19.000 --> 00:00:22.000]  我們都看到神感動弟兄姊妹
[00:00:22.000 --> 00:00:26.000]  有一個對聖經的話語的追求
[00:00:26.000 --> 00:00:28.000]  渴慕的心靈
[00:00:28.000 --> 00:00:30.000]  我們很盼望我們越讀
[00:00:30.000 --> 00:00:33.000]  越能夠明白神的心意
[00:00:33.000 --> 00:00:36.000]  越來越能夠在我們的生活裏
[00:00:36.000 --> 00:00:38.000]  去實踐、進行神的道
[00:00:38.000 --> 00:00:42.000]  和為神的道作見證
[00:00:42.000 --> 00:00:44.000]  求主帶領我們今天晚上
[00:00:44.000 --> 00:00:49.000]  最後一次將《啟示錄》做一個總結
[00:00:49.000 --> 00:00:53.000]  盼望我們都能夠掌握裏面最重要的訊息
[00:00:53.000 --> 00:00:55.000]  以致我們得到的
[00:00:55.000 --> 00:00:57.000]  是神給我們的真正的福氣
[00:00:57.000 --> 00:01:00.000]  今天晚上我們等候在你的面前
[00:01:00.000 --> 00:01:02.000]  保守弟兄姊妹
[00:01:02.000 --> 00:01:04.000]  無論是現場聽的
[00:01:04.000 --> 00:01:06.000]  或者是之後聽錄音的
[00:01:06.000 --> 00:01:10.000]  都能夠得到神的話語的建立
[00:01:10.000 --> 00:01:12.000]  我們這樣的感恩禱告
[00:01:12.000 --> 00:01:14.000]  奉耶穌基督的名
[00:01:14.000 --> 00:01:16.000]  阿們
[00:01:16.000 --> 00:01:19.000]  都是急不及待
[00:01:19.000 --> 00:01:23.000]  都很想和大家下個星期開始
[00:01:23.000 --> 00:01:26.000]  認真地去看《約翰福音》
[00:01:26.000 --> 00:01:29.000]  將大家從一個比較宏觀
[00:01:29.000 --> 00:01:34.000]  和在整個訊息裏面
[00:01:34.000 --> 00:01:38.000]  寫作的動機、寫作的原因
[00:01:38.000 --> 00:01:42.000]  和它用什麼內容、題材
[00:01:42.000 --> 00:01:45.000]  去帶出訊息的內容
[00:01:45.000 --> 00:01:49.000]  訊息的中心思想
