
[00:00:00.000 --> 00:00:02.880]  各位靈影姐妹 早安
[00:00:02.880 --> 00:00:05.380]  我們一起祈禱好嗎?
[00:00:05.380 --> 00:00:07.280]  親愛的天父上帝 我們來到您的面前
[00:00:07.280 --> 00:00:09.380]  我們很需要您的恩典
[00:00:09.380 --> 00:00:11.980]  最後這段是我們想要聽到的時間
[00:00:11.980 --> 00:00:16.780]  願您將您的道放在聽者的心中
[00:00:16.780 --> 00:00:21.480]  願讓孩子的說話有白費的
[00:00:21.480 --> 00:00:24.240]  有不應該說的 您就將它隔去
[00:00:24.240 --> 00:00:26.680]  願讓每一位聽到心靈裏面的
[00:00:26.680 --> 00:00:27.880]  是您的話語
[00:00:27.880 --> 00:00:29.480]  願您的恩典在我們當中
[00:00:29.480 --> 00:00:34.080]  我們仰望您 奉主耶穌基督的聖名 阿門
[00:00:34.080 --> 00:00:37.180]  各位靈影姐妹 明日復明日
[00:00:37.180 --> 00:00:40.280]  這四個字我想大家熟悉過我
[00:00:40.280 --> 00:00:42.080]  明日復明日
[00:00:42.080 --> 00:00:45.780]  人生如果有一樣東西等明天會是怎樣呢?
[00:00:45.780 --> 00:00:49.480]  但是如果人沒有明天又會是怎樣呢?
[00:00:49.480 --> 00:00:50.980]  可能每一個人
[00:00:50.980 --> 00:00:54.480]  我們都有很多明日的計劃
[00:00:54.480 --> 00:00:56.280]  你的時間表裏面的計劃
[00:00:56.280 --> 00:00:59.180]  去到哪一個明日?
[00:00:59.180 --> 00:01:02.480]  可能去到明年 是吧?
[00:01:02.480 --> 00:01:04.580]  你會有很多不同的計劃
[00:01:04.580 --> 00:01:06.080]  不同的安排
[00:01:06.080 --> 00:01:09.780]  不過神又對我們有甚麼提示呢?
[00:01:09.780 --> 00:01:12.280]  今天我們就看《已不鎖書》
[00:01:12.280 --> 00:01:16.980]  《已不鎖書》是保羅在監獄當中寫的
[00:01:16.980 --> 00:01:20.880]  他在這段時間寫了另外三卷書
[00:01:20.880 --> 00:01:22.380]  就是《肥勒比書》
[00:01:22.380 --> 00:01:24.780]  《哥羅西書》和《肥利門書》
[00:01:24.780 --> 00:01:27.380]  這幾卷書都是
[00:01:27.380 --> 00:01:30.280]  找到童工送出去
[00:01:30.280 --> 00:01:32.480]  去不同的城市裏面
[00:01:32.480 --> 00:01:35.980]  其中《哥羅西書》和《已不鎖書》的內容
[00:01:35.980 --> 00:01:38.980]  有很多相近相似的地方
[00:01:38.980 --> 00:01:42.080]  大家可以用來參考
[00:01:42.080 --> 00:01:44.680]  如果你自己有讀經的計劃
[00:01:44.680 --> 00:01:48.580]  都可以兩卷書一起輪流來讀
[00:01:48.580 --> 00:01:52.980]  《已不鎖書》它是有一個特色的
[00:01:52.980 --> 00:01:56.480]  它就是系統或者架構是很鮮明的
[00:01:56.480 --> 00:01:59.880]  或者說保羅他本身都有一個這樣的習慣
[00:01:59.880 --> 00:02:01.880]  就是這本書的前一段
[00:02:01.880 --> 00:02:04.580]  就是講一些神學或者是教義
[00:02:04.580 --> 00:02:07.880]  接著後半段就是講應用
[00:02:07.880 --> 00:02:10.780]  這本書它都分得很平均
[00:02:10.780 --> 00:02:15.280]  就是第一至三章講到教義
[00:02:15.280 --> 00:02:21.580]  第四至六章講到一些我們生活上的應用
[00:02:21.580 --> 00:02:25.480]  它還有一些特別的地方就是
[00:02:25.480 --> 00:02:28.180]  它沒有特別針對哪一間教會
[00:02:28.180 --> 00:02:29.880]  《哥林多前書》我們很明白
[00:02:29.880 --> 00:02:34.180]  一講下去就是講到哥林多有些甚麼問題
[00:02:34.180 --> 00:02:36.680]  然後《菲律賓書》我們看下去
[00:02:36.680 --> 00:02:38.680]  整本書講愛心
[00:02:38.680 --> 00:02:40.880]  去到最後第四章第二節開始
[00:02:40.880 --> 00:02:46.580]  就有少許開始透露到那間教會面對著甚麼事情
[00:02:46.580 --> 00:02:51.480]  但是《已不鎖書》你找不到它特別講甚麼教會的問題
[00:02:51.480 --> 00:02:53.880]  而且一些考古學家
[00:02:53.880 --> 00:02:58.080]  他們去發掘的時候找到一些古舊的經卷
[00:02:58.080 --> 00:03:01.280]  手抄卷的時候發現了一件事
[00:03:01.280 --> 00:03:04.880]  有些手抄卷找出來的內容
[00:03:04.880 --> 00:03:06.480]  是和《已不鎖書》一樣的
[00:03:06.480 --> 00:03:10.280]  只是差了一件事
[00:03:10.280 --> 00:03:12.680]  就是沒有了教會名稱
[00:03:12.680 --> 00:03:15.680]  很可能《已不鎖書》它的教導
[00:03:15.680 --> 00:03:17.880]  因為是很普及性
[00:03:17.880 --> 00:03:21.080]  所以是有其他的教會抄了來
[00:03:21.080 --> 00:03:24.280]  去到自己的堂會當中去重讀
[00:03:24.280 --> 00:03:27.080]  這個是他們栽培的系統
[00:03:27.080 --> 00:03:28.680]  裏面所講的
[00:03:28.680 --> 00:03:32.480]  基於它沒有特別講到哪間教會的問題
[00:03:32.480 --> 00:03:34.880]  不是一些問題的解決
[00:03:34.880 --> 00:03:38.080]  而是講信徒生活是怎樣的時候
[00:03:38.080 --> 00:03:40.280]  其實都很適合我們現在
[00:03:40.280 --> 00:03:42.880]  普遍的信徒去學習
[00:03:42.880 --> 00:03:44.480]  它還有一樣東西
[00:03:44.480 --> 00:03:49.680]  就是其實它《已不鎖書》讀下去就有六章的聖經
[00:03:49.680 --> 00:03:52.080]  但你如果仔細去看
[00:03:52.080 --> 00:03:53.680]  或者找些參考書看看
[00:03:53.680 --> 00:03:56.680]  你就會發覺其實它只有幾句說話
[00:03:56.680 --> 00:03:58.080]  舉個例子
[00:03:58.080 --> 00:04:01.480]  由《已不鎖書》第一章的第一節
[00:04:01.480 --> 00:04:04.080]  去到第十四節
[00:04:04.080 --> 00:04:06.480]  要背我們都背得挺辛苦的
[00:04:06.480 --> 00:04:09.880]  但它只有一句說話
[00:04:09.880 --> 00:04:12.680]  這一句說話就是講了
[00:04:12.680 --> 00:04:17.480]  是神怎樣在創世之前
[00:04:17.480 --> 00:04:22.080]  對不起 不是在亞當和夏娃犯罪之後
[00:04:22.080 --> 00:04:24.080]  是在創世之前
[00:04:24.080 --> 00:04:27.480]  就計劃了怎樣拯救人
[00:04:27.480 --> 00:04:31.880]  也計劃了之後是由耶穌基督去執行
[00:04:31.880 --> 00:04:35.880]  然後是由聖靈去感動人
[00:04:35.880 --> 00:04:37.880]  讓人明白福音
[00:04:37.880 --> 00:04:38.880]  領受福音
[00:04:38.880 --> 00:04:42.080]  而且聖靈成為我們生命的憑據
[00:04:42.080 --> 00:04:44.080]  將來我們進入天國
[00:04:44.080 --> 00:04:47.880]  是因為我們生命當中有聖靈的憑據
[00:04:47.880 --> 00:04:50.280]  接著它也說到
[00:04:50.280 --> 00:04:54.680]  人和神怎樣因著救恩可以聯合
[00:04:54.680 --> 00:04:57.480]  而人和不同的人
[00:04:57.480 --> 00:04:59.480]  因著信的時候
[00:04:59.480 --> 00:05:03.080]  又怎樣可以合一
[00:05:03.080 --> 00:05:06.880]  建立一個合一的豐盛的生命
[00:05:06.880 --> 00:05:09.480]  然後第四章一至三節
[00:05:09.480 --> 00:05:12.880]  信主久一點一定背了
[00:05:12.880 --> 00:05:15.880]  保羅說他是為主被囚的
[00:05:15.880 --> 00:05:17.880]  他就勸喻大家
[00:05:17.880 --> 00:05:19.880]  既然是蒙召
[00:05:19.880 --> 00:05:21.880]  行事為人要怎樣
[00:05:21.880 --> 00:05:25.480]  要和所蒙的恩相稱
[00:05:25.480 --> 00:05:27.880]  他勸喻大家要怎樣
[00:05:27.880 --> 00:05:32.280]  竭力保持聖靈所賜的合一
[00:05:32.280 --> 00:05:37.080]  然後教導大家怎樣在聖靈的引導下合一
[00:05:37.080 --> 00:05:40.080]  今天我們就看中間的一段
[00:05:40.080 --> 00:05:45.080]  中間的一段是說到
[00:05:45.080 --> 00:05:48.280]  五章的十五至二十一節
[00:05:48.280 --> 00:05:50.480]  其實是經過了第四章
[00:05:50.480 --> 00:05:52.080]  然後到第六章
[00:05:52.080 --> 00:05:53.880]  可能是大家都很熟悉的
[00:05:53.880 --> 00:05:56.080]  穿上全副軍裝
[00:05:56.080 --> 00:06:00.280]  要和魔鬼的試探誘惑來作戰
[00:06:00.280 --> 00:06:03.880]  讓自己屬靈生命能夠堅強
[00:06:03.880 --> 00:06:07.480]  它說到一至三章的教義
[00:06:07.480 --> 00:06:09.880]  四至六章教導我們合一的時候
[00:06:09.880 --> 00:06:11.680]  它教導我們一樣東西
[00:06:11.680 --> 00:06:14.480]  就是要穿上新人
[00:06:14.480 --> 00:06:17.080]  學習一些新生活的守則
[00:06:17.080 --> 00:06:20.280]  作為光明的子女
[00:06:20.280 --> 00:06:22.080]  作為光明的子女的時候
[00:06:22.080 --> 00:06:24.280]  它提了我們一樣東西
[00:06:24.280 --> 00:06:26.680]  不要做無知的人
[00:06:26.680 --> 00:06:29.680]  不要做無知的人要謹慎行事
[00:06:29.680 --> 00:06:32.080]  要好像智慧的人一樣
[00:06:32.080 --> 00:06:33.280]  要把握時機
[00:06:33.280 --> 00:06:34.680]  因為現今的世代邪惡
