
[00:00:00.000 --> 00:00:04.500]  大海日落的方向,都要作你們的疆土。
[00:00:04.500 --> 00:00:09.300]  你一生的日子,必無人能在你面前站立得住。
[00:00:09.300 --> 00:00:13.900]  我怎樣與摩西同在,也必照樣與你同在。
[00:00:13.900 --> 00:00:17.200]  我必不撇下你,也不丟棄你。
[00:00:17.200 --> 00:00:22.800]  你當剛強壯膽,因為你必使者百姓承受那地為業。
[00:00:22.800 --> 00:00:27.700]  就是我向他們列祖起誓要給他們的地。
[00:00:27.700 --> 00:00:32.000]  第七節,只要剛強大大壯膽,
[00:00:32.000 --> 00:00:37.500]  謹守遵行我僕人摩西所吩咐你的一切律法,
[00:00:37.500 --> 00:00:43.300]  不可偏離左右,使你無論往那裡去,都可以順利。
[00:00:43.300 --> 00:00:48.300]  這律法書不可離開你的口,總要晝夜思想,
[00:00:48.300 --> 00:00:52.500]  好使你謹守遵行這書上所寫的一切話。
[00:00:52.500 --> 00:00:57.300]  如此你的道路就可以亨通,凡事順利。
[00:00:57.300 --> 00:01:03.500]  我豈沒有吩咐你嗎?你當剛強壯膽,不要懼怕,也不要驚慌,
[00:01:03.500 --> 00:01:08.700]  因為你無論往那裡去,耶和華你的神必與你同在。
[00:01:08.700 --> 00:01:13.900]  好,接著是第二部分,第十八節,片頭一頁就行了。
[00:01:13.900 --> 00:01:20.200]  無論什麼人違背你的命令,不聽從你所吩咐他的一切話,
[00:01:20.200 --> 00:01:25.500]  就必處死,你要剛強壯膽。
[00:01:25.500 --> 00:01:28.500]  經文讀筆將時間交給朱牧師。
[00:01:28.500 --> 00:01:33.500]  主席
[00:01:34.500 --> 00:01:38.500]  主席
[00:01:38.500 --> 00:01:43.500]  主席
[00:01:44.500 --> 00:01:49.500]  主席
[00:01:49.500 --> 00:02:17.500]  主席
[00:02:18.500 --> 00:02:21.500]  主席
[00:02:22.500 --> 00:02:28.500]  「你當剛強壯膽」
[00:02:28.500 --> 00:02:32.500]  是今天跟大家思想的重點。
[00:02:32.500 --> 00:02:34.500]  「你當剛強壯膽」
[00:02:34.500 --> 00:02:43.500]  其實這段經文,神說了三次,直接跟約書亞說了三次。
[00:02:43.500 --> 00:02:47.500]  如果要說這麼多次,
[00:02:47.500 --> 00:02:54.500]  約書亞當然很害怕,很怒,心裡不太定,
[00:02:54.500 --> 00:02:57.500]  所以神才說了三、四次。
[00:02:57.500 --> 00:03:01.500]  其實不止三次,在這段經文,第二、最後一節,
[00:03:01.500 --> 00:03:07.500]  又告訴我們,有另外一班人要跟著約書亞出去打仗,
[00:03:07.500 --> 00:03:10.500]  要跟著約書亞過日間河。
[00:03:10.500 --> 00:03:15.500]  他們都用上帝的口吻來鼓勵約書亞說,
[00:03:15.500 --> 00:03:19.500]  「你不用怕,你當剛強壯膽」。
[00:03:19.500 --> 00:03:23.500]  待會兒有時間我們再看《生命記》第三、四、一章,
[00:03:23.500 --> 00:03:27.500]  上帝又說了三次給以色列人聽,
[00:03:27.500 --> 00:03:30.500]  其實是說給約書亞聽,
[00:03:30.500 --> 00:03:33.500]  又說給約書亞一起的以色列人聽,
[00:03:33.500 --> 00:03:37.500]  叫約書亞和所有的人,以色列人,
[00:03:37.500 --> 00:03:40.500]  不用怕,你當剛強壯膽。
[00:03:40.500 --> 00:03:44.500]  所以第一件事大家思想的就是,怕什麼呢?
[00:03:44.500 --> 00:03:48.500]  為什麼要說這麼多次叫他不要怕呢?
[00:03:48.500 --> 00:03:53.500]  如果按歷史的事實背景,
[00:03:53.500 --> 00:04:00.500]  就是說到當神所重用的僕人摩西離開世界,
[00:04:00.500 --> 00:04:05.500]  那神就要接班人約書亞,
[00:04:05.500 --> 00:04:11.500]  正式承擔一個很清楚的使命,
[00:04:11.500 --> 00:04:14.500]  就是說很多年前,
[00:04:14.500 --> 00:04:20.500]  當神差遣摩西來跟法老講數的時候,
[00:04:20.500 --> 00:04:23.500]  如果你看回聖經是這樣的,
[00:04:23.500 --> 00:04:28.500]  以色列人是阿伯拉罕的後裔,
[00:04:28.500 --> 00:04:34.500]  神的好朋友阿伯拉罕是一個完全依靠神的人,
[00:04:34.500 --> 00:04:38.500]  所以神就說,將來你會子孫很多,
[00:04:38.500 --> 00:04:43.500]  好到好像天上的星,地上的沙這麼多,
[00:04:43.500 --> 00:04:45.500]  天上的星很多,
[00:04:45.500 --> 00:04:49.500]  但整個是說聽聽看,
[00:04:49.500 --> 00:04:51.500]  如果你有電視看,
[00:04:51.500 --> 00:04:53.500]  national geographic,
[00:04:53.500 --> 00:04:55.500]  經常有太空的東西看,
[00:04:55.500 --> 00:04:57.500]  嚇得你腳軟,
[00:04:57.500 --> 00:05:00.500]  隨便人類厲害一點,
[00:05:00.500 --> 00:05:05.500]  那些儀器也好,人造衛星也好,太空鏡也好,
[00:05:05.500 --> 00:05:08.500]  看遠一點,
[00:05:08.500 --> 00:05:11.500]  那些星多到嚇死你,
[00:05:11.500 --> 00:05:13.500]  多到沒理由這麼多,
[00:05:13.500 --> 00:05:15.500]  不過就是這麼多,
[00:05:15.500 --> 00:05:18.500]  如果去沙灘就知道有三十多,
[00:05:18.500 --> 00:05:19.500]  當然不知道,
[00:05:19.500 --> 00:05:20.500]  只有一個多字,
[00:05:20.500 --> 00:05:23.500]  神對阿伯拉罕答應他,
[00:05:23.500 --> 00:05:25.500]  第一,因為你敬畏我,
[00:05:25.500 --> 00:05:27.500]  我眷顧你很多子孫,
[00:05:27.500 --> 00:05:31.500]  用詞,不過是一個恩典的描繪,
[00:05:31.500 --> 00:05:34.500]  好像天上的星,地上的沙,
[00:05:34.500 --> 00:05:37.500]  第二,不單是這樣,
[00:05:37.500 --> 00:05:42.500]  我答應你,你的後裔成為一個大民族,
[00:05:42.500 --> 00:05:45.500]  我做他們的爸爸,
[00:05:45.500 --> 00:05:48.500]  我愛他們愛到底,
[00:05:48.500 --> 00:05:52.500]  我顧他們,顧得很周全,
[00:05:52.500 --> 00:05:56.500]  我保護他們,我領導他們,
[00:05:56.500 --> 00:05:58.500]  有時他們不太妥當,
[00:05:58.500 --> 00:06:00.500]  都說這班人不乖,
[00:06:00.500 --> 00:06:03.500]  我隨便摑兩巴掌,
[00:06:03.500 --> 00:06:05.500]  親就親到足,
[00:06:05.500 --> 00:06:07.500]  所以阿伯拉罕,你的後裔,
[00:06:07.500 --> 00:06:12.500]  以色列人,世世代代我都要祝福他,
[00:06:12.500 --> 00:06:13.500]  所以那就是第一集,
[00:06:13.500 --> 00:06:15.500]  阿伯拉罕的後裔,以色列人,
[00:06:15.500 --> 00:06:17.500]  誰知過了不久,
[00:06:17.500 --> 00:06:19.500]  阿伯拉罕生以撒,
[00:06:19.500 --> 00:06:21.500]  以撒生雅各,
[00:06:21.500 --> 00:06:25.500]  雅各的後裔,
[00:06:25.500 --> 00:06:28.500]  他們去到埃及地,
[00:06:28.500 --> 00:06:31.500]  一代一代去到埃及地,
[00:06:31.500 --> 00:06:33.500]  去了四百年,
[00:06:33.500 --> 00:06:37.500]  到最後他們忘記了神,
[00:06:37.500 --> 00:06:40.500]  連神的名字都不認得,
[00:06:40.500 --> 00:06:43.500]  於是他們很痛苦的時候,
[00:06:43.500 --> 00:06:45.500]  人窮得呼天,
[00:06:45.500 --> 00:06:47.500]  以色列人都不例外,
[00:06:47.500 --> 00:06:49.500]  他們很慘,
[00:06:49.500 --> 00:06:52.500]  慘到不得了,因為做奴隸是慘的,
[00:06:52.500 --> 00:06:54.500]  沒有自由是慘的,
[00:06:54.500 --> 00:06:56.500]  沒有尊嚴是慘的,
[00:06:56.500 --> 00:06:58.500]  所以他們找神,
[00:06:58.500 --> 00:07:01.500]  但淒涼了,找神拜都不知如何,
[00:07:01.500 --> 00:07:03.500]  因為知道那套是不靈的,
[00:07:03.500 --> 00:07:07.500]  知道的了,假神怎會靈,
[00:07:07.500 --> 00:07:10.500]  有些多數是假,多數不靈,
[00:07:10.500 --> 00:07:12.500]  可能有些都靈,
[00:07:12.500 --> 00:07:16.500]  不過埃及人拜那些靈的神,
[00:07:16.500 --> 00:07:19.500]  我們希伯來多偉大都不要拜他,
[00:07:19.500 --> 00:07:21.500]  因為他靈七黑我們,
[00:07:21.500 --> 00:07:24.500]  埃及那些神應該都幾靈,
[00:07:24.500 --> 00:07:26.500]  有些是靈的,
