
[00:00:00.000 --> 00:00:07.000]  感謝神!今晚有李翠芝姑娘在我們當中傳講神的話語,
[00:00:07.000 --> 00:00:11.000]  她的講題是「盡我所獻」。
[00:00:11.000 --> 00:00:23.000]  相關經文記載於《約翰福音》十二章一至十一節,
[00:00:23.000 --> 00:00:27.000]  記載於新約一百六十一頁。
[00:00:27.000 --> 00:00:34.000]  《約翰福音》十二章第一節,
[00:00:34.000 --> 00:00:40.000]  預熱節前六天,耶穌來到伯大利,
[00:00:40.000 --> 00:00:45.000]  就是他使拉撒路從死人中復活的地方。
[00:00:45.000 --> 00:00:50.000]  有人在那裡為耶穌預備現席,
[00:00:50.000 --> 00:00:56.000]  馬大事後,拉撒路也在和耶穌坐席的人中間。
[00:00:56.000 --> 00:01:01.000]  瑪利亞拿著一斤極貴的純拿白香膏,
[00:01:01.000 --> 00:01:06.000]  抹耶穌的腳,又用自己頭髮去擦,
[00:01:06.000 --> 00:01:09.000]  屋裡充滿了高的香氣。
[00:01:09.000 --> 00:01:17.000]  有一個門徒,就是那將要出賣耶穌的加略人猶大,雪。
[00:01:17.000 --> 00:01:23.000]  為什麼不把這香膏賣三百個銀幣去周濟同仁呢?
[00:01:23.000 --> 00:01:28.000]  他說的話,並不是關心窮人,
[00:01:28.000 --> 00:01:36.000]  而是因為他是個賊,又管錢囊,常偷取錢囊中所存的。
[00:01:36.000 --> 00:01:40.000]  耶穌說:由他吧!
[00:01:40.000 --> 00:01:45.000]  他這香膏,本是為我的安葬之日留著的,
[00:01:45.000 --> 00:01:49.000]  因為常有窮人和你們在一起,
[00:01:49.000 --> 00:01:53.000]  但是你們不常有我。
[00:01:53.000 --> 00:01:59.000]  有一大群猶太人,知道耶穌在那裡,就來了。
[00:01:59.000 --> 00:02:02.000]  不但是為耶穌的緣故,
[00:02:02.000 --> 00:02:08.000]  也是要看耶穌使他從死人中復活的拉撒路。
[00:02:08.000 --> 00:02:15.000]  於是,眾濟師長商議連拉撒路也要殺了,
[00:02:15.000 --> 00:02:20.000]  因為有許多猶太人為了拉撒路的緣故,
[00:02:20.000 --> 00:02:24.000]  開始背離他們,信了耶穌。
[00:02:24.000 --> 00:02:31.000]  將以下時間交給李翠姿姑娘,盡我所獻。
[00:02:39.000 --> 00:02:45.000]  各位晚安!請問後面聽到我的聲音嗎?可以吧?
[00:02:45.000 --> 00:02:50.000]  我們一起禱告吧!
