
[00:00:00.000 --> 00:00:03.720]  他所賜的有仕徒
[00:00:03.720 --> 00:00:05.320]  有先知
[00:00:05.320 --> 00:00:07.000]  有傳福音的
[00:00:07.000 --> 00:00:09.840]  有牧者和教師
[00:00:09.840 --> 00:00:11.840]  為要裝備聖徒
[00:00:11.840 --> 00:00:14.400]  做侍奉的工作
[00:00:14.400 --> 00:00:17.960]  建立基督的身體
[00:00:17.960 --> 00:00:22.880]  直等到我們眾人在信仰上同歸於一
[00:00:22.880 --> 00:00:25.040]  認識神的兒子
[00:00:25.040 --> 00:00:27.200]  得以長大成人
[00:00:27.200 --> 00:00:32.840]  達到基督完全長成的新娘
[00:00:32.840 --> 00:00:36.720]  這樣我們不再作小孩子
[00:00:36.720 --> 00:00:40.680]  中了人的詭計和欺騙的法術
[00:00:40.680 --> 00:00:43.280]  被一切邪說之風搖動
[00:00:43.280 --> 00:00:45.880]  飄來飄去
[00:00:45.880 --> 00:00:50.280]  我們反而要用愛心說誠實話
[00:00:50.280 --> 00:00:53.000]  各方面向著基督
[00:00:53.000 --> 00:00:55.000]  長進
[00:00:55.000 --> 00:00:57.920]  憐於元首基督
[00:00:57.920 --> 00:01:00.240]  靠著他全身
[00:01:00.240 --> 00:01:02.680]  都連接得緊湊
[00:01:02.680 --> 00:01:05.320]  百折各按各職
[00:01:05.320 --> 00:01:07.840]  照著各體的功用
[00:01:07.840 --> 00:01:09.760]  彼此相助
[00:01:09.760 --> 00:01:12.360]  使身體漸漸增長
[00:01:12.360 --> 00:01:15.200]  在愛中建立自己
[00:01:15.200 --> 00:01:16.560]  獨經完畢
[00:01:16.560 --> 00:01:17.160]  感謝神
[00:01:17.160 --> 00:01:20.960]  今次晚上有國雄彪牧師在我們中間靜悟
[00:01:20.960 --> 00:01:24.280]  國牧師是本堂的義務傳導
[00:01:24.280 --> 00:01:27.040]  他今晚的講題是
[00:01:27.040 --> 00:01:30.480]  「教會根深港道系列五」
[00:01:30.480 --> 00:01:34.440]  「教會五重即是的思考」
[00:01:34.440 --> 00:01:36.440]  現在恭請國牧師
[00:01:36.440 --> 00:01:37.240]  好
[00:01:37.240 --> 00:01:43.040]  (國語)
[00:01:43.040 --> 00:01:45.040]  我們一起同心祈禱
[00:01:45.040 --> 00:01:48.160]  親愛的天父上帝我們向祢禱告
[00:01:48.160 --> 00:01:51.240]  願祢自己的靈在我們心裏運行
[00:01:51.240 --> 00:01:53.240]  當我們去敬拜祢的時候
[00:01:53.240 --> 00:01:55.040]  祢是在我們中間
