
[00:00:00.000 --> 00:00:20.000]  《新約》第117頁
[00:00:21.000 --> 00:00:25.000]  《路加福音》第十四章二十五至三十三節
[00:00:25.000 --> 00:00:28.000]  講道之先,請先聽我讀出經文
[00:00:28.000 --> 00:00:33.000]  由一大群人和耶穌同行,他轉過來對他們說:
[00:00:33.000 --> 00:00:38.000]  無論什麼人到我這裡來,若不愛我,
[00:00:38.000 --> 00:00:44.000]  竟勝過愛自己的父母、妻子、兒女、兄弟、姐妹,
[00:00:44.000 --> 00:00:48.000]  甚至自己的性命,就不能作我的門徒。
[00:00:48.000 --> 00:00:54.000]  凡不背著自己的十字架來跟從我的,也不能作我的門徒。
[00:00:54.000 --> 00:00:59.000]  你們那一個要蓋一座樓,不先坐下來計算費用,
[00:00:59.000 --> 00:01:04.000]  看能不能蓋成,免得安了地基,不能蓋成。
[00:01:04.000 --> 00:01:07.000]  看見的人都笑話他說:
[00:01:07.000 --> 00:01:11.000]  這個人開了工,卻不能完工。
[00:01:11.000 --> 00:01:13.000]  第三十一節
[00:01:13.000 --> 00:01:17.000]  或是一個王,出去和別的王打仗,
[00:01:17.000 --> 00:01:22.000]  豈不先坐下來著諒,他能不能用一萬兵
[00:01:22.000 --> 00:01:26.000]  去抵抗那令二萬兵來攻打他的嗎?
[00:01:26.000 --> 00:01:33.000]  若是不能,他就趁敵人還原的時候,派使者去談和平的條件。
[00:01:33.000 --> 00:01:38.000]  這樣,你們無論什麼人,若不撇下一切所有的,
[00:01:38.000 --> 00:01:40.000]  就不能作我的門徒。
[00:01:40.000 --> 00:01:43.000]  經文獨筆,將時間交給周博士。
[00:01:43.000 --> 00:01:53.000]  (主席)請我們同心祈禱。
[00:01:53.000 --> 00:01:58.000]  耶穌基督,我們宣認你是全地的主。
[00:01:58.000 --> 00:02:04.000]  我們懇求你在我們大家的心靈裏面,讓我們看到,
[00:02:04.000 --> 00:02:07.000]  唯有你才是永不改變。
[00:02:07.000 --> 00:02:10.000]  我們需要的是在我們的生活,經歷,
[00:02:10.000 --> 00:02:16.000]  你的同在,和你的王權在我們的心靈裏面。
[00:02:16.000 --> 00:02:21.000]  特別是這段聖經,耶穌基督你是很清楚向當時的門徒,
[00:02:21.000 --> 00:02:26.000]  跟隨的門徒,來作出呼籲,
[00:02:26.000 --> 00:02:29.000]  你比一切更加重要。
[00:02:29.000 --> 00:02:32.000]  我們知道,在我們整個人生,
[00:02:32.000 --> 00:02:36.000]  最難的,就是我們放不下我們所有,
[00:02:36.000 --> 00:02:38.000]  來看到你是最好。
[00:02:38.000 --> 00:02:41.000]  我們很盼望這段聖經成為我們大家一起,
[00:02:41.000 --> 00:02:46.000]  去追求的一個很重要的動力,和提醒。
[00:02:46.000 --> 00:02:49.000]  我們一起在你面前等候禱告,
