
[00:00:00.000 --> 00:00:05.480]  經文選擇在詩篇128篇1至6節
[00:00:05.480 --> 00:00:10.120]  凡敬畏耶和華進行他道的人有福了
[00:00:10.120 --> 00:00:12.360]  你要吃勞碌得來的
[00:00:12.360 --> 00:00:15.720]  你要享福凡事順利
[00:00:15.720 --> 00:00:18.200]  你妻子在你內室
[00:00:18.200 --> 00:00:20.920]  好像多結果子的葡萄樹
[00:00:20.920 --> 00:00:23.400]  你兒女圍繞你的卓子
[00:00:23.400 --> 00:00:25.320]  如同橄欖樹苗
[00:00:25.320 --> 00:00:29.720]  看!敬畏耶和華的人必要這樣蒙福
[00:00:29.720 --> 00:00:33.160]  願耶和華從此安置福給你
[00:00:33.160 --> 00:00:37.160]  願你一生一世看見耶路撒冷興旺
[00:00:37.160 --> 00:00:39.960]  願你看見你的子子孫孫
[00:00:39.960 --> 00:00:42.360]  願平安歸於子息列
[00:00:42.360 --> 00:00:44.360]  恭敬將時間交給陳雪
[00:00:44.360 --> 00:00:45.960]  各位姐妹早晨
[00:00:45.960 --> 00:00:47.160]  早安
[00:00:47.160 --> 00:00:49.800]  剛才的小朋友很可愛
[00:00:49.800 --> 00:00:53.560]  每一次在父親節或母親節
[00:00:53.560 --> 00:00:56.200]  小朋友出來獻唱的時候
[00:00:56.200 --> 00:01:01.320]  整個禮堂氣氛都完全不同
[00:01:01.320 --> 00:01:05.800]  最開心的不是小朋友有機會出來獻唱
[00:01:05.800 --> 00:01:10.280]  最開心的是家長在禮堂中
[00:01:10.280 --> 00:01:15.160]  看見自己的小朋友站在台前歌唱
[00:01:15.160 --> 00:01:18.200]  最興奮的是家長
[00:01:18.200 --> 00:01:23.080]  我想想為何家長會這麼興奮
[00:01:23.080 --> 00:01:28.200]  我相信是看見自己的小朋友成長
[00:01:28.200 --> 00:01:33.000]  從小時候開始到慢慢學會學行
[00:01:33.000 --> 00:01:38.920]  站在台前唱歌
[00:01:38.920 --> 00:01:41.240]  很有滿足感
[00:01:41.240 --> 00:01:45.960]  也想想將來小朋友會怎樣
[00:01:45.960 --> 00:01:49.400]  長大後會否成為其中一個領相
[00:01:49.400 --> 00:01:51.560]  或負責彈琴
[00:01:51.560 --> 00:01:57.480]  甚至長大後站在台前講道
[00:01:57.480 --> 00:02:03.240]  可能對自己的小朋友有很多想法
[00:02:03.240 --> 00:02:06.200]  每次在母親節或父親節
[00:02:06.200 --> 00:02:08.360]  小朋友獻唱時
[00:02:08.360 --> 00:02:11.960]  一幅一幅很美的圖畫就出現
[00:02:11.960 --> 00:02:14.280]  在《聖經》中
[00:02:14.280 --> 00:02:17.240]  有很多地方形容家庭時
[00:02:17.240 --> 00:02:23.640]  都會用樹木或植物來形容家庭
[00:02:23.640 --> 00:02:27.000]  剛才主席讀的128篇
[00:02:27.000 --> 00:02:29.240]  是其中一篇
[00:02:29.240 --> 00:02:36.440]  當中用葡萄和橄欖樹作為比喻
[00:02:36.440 --> 00:02:41.240]  比喻夢幅家庭中的妻子
[00:02:41.240 --> 00:02:44.440]  兒女是怎樣的
[00:02:44.440 --> 00:02:48.440]  葡萄和橄欖
[00:02:48.440 --> 00:02:51.960]  希伯來人認為
[00:02:51.960 --> 00:02:57.560]  這兩種水果是世界上最好的水果
[00:02:57.560 --> 00:02:59.960]  最有用的水果
[00:02:59.960 --> 00:03:02.760]  所以他又再將這兩種水果
[00:03:02.760 --> 00:03:04.360]  來形容妻子
[00:03:04.360 --> 00:03:06.360]  形容兒女
[00:03:06.360 --> 00:03:13.880]  當家庭中有多結果子的葡萄樹妻子
[00:03:13.880 --> 00:03:21.400]  又或是橄欖苗中心的可愛兒女時
[00:03:21.400 --> 00:03:25.080]  人生擁有這東西時
[00:03:25.080 --> 00:03:28.840]  是世界上很大的福氣
[00:03:28.840 --> 00:03:32.680]  我們先看葡萄
[00:03:32.680 --> 00:03:38.840]  我們先看葡萄
[00:03:38.840 --> 00:03:43.320]  每顆都很結實
[00:03:43.320 --> 00:03:47.400]  每顆都好像很多汁
[00:03:47.400 --> 00:03:50.920]  再看這幅,我很喜歡這幅
[00:03:50.920 --> 00:03:52.920]  當你看下去時
[00:03:52.920 --> 00:03:55.160]  你就很開心
[00:03:55.160 --> 00:03:57.480]  有沒有口水流出來
[00:03:57.480 --> 00:03:59.480]  很想吃
[00:03:59.480 --> 00:04:01.480]  我剛才跟Mingo說
