
[00:00:00.000 --> 00:00:04.220]  好,弟兄姊妹,我們一邊等一邊開始祈禱
[00:00:04.220 --> 00:00:07.740]  多謝主讓我們能夠在晚上星期五
[00:00:07.740 --> 00:00:11.240]  我們可以來到這裡,又去研讀神的話語
[00:00:11.240 --> 00:00:14.780]  我們一邊看阿伯拉罕
[00:00:14.780 --> 00:00:20.940]  我們今晚也會看他的結束和以撒、瓦國
[00:00:20.940 --> 00:00:24.440]  和以素這個家族
[00:00:24.440 --> 00:00:27.040]  幫助我們能夠對聖經的人物
[00:00:27.040 --> 00:00:31.300]  特別是古代的神英許的人物
[00:00:31.300 --> 00:00:35.060]  我們能夠有認識對於他們的人生
[00:00:35.060 --> 00:00:37.420]  他們是怎樣跟隨主
[00:00:37.420 --> 00:00:39.920]  都讓我們能夠明白
[00:00:39.920 --> 00:00:42.620]  也在我們自己現在的時代
[00:00:42.620 --> 00:00:47.100]  我們的跟隨都能夠合乎主的心意
[00:00:47.100 --> 00:00:49.500]  求祢帶領我們晚上的時間
[00:00:49.500 --> 00:00:52.500]  賜給我們足夠的身體、心靈的力量
[00:00:52.500 --> 00:00:56.400]  和能夠對聖經的明白、了解
[00:00:56.400 --> 00:00:58.720]  我們一起在祢面前等候禱告
[00:00:58.720 --> 00:01:01.920]  奉耶穌基督的名,阿們
[00:01:01.920 --> 00:01:03.920]  好
[00:01:03.920 --> 00:01:05.920]  有沒有什麼要特別的事情?Jason
[00:01:05.920 --> 00:01:07.920]  現在是直播中,是吧?
[00:01:07.920 --> 00:01:11.920]  現在正在上去,應該可以了
[00:01:11.920 --> 00:01:13.920]  好啊,好啊,好啊
[00:01:13.920 --> 00:01:15.920]  好,謝謝
[00:01:15.920 --> 00:01:19.280]  弟兄姊妹,到時如果你們方便的
[00:01:19.280 --> 00:01:22.080]  有些人可能是用Facebook的,那就用Facebook吧
[00:01:22.080 --> 00:01:24.080]  現在用Zoom就沒問題的
[00:01:24.080 --> 00:01:28.400]  好,我們繼續回到25章的經文
[00:01:28.400 --> 00:01:34.160]  上個星期漏了一段聖經跟大家看一看
[00:01:34.160 --> 00:01:37.520]  就是24章那裡說
[00:01:37.520 --> 00:01:44.800]  拉班和他的父親彼土利
[00:01:44.800 --> 00:01:48.240]  替他的女兒利伯加來祝福
[00:01:48.240 --> 00:01:51.280]  就是24章的60節這一段
[00:01:51.280 --> 00:01:54.320]  我回去找回那些經文
[00:01:54.320 --> 00:01:58.720]  曾經哪裡似曾相識出現過呢?
[00:01:58.720 --> 00:02:00.720]  24章我們先看看
[00:02:00.720 --> 00:02:05.840]  或者可能讀多一點點
[00:02:05.840 --> 00:02:11.680]  就是利伯加願意去迦南地
[00:02:11.680 --> 00:02:14.640]  嫁給這位爾薩
[00:02:14.640 --> 00:02:17.520]  第55節
[00:02:17.520 --> 00:02:20.720]  利伯加的哥哥和他母親說
[00:02:20.720 --> 00:02:25.200]  讓女子和我們再住幾天,至少十天
[00:02:25.200 --> 00:02:27.200]  然後她可以去
[00:02:27.200 --> 00:02:31.200]  僕人說:耶和華既次給我通達的道路
[00:02:31.200 --> 00:02:33.200]  你們不要耽誤我
