
[00:00:00.000 --> 00:00:02.520]  我們一起有簡單禱告
[00:00:02.520 --> 00:00:05.200]  再一次我們多謝主
[00:00:05.200 --> 00:00:07.880]  招聚我們能夠在晚上
[00:00:07.880 --> 00:00:10.960]  我們可以安靜地在家中
[00:00:10.960 --> 00:00:14.520]  去研讀聖經的約翰福音
[00:00:14.520 --> 00:00:18.520]  我們真的很盼望上主來藉著聖靈
[00:00:18.520 --> 00:00:20.520]  教導我們明白
[00:00:20.520 --> 00:00:23.120]  我們能夠仔細地去看
[00:00:23.120 --> 00:00:27.480]  關於約翰一直對耶穌基督的介紹
[00:00:27.480 --> 00:00:29.120]  那個描述
[00:00:29.120 --> 00:00:34.120]  讓初期教會的聽眾或者讀者
[00:00:34.120 --> 00:00:36.120]  他們能夠掌握
[00:00:36.120 --> 00:00:39.120]  到底耶穌在那個時代
[00:00:39.120 --> 00:00:42.120]  是一位怎樣的人子
[00:00:42.120 --> 00:00:45.120]  和約翰所要帶出的
[00:00:45.120 --> 00:00:47.120]  很重要的就是
[00:00:47.120 --> 00:00:49.120]  這一位是神的兒子
[00:00:49.120 --> 00:00:50.120]  是基督
[00:00:50.120 --> 00:00:53.120]  求主帶領我們在21世紀
[00:00:53.120 --> 00:00:55.120]  我們都能夠明白
[00:00:55.120 --> 00:00:58.120]  經文有些是其實很多年
[00:00:58.120 --> 00:01:02.120]  很多世紀都有傳講過
[00:01:02.120 --> 00:01:04.120]  但我們很盼望能夠
[00:01:04.120 --> 00:01:06.120]  真的很深入地掌握
[00:01:06.120 --> 00:01:08.120]  以致我們一路去看的時候
[00:01:08.120 --> 00:01:11.120]  是一路受約翰的引導
[00:01:11.120 --> 00:01:13.120]  在上下文的釋經裏
[00:01:13.120 --> 00:01:15.120]  能夠掌握得更加清楚
[00:01:15.120 --> 00:01:17.120]  我們這樣禱告
[00:01:17.120 --> 00:01:19.120]  奉耶穌基督的名
[00:01:19.120 --> 00:01:20.120]  阿們
[00:01:20.120 --> 00:01:24.120]  不經不覺今晚已經是第20堂了
[00:01:24.120 --> 00:01:27.920]  因為我看Yoyo幫我做的錄音的記錄
[00:01:27.920 --> 00:01:30.920]  但是如果你心水清
[00:01:30.920 --> 00:01:32.920]  我們來到第11章
[00:01:32.920 --> 00:01:34.920]  當然我們講得慢
[00:01:34.920 --> 00:01:36.120]  我們來到第11章
[00:01:36.120 --> 00:01:39.120]  其實是耶穌第三次上耶路撒冷
[00:01:39.120 --> 00:01:41.120]  就是那個第三次
[00:01:41.120 --> 00:01:43.120]  最後一次的逾越節
[00:01:43.120 --> 00:01:45.120]  也是在逾越節
[00:01:45.120 --> 00:01:47.120]  來到去殉道
[00:01:47.120 --> 00:01:49.120]  來到去被殺
[00:01:49.120 --> 00:01:52.120]  但是我們還有11章聖經未講
[00:01:52.120 --> 00:01:54.120]  你就可想而知
[00:01:54.120 --> 00:01:55.120]  就算我們怎樣慢
[00:01:55.120 --> 00:01:56.120]  怎樣快都好
[00:01:56.120 --> 00:01:58.120]  作者的鋪排
[00:01:58.120 --> 00:02:01.120]  他是特別強調
[00:02:01.120 --> 00:02:04.120]  在這個受難週裏面
[00:02:04.120 --> 00:02:07.120]  而且受難週他只是講了一件事
[00:02:07.120 --> 00:02:09.120]  就是這個獻香膏
[00:02:09.120 --> 00:02:14.120]  和上去騎著驢車上耶路撒冷
[00:02:14.120 --> 00:02:18.120]  然後就是13章的最後晚餐
[00:02:18.120 --> 00:02:21.120]  那幾個小時發生的事
[00:02:21.120 --> 00:02:23.120]  而且作者約翰
[00:02:23.120 --> 00:02:25.120]  是用一些耶穌的教訓
[00:02:25.120 --> 00:02:29.120]  和他很內圍的12個門徒
[00:02:29.120 --> 00:02:31.120]  後來在半夜
[00:02:31.120 --> 00:02:33.120]  猶大就離開退席
[00:02:33.120 --> 00:02:36.120]  繼續和11個門徒講
[00:02:36.120 --> 00:02:40.120]  接著就帶他們去吸倫溪
[00:02:40.120 --> 00:02:43.120]  去到這個赫西瑪利園禱告
[00:02:43.120 --> 00:02:45.120]  所以由13章開始
[00:02:45.120 --> 00:02:48.120]  就一直延展到19章
[00:02:48.120 --> 00:02:50.120]  那個受審
[00:02:50.120 --> 00:02:52.120]  就是最後那幾個小時
[00:02:52.120 --> 00:02:53.120]  你可以想而知
[00:02:53.120 --> 00:02:56.120]  作者約翰有很多耶穌的言論
[00:02:56.120 --> 00:02:58.120]  要教導我們
[00:02:58.120 --> 00:03:01.120]  所以從約翰福音
