
[00:00:00.000 --> 00:00:01.600]  天父我們很感謝你
[00:00:01.600 --> 00:00:04.560]  今天晚上我們再一次有機會
[00:00:04.560 --> 00:00:06.280]  去研讀神的話
[00:00:06.280 --> 00:00:08.000]  打開神的聖經
[00:00:08.000 --> 00:00:10.960]  一同認真地思考
[00:00:10.960 --> 00:00:12.080]  去探索
[00:00:12.080 --> 00:00:14.080]  幫助我們能夠明白
[00:00:14.080 --> 00:00:16.280]  更加在我們的應用上
[00:00:16.280 --> 00:00:19.040]  生活上能夠將神的話語
[00:00:19.040 --> 00:00:21.200]  好好地活用
[00:00:21.200 --> 00:00:22.400]  求主幫助
[00:00:22.400 --> 00:00:24.480]  帶領我們大家的心靈
[00:00:24.480 --> 00:00:27.560]  禱告奉耶穌基督的名
[00:00:27.560 --> 00:00:28.560]  阿們
[00:00:28.560 --> 00:00:29.560]  好
[00:00:30.280 --> 00:00:34.120]  上次應該是很快地將
[00:00:34.120 --> 00:00:38.520]  第四到第七章
[00:00:38.520 --> 00:00:40.920]  約季的事件
[00:00:40.920 --> 00:00:43.560]  作者是分得很仔細的
[00:00:43.560 --> 00:00:45.120]  一到第三章
[00:00:45.120 --> 00:00:48.720]  交代一個祭司的制度
[00:00:48.720 --> 00:00:50.720]  時司的制度
[00:00:50.720 --> 00:00:53.760]  那個不完全欠缺
[00:00:53.760 --> 00:00:58.240]  所以引進先知的制度
[00:00:58.240 --> 00:00:59.880]  不過一到第三章
[00:00:59.880 --> 00:01:02.640]  環繞著一個先知
[00:01:02.640 --> 00:01:04.640]  就是撒姆爾
[00:01:04.640 --> 00:01:06.640]  來講他的出生
[00:01:06.640 --> 00:01:08.640]  講他的成長
[00:01:08.640 --> 00:01:11.640]  講他一直的長大
[00:01:11.640 --> 00:01:13.640]  去到一個總結就是
[00:01:13.640 --> 00:01:14.920]  全個以色列
[00:01:14.920 --> 00:01:16.640]  由丹到別氏巴
[00:01:16.640 --> 00:01:19.320]  所有的以色列人都知道
[00:01:19.320 --> 00:01:22.200]  耶和華納了撒姆爾為先知
[00:01:22.200 --> 00:01:23.200]  記住
[00:01:23.200 --> 00:01:25.640]  他長大之後出來侍奉
[00:01:25.640 --> 00:01:27.440]  我們上個星期已經講過了
[00:01:27.440 --> 00:01:28.960]  四到第七章
[00:01:28.960 --> 00:01:32.080]  約季輾轉流落他鄉
[00:01:32.080 --> 00:01:33.520]  去到外邦
[00:01:33.520 --> 00:01:34.880]  去到敵人
[00:01:34.880 --> 00:01:38.760]  去到假神大菌的地方
[00:01:38.760 --> 00:01:39.600]  但是
[00:01:39.600 --> 00:01:41.800]  約季自己會保護自己的
[00:01:41.800 --> 00:01:45.560]  神會來保護他自己
[00:01:45.560 --> 00:01:47.360]  不需要人去擔心
[00:01:47.360 --> 00:01:49.240]  輾轉我們就知道
[00:01:49.240 --> 00:01:51.240]  回到這個
[00:01:51.240 --> 00:01:53.240]  回到這個時候
[00:01:53.240 --> 00:01:54.440]  在這個百事物
[00:01:54.440 --> 00:01:59.040]  出現了一個審判的事件
[00:01:59.040 --> 00:02:00.840]  因為百事物人
[00:02:00.840 --> 00:02:04.160]  擅自觀看神的約季
[00:02:04.160 --> 00:02:07.040]  沒有將神聖
[00:02:07.040 --> 00:02:09.840]  帶著敬畏的心靈
