
[00:00:00.000 --> 00:00:02.720]  今日敬道的經文是記載在
[00:00:02.720 --> 00:00:08.240]  《以賽亞書》第六章一至十三節
[00:00:08.240 --> 00:00:10.720]  「當烏西亞黃燈的那年
[00:00:10.720 --> 00:00:14.240]  我看見主坐在高高的寶座上
[00:00:14.240 --> 00:00:18.800]  他的衣裳下擺遮半聖殿
[00:00:18.800 --> 00:00:21.520]  上有撒拉弗士納
[00:00:21.520 --> 00:00:23.440]  各有六個翅膀
[00:00:23.440 --> 00:00:25.120]  兩個翅膀遮臉
[00:00:25.120 --> 00:00:27.040]  兩個翅膀遮腳
[00:00:27.040 --> 00:00:29.040]  兩個翅膀飛牆」
[00:00:29.040 --> 00:00:31.040]  彼此呼喊說
[00:00:31.040 --> 00:00:33.040]  「勝在勝在勝在
[00:00:33.040 --> 00:00:35.040]  萬軍之耶和華
[00:00:35.040 --> 00:00:37.040]  他的榮光遍滿全地」
[00:00:37.040 --> 00:00:39.040]  因呼喊者的聲音
[00:00:39.040 --> 00:00:43.040]  門衍的根基震動
[00:00:43.040 --> 00:00:45.040]  殿裡充滿了煙雲
[00:00:45.040 --> 00:00:47.040]  那時我說
[00:00:47.040 --> 00:00:49.040]  「何在我滅亡了
[00:00:49.040 --> 00:00:51.040]  因為我是嘴唇不潔的人
[00:00:51.040 --> 00:00:55.040]  住在嘴唇不潔的民眾
[00:00:55.040 --> 00:00:57.040]  由因我親眼看見
[00:00:57.040 --> 00:01:01.040]  大君王萬軍之耶和華
[00:01:01.040 --> 00:01:04.040]  有一撒拉弗向我飛來
[00:01:04.040 --> 00:01:07.040]  手裡拿著燒紅的炭
[00:01:07.040 --> 00:01:11.040]  是用火鉗從炭上取下來的
[00:01:11.040 --> 00:01:14.040]  用炭沾了我的口說
[00:01:14.040 --> 00:01:17.040]  漢娜,這炭沾了你的嘴唇
[00:01:17.040 --> 00:01:21.040]  你的罪孽便除掉
[00:01:21.040 --> 00:01:25.040]  你的罪孽就赦免了」
[00:01:25.040 --> 00:01:26.040]  第八節
[00:01:26.040 --> 00:01:29.040]  我聽見主的聲音說
[00:01:29.040 --> 00:01:31.040]  「我可以猜驗誰呢
[00:01:31.040 --> 00:01:34.040]  誰肯為我去呢」
[00:01:34.040 --> 00:01:35.040]  我說
[00:01:35.040 --> 00:01:39.040]  「我在這裡請猜驗我」
[00:01:39.040 --> 00:01:40.040]  他說
[00:01:40.040 --> 00:01:43.040]  「你去告訴這百姓說
[00:01:43.040 --> 00:01:47.040]  你們聽了又聽卻不明白
[00:01:47.040 --> 00:01:50.040]  看了又看卻不曉得
[00:01:50.040 --> 00:01:53.040]  要使這百姓心蒙猶知
[00:01:53.040 --> 00:01:56.040]  耳朵發沉,眼睛昏花
[00:01:56.040 --> 00:01:58.040]  恐怕他們眼睛看見
[00:01:58.040 --> 00:02:01.040]  耳朵聽見,心裡明白
[00:02:01.040 --> 00:02:04.040]  回轉過來,就得醫治」
[00:02:04.040 --> 00:02:05.040]  我就說
[00:02:05.040 --> 00:02:09.040]  「主啊,借到幾時為止呢」
[00:02:09.040 --> 00:02:10.040]  他說
[00:02:10.040 --> 00:02:15.040]  「借到城鎮荒涼,無人居住
[00:02:15.040 --> 00:02:17.040]  房屋空無一人
[00:02:17.040 --> 00:02:19.040]  土地極其荒蕪
[00:02:19.040 --> 00:02:22.040]  耶華將人遷到遠方
[00:02:22.040 --> 00:02:24.040]  國內被凋棄的土地很多
[00:02:24.040 --> 00:02:29.040]  國內剩下的人若還有十分之一
[00:02:29.040 --> 00:02:31.040]  也必被吞滅
[00:02:31.040 --> 00:02:34.040]  然而如同大樹與將樹
[00:02:34.040 --> 00:02:36.040]  雖然被砍伐
[00:02:36.040 --> 00:02:39.040]  殘肝卻乃存留
[00:02:39.040 --> 00:02:43.040]  聖潔的苗裔是他的殘肝」
[00:02:43.040 --> 00:02:44.040]  感謝神
[00:02:44.040 --> 00:02:47.040]  我們今天有本堂義務傳道
[00:02:47.040 --> 00:02:49.040]  葛洪錐牧師為我們靜悼
[00:02:49.040 --> 00:02:50.040]  他今天的講題是
[00:02:50.040 --> 00:02:52.040]  以賽雅蒙照
[00:02:52.040 --> 00:02:55.040]  現在將時間公見交給葛牧師
[00:02:55.040 --> 00:02:57.040]  我們一起同心祈禱
[00:02:57.040 --> 00:02:59.040]  我們親愛的天父上帝
[00:02:59.040 --> 00:03:02.040]  願祢得著當得的榮耀
[00:03:02.040 --> 00:03:05.040]  願祢的聖靈淋到我們的心裡
[00:03:05.040 --> 00:03:07.040]  開啟我們屬靈的眼睛
[00:03:07.040 --> 00:03:10.040]  明白你聖經裡華語的寶貴
[00:03:10.040 --> 00:03:12.040]  也賜給我們有能力
[00:03:12.040 --> 00:03:13.040]  給我們有勇氣
[00:03:13.040 --> 00:03:14.040]  有信心
[00:03:14.040 --> 00:03:16.040]  我們行在祢自己的旨意當中
[00:03:16.040 --> 00:03:18.040]  祈禱奉耶穌基督的名
[00:03:18.040 --> 00:03:19.040]  阿們
[00:03:20.040 --> 00:03:21.040]  感謝神恩典
[00:03:21.040 --> 00:03:24.040]  讓我和弟兄姊妹分享聖經的信息
[00:03:24.040 --> 00:03:27.040]  我今年是以《以賽雅書》
[00:03:27.040 --> 00:03:31.040]  第一到十二章為講道的重點
[00:03:31.040 --> 00:03:34.040]  有可能今年都講不完
[00:03:34.040 --> 00:03:39.040]  今天的經文是《以賽雅書》第六章
[00:03:39.040 --> 00:03:41.040]  我想很多弟兄姊妹對這段經文
[00:03:41.040 --> 00:03:44.040]  都有印象或者熟悉
[00:03:44.040 --> 00:03:49.040]  我自己就按照經文的結構
[00:03:49.040 --> 00:03:50.040]  分了三個部分
[00:03:50.040 --> 00:03:54.040]  第一個部分就是領受異象
[00:03:54.040 --> 00:03:57.040]  第二個部分就是被潔淨
[00:03:57.040 --> 00:03:58.040]  被差遣
[00:03:58.040 --> 00:04:00.040]  第三個部分
[00:04:00.040 --> 00:04:03.040]  也是我覺得這段經文最特別的部分
[00:04:03.040 --> 00:04:08.040]  就是一個沒有掌聲的使命
[00:04:08.040 --> 00:04:12.040]  我們看看第一個部分就是領受異象
[00:04:12.040 --> 00:04:14.040]  經文第一
[00:04:14.040 --> 00:04:17.040]  第六章第一節提到烏西瓦王
[00:04:17.040 --> 00:04:22.040]  我自己都會參考聖經的著色書
[00:04:22.040 --> 00:04:23.040]  這個烏西瓦王
[00:04:23.040 --> 00:04:27.040]  他說烏西瓦王崩那一年是甚麼時候
[00:04:27.040 --> 00:04:30.040]  烏西瓦王是在主前的七百九十二
[00:04:30.040 --> 00:04:34.040]  到七百四十年之間做皇帝
[00:04:34.040 --> 00:04:37.040]  當時我們叫做主前的八世紀
[00:04:37.040 --> 00:04:39.040]  在南邊猶大國的時間
[00:04:39.040 --> 00:04:44.040]  甚至在北邊都是他們國勢很鼎盛的時候
[00:04:44.040 --> 00:04:46.040]  即是大衛所羅門之後
[00:04:46.040 --> 00:04:50.040]  這個時候主前八世紀是他們國勢最好的
[00:04:50.040 --> 00:04:53.040]  各個地方的貿易都通過他們
[00:04:53.040 --> 00:04:55.040]  收了很多稅
[00:04:55.040 --> 00:04:57.040]  出產也不錯
[00:04:57.040 --> 00:05:01.040]  但是烏西瓦王晚年的時候就心高氣傲
[00:05:01.040 --> 00:05:04.040]  在聖殿裡面燒香拜偶像
[00:05:04.040 --> 00:05:07.040]  上帝令到他生大麻瘋
[00:05:07.040 --> 00:05:09.040]  他被迫退居幕後
[00:05:09.040 --> 00:05:12.040]  由他的兒子約譚
[00:05:12.040 --> 00:05:14.040]  跟他共同執政了十二年
[00:05:14.040 --> 00:05:16.040]  這些背景經文是沒有交代的
[00:05:16.040 --> 00:05:21.040]  但是我們可以在聖經著色書裡面可以看到
[00:05:21.040 --> 00:05:25.040]  雖然猶大國的國勢很興盛
[00:05:25.040 --> 00:05:30.040]  但是在政治、社會、道德和宗教上面
[00:05:30.040 --> 00:05:31.040]  是充滿罪惡的
[00:05:31.040 --> 00:05:33.040]  這些我們可以看回
[00:05:33.040 --> 00:05:35.040]  以賽亞書第五章二十節
[00:05:35.040 --> 00:05:39.040]  在一到五章是交代了當時猶大國的人
[00:05:39.040 --> 00:05:43.040]  他們的生活和他們的淑齡景況
[00:05:43.040 --> 00:05:45.040]  我鼓勵大家一邊聽講道理
[00:05:45.040 --> 00:05:47.040]  一邊打開聖經
[00:05:47.040 --> 00:05:49.040]  以賽亞書第六章
[00:05:49.040 --> 00:05:51.040]  因為我一節一節地講
[00:05:51.040 --> 00:05:54.040]  變成你可能會有得益也說不定
