
[00:00:00.000 --> 00:00:03.000]  題目是「你有你講」
[00:00:03.000 --> 00:00:07.000]  經文記載在提多書2章
[00:00:07.000 --> 00:00:11.000]  請聽我讀1至10節
[00:00:11.000 --> 00:00:16.000]  至於你,你所講的,總要合乎那健全的教導
[00:00:16.000 --> 00:00:21.000]  勸老人,勸老年人要有節制,端正,刻己
[00:00:21.000 --> 00:00:26.000]  在信心、愛心、內心上都要健全
[00:00:26.000 --> 00:00:31.000]  又要勸年長的婦女在操守上公正
[00:00:31.000 --> 00:00:37.000]  不說蠶言、不作酒的奴隸,用善道教導人
[00:00:37.000 --> 00:00:42.000]  好指教年輕的婦女愛丈夫、愛兒女
[00:00:42.000 --> 00:00:45.000]  刻己、貞潔、理家、善良
[00:00:45.000 --> 00:00:50.000]  信服自己的丈夫免得神的道被毀謗
[00:00:50.000 --> 00:00:54.000]  同樣要勸年輕人凡事刻己
[00:00:54.000 --> 00:00:58.000]  你要顯出自己是好行為的榜樣
[00:00:58.000 --> 00:01:02.000]  在教導上要正直、莊重
[00:01:02.000 --> 00:01:05.000]  言語健全無可指責
[00:01:05.000 --> 00:01:12.000]  使那反對的人因說不出我們有什麼不好而自覺周愧
[00:01:12.000 --> 00:01:15.000]  要勸獨人信服自己的主人
[00:01:15.000 --> 00:01:19.000]  凡是討他的喜悅不可頂撞他
[00:01:19.000 --> 00:01:22.000]  不可私藏、不可私藉財物
[00:01:22.000 --> 00:01:25.000]  要凡是顯出完美的忠誠
[00:01:25.000 --> 00:01:30.000]  好事事都能榮耀我們救主神的教導
[00:01:30.000 --> 00:01:32.000]  經文讀筆請吳傳徒
[00:01:32.000 --> 00:01:34.000]  (字幕:陳志全)
[00:01:34.000 --> 00:01:36.000]  (字幕:陳志全)
[00:01:37.000 --> 00:01:39.000]  (字幕:陳志全)
[00:01:40.000 --> 00:01:42.000]  各位A頂節目早安
[00:01:42.000 --> 00:01:44.000]  聽得清楚我後面那裡嗎?
[00:01:44.000 --> 00:01:46.000]  因為我不是很聽得清楚自己的聲音
[00:01:46.000 --> 00:01:49.000]  還有我今天有點狀態
[00:01:49.000 --> 00:01:51.000]  一個人有點不舒服
[00:01:51.000 --> 00:01:54.000]  不知道待會開始不知道自己說到哪裡
[00:01:54.000 --> 00:01:55.000]  不要緊的,OK
[00:01:55.000 --> 00:01:57.000]  我有跟稿讀
[00:01:57.000 --> 00:02:02.000]  一般我們稱提多書和提摩太前書
[00:02:02.000 --> 00:02:04.000]  我們叫他們做什麼?
[00:02:04.000 --> 00:02:05.000]  知不知道?
[00:02:05.000 --> 00:02:07.000]  教目書信
[00:02:07.000 --> 00:02:12.000]  教目書信顧名思義是寫給教目看的
[00:02:12.000 --> 00:02:16.000]  其實提多和提摩太都是保羅的助手
[00:02:16.000 --> 00:02:19.000]  他們都是一些目者
[00:02:19.000 --> 00:02:21.000]  保羅寫這些信給他們
[00:02:21.000 --> 00:02:24.000]  是作為一些教目上的提醒
[00:02:24.000 --> 00:02:26.000]  但問題來了
[00:02:26.000 --> 00:02:28.000]  一封教目的書信
[00:02:28.000 --> 00:02:31.000]  寫給提多、提摩太教他們怎麼做事
[00:02:31.000 --> 00:02:34.000]  為什麼會變成聖經?
[00:02:34.000 --> 00:02:38.000]  可能一個機構、一個公司的CEO
