
[00:00:00.000 --> 00:00:04.000]  各位錦繡堂的弟兄姊妹 主內平安
[00:00:04.000 --> 00:00:06.000]  很高興可以在這裡
[00:00:06.000 --> 00:00:09.000]  跟大家一起思想上帝的話語
[00:00:09.000 --> 00:00:11.000]  今天我來到這裡
[00:00:11.000 --> 00:00:14.000]  我選擇了很特別的
[00:00:14.000 --> 00:00:16.000]  不是選舊約 是選新約
[00:00:16.000 --> 00:00:20.000]  就是《馬賀福音》二章23至28節
[00:00:20.000 --> 00:00:23.000]  讓大家思想安息這個主題
[00:00:23.000 --> 00:00:28.000]  主要是因為剛剛自己放完安息年
[00:00:28.000 --> 00:00:30.000]  9月正式開工
[00:00:30.000 --> 00:00:33.000]  開工之後我對於安息這件事
[00:00:33.000 --> 00:00:35.000]  也有些領受
[00:00:35.000 --> 00:00:37.000]  很想跟大家一起分享
[00:00:37.000 --> 00:00:40.000]  我們一起有個祈禱作為開始
[00:00:40.000 --> 00:00:42.000]  慈悲人愛的天父
[00:00:42.000 --> 00:00:46.000]  你很想我們每一位的基督徒
[00:00:46.000 --> 00:00:47.000]  屬神的子女
[00:00:47.000 --> 00:00:50.000]  進入你為我們預備的安息
[00:00:50.000 --> 00:00:54.000]  我們身處在一個不容易的時代
[00:00:54.000 --> 00:00:58.000]  我們很多的新聞 裡面的消息
[00:00:58.000 --> 00:01:01.000]  都或多或少去到影響我們的心情
[00:01:01.000 --> 00:01:03.000]  或者我們的思緒
[00:01:03.000 --> 00:01:07.000]  主啊 你讓我們在眾多的聲音當中
[00:01:07.000 --> 00:01:10.000]  是能夠有時能夠跳出來
[00:01:10.000 --> 00:01:13.000]  看得到我們安息的理由在哪裡
[00:01:13.000 --> 00:01:16.000]  也幫助孩子宣講你的話語清楚
[00:01:16.000 --> 00:01:20.000]  我們同心謙卑地去到領受禱告
[00:01:20.000 --> 00:01:22.000]  是奉耶穌基督的名求
[00:01:22.000 --> 00:01:24.000]  阿們
[00:01:24.000 --> 00:01:28.000]  今天這段經文是耶穌基督的門徒
[00:01:28.000 --> 00:01:30.000]  做了一件事情
[00:01:30.000 --> 00:01:34.000]  當這個23節他就這樣提到
[00:01:34.000 --> 00:01:38.000]  就是說 耶穌當安息日從麥田
[00:01:38.000 --> 00:01:40.000]  麥地那裡經過
[00:01:40.000 --> 00:01:43.000]  他們的門徒走路的時候
[00:01:43.000 --> 00:01:46.000]  就撿了一些麥水
[00:01:46.000 --> 00:01:51.000]  當然那些法理賽人就挑戰那些門徒和耶穌
[00:01:51.000 --> 00:01:54.000]  你為什麼在安息日裡面
[00:01:54.000 --> 00:01:58.000]  做了律法不容許你做的那件事呢
[00:01:58.000 --> 00:02:02.000]  因而去到推展這段經文
[00:02:02.000 --> 00:02:03.000]  我們看到那個脈絡
[00:02:03.000 --> 00:02:06.000]  首先我們進行一些分析
[00:02:06.000 --> 00:02:09.000]  然後我就會和大家有些應用
[00:02:09.000 --> 00:02:12.000]  有些反思和提醒
[00:02:12.000 --> 00:02:15.000]  首先我們就看一看經文
[00:02:15.000 --> 00:02:18.000]  你就會問耶穌基督的門徒
[00:02:18.000 --> 00:02:22.000]  究竟在安息日裡面做了什麼事情
[00:02:22.000 --> 00:02:25.000]  當然我紅色highlight那裡
[00:02:25.000 --> 00:02:27.000]  其實他就做了兩個動作
[00:02:27.000 --> 00:02:31.000]  第一個就是在安息日那裡走路
[00:02:31.000 --> 00:02:35.000]  第二個就是在安息日那裡撿了麥水
[00:02:35.000 --> 00:02:37.000]  究竟那些法理賽人
[00:02:37.000 --> 00:02:41.000]  看到一群人做了這些行為
[00:02:41.000 --> 00:02:45.000]  究竟是不是真的違反了律法呢
