
[00:00:00.000 --> 00:00:05.840]  好,弟兄姊妹晚安,我們可以開始先一起祈禱
[00:00:05.840 --> 00:00:09.300]  多謝主再一次讓我們可以在星期五晚
[00:00:09.300 --> 00:00:12.500]  我們來到有機會去研讀聖經
[00:00:12.500 --> 00:00:14.900]  當我們打開聖經的時候
[00:00:14.900 --> 00:00:18.500]  雖然《創世紀》的經文都是一些古代
[00:00:18.500 --> 00:00:22.400]  上古裏面的一些族長
[00:00:22.400 --> 00:00:27.100]  跟隨主的在迦南地的領袖
[00:00:27.100 --> 00:00:30.600]  我們很盼望他們的人生的事蹟
[00:00:30.600 --> 00:00:35.600]  成為了我們今天去學校的一些榜樣
[00:00:35.600 --> 00:00:37.600]  特別是他們一些的原則
[00:00:37.600 --> 00:00:44.100]  成為我們大家今天面對在人生不同的片段
[00:00:44.100 --> 00:00:50.300]  我們來跟隨,幫助我們能夠明白同神的關係
[00:00:50.300 --> 00:00:52.600]  我們今天晚上在你面前等候
[00:00:52.600 --> 00:00:56.600]  禱告奉耶穌基督的名,阿們
[00:00:56.600 --> 00:01:01.600]  我們接續上一個禮拜,我們停了一次
[00:01:01.600 --> 00:01:05.600]  我們繼續會講瓦國的第三講
[00:01:05.600 --> 00:01:08.600]  就是他一個回歸迦南地的人生
[00:01:08.600 --> 00:01:11.600]  其實已經過了20年了
[00:01:11.600 --> 00:01:15.600]  上一次我們應該有少少印象
[00:01:15.600 --> 00:01:18.600]  就是講到那個比魯伊勒
[00:01:18.600 --> 00:01:21.600]  就是他在那個瓦博渡口
[00:01:21.600 --> 00:01:24.600]  跟神的使者摔跤
[00:01:24.600 --> 00:01:31.600]  最後就是他的大腿被那個人一摸就瘸腿
[00:01:31.600 --> 00:01:39.600]  所以雖然瓦國被他弄得殘廢了
[00:01:39.600 --> 00:01:43.600]  但是瓦國都抓住他不讓他走
[00:01:43.600 --> 00:01:46.600]  那時候開始天亮了,黎明了
[00:01:46.600 --> 00:01:48.600]  就要求他去祝福
[00:01:48.600 --> 00:01:54.600]  就由那個時候開始,32章結尾幫瓦國改名
[00:01:54.600 --> 00:01:57.600]  我們回頭看一看
[00:01:57.600 --> 00:02:01.600]  第32章的27節
[00:02:01.600 --> 00:02:04.600]  那人說:你名叫什麽?
[00:02:04.600 --> 00:02:06.600]  他說:我名叫瓦國
[00:02:06.600 --> 00:02:10.600]  那人說:你的名不要再叫瓦國
[00:02:10.600 --> 00:02:16.600]  要叫以色列,因為你與神、與人教力都得了勝
[00:02:16.600 --> 00:02:20.600]  這句都是可圈可點的
[00:02:20.600 --> 00:02:25.600]  因為他本來就是抓住
[00:02:25.600 --> 00:02:28.600]  在這個時候他就抓住了那個使者不讓他走
[00:02:28.600 --> 00:02:32.600]  好像他緊張的是屬天的祝福
[00:02:32.600 --> 00:02:36.600]  一直以來聖經給我們對瓦國的認識
[00:02:36.600 --> 00:02:39.600]  就是他很緊張神的事情
[00:02:39.600 --> 00:02:42.600]  很緊張神要賜給他的
[00:02:42.600 --> 00:02:44.600]  有些甚至乎不屬於他的
[00:02:44.600 --> 00:02:47.600]  例如那個長子的名分
[00:02:47.600 --> 00:02:50.600]  長子的祝福本來不是屬於他的
[00:02:50.600 --> 00:02:52.600]  但是他也要去得到
[00:02:52.600 --> 00:02:55.600]  當然神的預言
[00:02:55.600 --> 00:02:58.600]  神的那個揀選和計劃
[00:02:58.600 --> 00:03:01.600]  早就已經預定了
[00:03:01.600 --> 00:03:06.600]  將來大的耳塞要服侍小的瓦國
[00:03:06.600 --> 00:03:10.600]  但是瓦國要自己抓緊這些的應許
[00:03:10.600 --> 00:03:16.600]  很諷刺地瓦國不斷去抓緊
[00:03:16.600 --> 00:03:21.600]  現在就說到他把握著摔跤的機會
[00:03:21.600 --> 00:03:24.600]  抓緊那個人不讓他走
[00:03:24.600 --> 00:03:26.600]  所以這個人就幫他祝福
[00:03:26.600 --> 00:03:28.600]  第29節
[00:03:28.600 --> 00:03:32.600]  瓦國問他說請將你的名告訴我
[00:03:32.600 --> 00:03:35.600]  那人說何必問我的名
[00:03:35.600 --> 00:03:38.600]  於是在那裡給瓦國祝福
[00:03:38.600 --> 00:03:41.600]  瓦國便給那地方起名叫比魯伊勒
[00:03:41.600 --> 00:03:43.600]  就是神的面
[00:03:43.600 --> 00:03:45.600]  即是說他見到神的面的意思
[00:03:45.600 --> 00:03:48.600]  意思說我面對面見了神
[00:03:48.600 --> 00:03:51.600]  我的性命仍得保存
[00:03:51.600 --> 00:03:54.600]  日頭剛出來的時候
[00:03:54.600 --> 00:03:56.600]  瓦國經過比魯伊勒
[00:03:56.600 --> 00:03:59.600]  他的大腿就瘸了
[00:03:59.600 --> 00:04:03.600]  故此以色列人不吃大腿窩的筋
[00:04:03.600 --> 00:04:04.600]  直到今天
[00:04:04.600 --> 00:04:08.600]  因為那人摸了瓦國大腿窩的筋
[00:04:08.600 --> 00:04:12.600]  即是說寫書的人多數是摩西
[00:04:12.600 --> 00:04:15.600]  他們到了後代
[00:04:15.600 --> 00:04:17.600]  紀念先祖的時候
[00:04:17.600 --> 00:04:18.600]  他們都有一個習俗
[00:04:18.600 --> 00:04:23.600]  就是不會吃那些動物的大腿窩的筋
[00:04:23.600 --> 00:04:28.600]  即是牛筋類似那些
[00:04:28.600 --> 00:04:31.600]  這是一個禁忌
[00:04:31.600 --> 00:04:33.600]  因為很明顯
[00:04:33.600 --> 00:04:35.600]  瓦國由這一次開始
[00:04:35.600 --> 00:04:37.600]  他就不良於行
[00:04:37.600 --> 00:04:41.600]  他就要用拐杖來行路
[00:04:41.600 --> 00:04:44.600]  但這個又是明顯有記號
[00:04:44.600 --> 00:04:46.600]  好像他要停頓下來
[00:04:46.600 --> 00:04:48.600]  什麼都要慢下來
[00:04:48.600 --> 00:04:50.600]  好像神給他一個記號
[00:04:50.600 --> 00:04:51.600]  你遇見神
[00:04:51.600 --> 00:04:53.600]  本來你應該死的
[00:04:53.600 --> 00:04:56.600]  但現在你能夠見到神的面
[00:04:56.600 --> 00:05:01.600]  一個很明顯的證據
[00:05:01.600 --> 00:05:04.600]  神要瓦國學習
[00:05:04.600 --> 00:05:06.600]  要慢下來
[00:05:06.600 --> 00:05:08.600]  停下來
[00:05:08.600 --> 00:05:12.600]  去經歷神在他生命裏面的模樣
[00:05:12.600 --> 00:05:14.600]  他過去的二十年
[00:05:14.600 --> 00:05:16.600]  都是用他很多的辦法
[00:05:16.600 --> 00:05:20.600]  為自己抓住很多東西
[00:05:20.600 --> 00:05:22.600]  在這個時候
[00:05:22.600 --> 00:05:24.600]  他現在抓到的就是
[00:05:24.600 --> 00:05:30.600]  雖然物理上他的身體有殘缺
[00:05:30.600 --> 00:05:35.600]  但是他的生命從此不再一樣
[00:05:35.600 --> 00:05:38.600]  因為神賜他一個新的名字
