
[00:00:00.000 --> 00:00:07.000]  再一次我們感謝主,我們今天晚上可以查考啟示錄
[00:00:07.000 --> 00:00:11.000]  都讓我們能夠有系統去明白這一卷
[00:00:11.000 --> 00:00:16.000]  關乎到末後必要成的事情的書卷
[00:00:16.000 --> 00:00:19.000]  特別是關乎到審判的書卷
[00:00:19.000 --> 00:00:24.000]  讓我們能夠認識和帶著一個敬畏的心靈
[00:00:24.000 --> 00:00:27.000]  來到在神面前等候
[00:00:27.000 --> 00:00:30.000]  我們一起在你面前等候禱告
[00:00:30.000 --> 00:00:32.000]  求主垂聽和幫助
[00:00:32.000 --> 00:00:35.000]  加添我們心靈的力量
[00:00:35.000 --> 00:00:39.000]  也讓我們在查考的過程中
[00:00:39.000 --> 00:00:43.000]  能夠有不同的屬靈的觸覺
[00:00:43.000 --> 00:00:47.000]  可以有更多的深入的思想
[00:00:47.000 --> 00:00:49.000]  我們一起在你面前等候禱告
[00:00:49.000 --> 00:00:52.000]  奉耶穌基督的名,阿們
[00:00:52.000 --> 00:00:58.000]  好,除外短說,因為大家都知道次序
[00:00:58.000 --> 00:01:02.000]  有時我們會說聖經人物
[00:01:02.000 --> 00:01:05.000]  也會將啟示錄
[00:01:05.000 --> 00:01:11.000]  未必能夠很細緻、很深入去說
[00:01:11.000 --> 00:01:15.000]  但盡量每一章我們都碰一碰
[00:01:15.000 --> 00:01:19.000]  對了,我不說其他了
[00:01:19.000 --> 00:01:24.000]  本來說大衛的太太
[00:01:24.000 --> 00:01:27.000]  還有兩個上星期說了
[00:01:27.000 --> 00:01:29.000]  不過也不要說了
[00:01:29.000 --> 00:01:33.000]  因為兩次連續聖經人物
[00:01:33.000 --> 00:01:36.000]  我們下一次有機會再說
[00:01:36.000 --> 00:01:42.000]  我們要回看第二章的七教會
[00:01:42.000 --> 00:01:46.000]  就是神透過約翰
[00:01:46.000 --> 00:01:52.000]  來發信給當時約翰時代的七個教會
[00:01:52.000 --> 00:01:55.000]  大家都會看到是一個書信的格式
[00:01:55.000 --> 00:01:58.000]  而且是相當工整的格式
[00:01:58.000 --> 00:02:06.000]  例如會說當時教會的問題
[00:02:06.000 --> 00:02:11.000]  盡量就教會發生的事情來說
[00:02:11.000 --> 00:02:14.000]  還有他們會有什麼危機
