
[00:00:00.000 --> 00:00:02.360]  這次我們一起祈禱
[00:00:02.360 --> 00:00:07.580]  感恩天父再一次招聚我們能夠上《馬拉基書》
[00:00:07.580 --> 00:00:11.460]  我們很盼望透過經文的內容
[00:00:11.460 --> 00:00:13.980]  認識當時代的背景
[00:00:13.980 --> 00:00:19.640]  和神向自己的選民的心意
[00:00:19.640 --> 00:00:22.400]  特別是透過先知的教訓
[00:00:22.400 --> 00:00:24.920]  讓我們能夠掌握到
[00:00:24.920 --> 00:00:26.920]  也知道透過聖經
[00:00:26.920 --> 00:00:29.540]  我們可以明白神的心意
[00:00:29.540 --> 00:00:34.020]  雖然時代已經是2400多年前
[00:00:34.020 --> 00:00:38.700]  但是經文的盛載是人的心靈
[00:00:38.700 --> 00:00:40.540]  所以是不會過時的
[00:00:40.540 --> 00:00:42.540]  幫助我們能夠明白
[00:00:42.540 --> 00:00:45.620]  也讓我們真的知道先知
[00:00:45.620 --> 00:00:48.040]  想要關注的事情
[00:00:48.040 --> 00:00:50.020]  我們在你面前等候
[00:00:50.020 --> 00:00:53.220]  禱告奉耶穌基督的名
[00:00:53.220 --> 00:00:54.740]  阿們
[00:00:54.740 --> 00:00:56.940]  我們上一個星期
[00:00:56.940 --> 00:01:01.980]  也是探討第二章第十到第十六節
[00:01:01.980 --> 00:01:05.200]  這一段我也提過出現了
[00:01:05.200 --> 00:01:07.200]  關乎到那個背役
[00:01:07.200 --> 00:01:08.700]  出現了很多次
[00:01:08.700 --> 00:01:10.700]  或者叫做鬼詐
[00:01:10.700 --> 00:01:15.240]  另外就是違背聖約
[00:01:15.240 --> 00:01:21.520]  用了幾個不同的受眾
[00:01:21.520 --> 00:01:23.520]  祭司的背約
[00:01:23.520 --> 00:01:27.780]  民間的百姓人與人之間彼此用鬼詐
[00:01:27.780 --> 00:01:29.540]  代替了諾言
[00:01:29.540 --> 00:01:32.120]  就是那個承信
[00:01:32.120 --> 00:01:37.300]  跟著就是婚姻的那個文約的背棄
[00:01:37.300 --> 00:01:39.640]  就三個層面
[00:01:39.640 --> 00:01:45.740]  都差不多涵蓋普羅大眾和宗教的層面
[00:01:45.740 --> 00:01:50.440]  一定是祭司自己都是
[00:01:50.440 --> 00:01:52.440]  在憲制的事情上
[00:01:52.440 --> 00:01:54.440]  很隨便
[00:01:54.440 --> 00:01:58.200]  隨便真的是一個很好的名詞
