
[00:00:00.000 --> 00:00:06.000]  關於屬靈的恩賜,我不願意你們不明白。
[00:00:06.000 --> 00:00:10.200]  你們知道,你們作外邦人的時候,
[00:00:10.200 --> 00:00:17.600]  隨時被引誘,受了迷惑,去拜不會出聲的偶像。
[00:00:17.600 --> 00:00:23.700]  所以,我要你們知道,被神的靈感動的,
[00:00:23.700 --> 00:00:27.800]  沒有人會說耶穌該受咒助,
[00:00:27.800 --> 00:00:35.500]  若不是被聖靈感動的,也沒有人能說耶穌是主。
[00:00:35.500 --> 00:00:41.700]  因此有許多種,卻是同一位聖靈所賜。
[00:00:41.700 --> 00:00:48.200]  侍奉有許多種,卻是侍奉同一位主。
[00:00:48.200 --> 00:00:56.300]  工作有許多種,卻是同一位神在萬人中運行萬事。
[00:00:56.300 --> 00:01:02.700]  聖靈彰顯在各人身上,似要使人得益處。
[00:01:02.700 --> 00:01:07.800]  有人藉著聖靈領受智慧的言語,
[00:01:07.800 --> 00:01:13.600]  有人也靠著同一位聖靈領受知識的言語,
[00:01:13.600 --> 00:01:18.900]  又有人由同一位聖靈領受信心,
[00:01:18.900 --> 00:01:25.300]  還有人由同一位聖靈領受醫病的恩賜,
[00:01:25.300 --> 00:01:28.600]  又有人能行義能,
[00:01:28.600 --> 00:01:31.600]  又有人能作先知,
[00:01:31.600 --> 00:01:35.300]  又有人能辨別諸靈,
[00:01:35.300 --> 00:01:38.500]  又有人能說方言,
[00:01:38.500 --> 00:01:41.500]  又有人能翻方言。
[00:01:41.500 --> 00:01:47.600]  這一切都是由唯一的同一位聖靈所運行,
[00:01:47.600 --> 00:01:52.600]  隨著自己的旨意分給各人的。
[00:01:52.600 --> 00:01:57.900]  就如身體是一個,卻有許多肢體,
[00:01:57.900 --> 00:02:03.500]  身體的肢體雖多,仍是一個身體,
[00:02:03.500 --> 00:02:06.900]  基督也是這樣。
[00:02:06.900 --> 00:02:11.400]  我們無論是猶太人,是希臘人,
[00:02:11.400 --> 00:02:14.700]  是遺老的,是自主的,
[00:02:14.700 --> 00:02:20.000]  都從一位聖靈受洗,成了一個身體,
[00:02:20.000 --> 00:02:26.000]  並且共享這位聖靈經文福畢。
[00:02:26.000 --> 00:02:29.700]  在聖靈裡,我們是一家人,
[00:02:29.700 --> 00:02:33.000]  將以下時間的恭敬交給曾牧師。
[00:02:33.000 --> 00:02:39.000]  
[00:02:39.000 --> 00:02:43.000]  各位靖姐妹,早安!我們一起祈禱。
[00:02:43.000 --> 00:02:45.000]  再一次多謝主,
[00:02:45.000 --> 00:02:49.000]  清晨的日光讓我們的心靈溫暖,
[00:02:49.000 --> 00:02:54.000]  雖然我們看到香港現在的局勢是相當的混亂,
[00:02:54.000 --> 00:02:57.500]  我們懇求主來施恩憐憫,
[00:02:57.500 --> 00:03:03.500]  讓我們整個香港重新的一切靜下來去思考,
[00:03:03.500 --> 00:03:09.000]  以及大家各方面都停止一切的暴力,
[00:03:09.000 --> 00:03:12.000]  我們能夠坐下來傾談,
[00:03:12.000 --> 00:03:15.500]  什麼是最好的方案,求主幫助。
[00:03:15.500 --> 00:03:18.500]  多謝主讓我們能夠在這堂禮中,
[00:03:18.500 --> 00:03:21.000]  我們能夠有平安的心靈,
[00:03:21.000 --> 00:03:26.000]  剛才唱的聖詩使我們能夠作和平之子,
[00:03:26.000 --> 00:03:29.000]  更加使我們能夠去求告,
[00:03:29.000 --> 00:03:32.000]  以致神的國度能夠降臨,
[00:03:32.000 --> 00:03:36.000]  我們能夠行在神的旨意和喜悅當中,
[00:03:36.000 --> 00:03:38.000]  也得到神的眷由,
[00:03:38.000 --> 00:03:42.000]  在我們的生活,在我們的心靈都能夠蒙福。
[00:03:42.000 --> 00:03:45.500]  今早這個題目都是相當寶貴,
[00:03:45.500 --> 00:03:49.000]  我們能夠在聖靈裡面受洗,
[00:03:49.000 --> 00:03:52.000]  以及我們共享聖靈的恩典,
[00:03:52.000 --> 00:03:55.500]  一起可以在神家裡面彼此的服侍,
[00:03:55.500 --> 00:03:59.500]  彼此的互為之體,去建立基督的身體,
[00:03:59.500 --> 00:04:02.000]  求主幫助我們大家一起去學習,
[00:04:02.000 --> 00:04:05.000]  透過這段聖經,讓我們能夠明白,
[00:04:05.000 --> 00:04:07.000]  我們一起在你面前等候禱告,
[00:04:07.000 --> 00:04:10.000]  奉耶穌基督的名,阿們。
[00:04:10.000 --> 00:04:15.000]  主要今天是會講第十二、十三兩節,
[00:04:15.000 --> 00:04:19.500]  其實真理這麼說很枯燥,很乏味,
[00:04:19.500 --> 00:04:23.500]  上下文是在說每一個的肢體,
[00:04:23.500 --> 00:04:25.000]  每一個弟兄姊妹,
[00:04:25.000 --> 00:04:27.500]  在耶穌裡面就成為
[00:04:27.500 --> 00:04:31.000]  耶穌基督這個身體裡面的肢體,
[00:04:31.000 --> 00:04:32.500]  這是一個比喻,
[00:04:32.500 --> 00:04:35.000]  就是說我們的器官,身體,
[00:04:35.000 --> 00:04:39.000]  每一個器官,眼耳口鼻,頭髮,各樣東西,
[00:04:39.000 --> 00:04:42.500]  都是配搭得很完美,很整齊。
[00:04:42.500 --> 00:04:47.000]  保羅就用這個比喻作為一個例子,
[00:04:47.000 --> 00:04:49.000]  尤其是十二節,他說,
[00:04:49.000 --> 00:04:52.000]  我讀一讀第十二節,再補充,
