
[00:00:00.000 --> 00:00:05.000]  《撒加利亞書》十一章四至十七節
[00:00:05.000 --> 00:00:09.000]  舊約第一千四百四十一頁
[00:00:09.000 --> 00:00:16.000]  《撒加利亞書》十一章第四節
[00:00:16.000 --> 00:00:19.000]  耶和說:我們的神如此說
[00:00:19.000 --> 00:00:23.000]  你要牧養這群將宰的羊
[00:00:23.000 --> 00:00:26.000]  買羊的宰了他們
[00:00:26.000 --> 00:00:29.000]  卻不認為自己有罪
[00:00:29.000 --> 00:00:31.000]  賣他們的也說
[00:00:31.000 --> 00:00:34.000]  耶和說是應當稱重的
[00:00:34.000 --> 00:00:37.000]  因我付足了
[00:00:37.000 --> 00:00:42.000]  牧養他們的並不憐憫他們
[00:00:42.000 --> 00:00:45.000]  我不再憐憫這地的居民
[00:00:45.000 --> 00:00:46.000]  看啊
[00:00:46.000 --> 00:00:48.000]  我要將這些人交在
[00:00:48.000 --> 00:00:52.000]  各人的鄰舍和君王手中
[00:00:52.000 --> 00:00:54.000]  他們必毀滅這地
[00:00:54.000 --> 00:00:58.000]  我卻不救任何一個脫離他們的手
[00:00:58.000 --> 00:01:01.000]  這是耶和說的
[00:01:01.000 --> 00:01:05.000]  於是我牧養這群將宰的羊
[00:01:05.000 --> 00:01:09.000]  就是羊群中最困苦的
[00:01:09.000 --> 00:01:12.000]  我拿著兩斤羊
[00:01:12.000 --> 00:01:14.000]  一斤我稱為恩惠
[00:01:14.000 --> 00:01:17.000]  一斤稱為聯合
[00:01:17.000 --> 00:01:21.000]  這羊我就牧養這群羊
[00:01:21.000 --> 00:01:23.000]  第八節
[00:01:23.000 --> 00:01:24.000]  一個月之內
[00:01:24.000 --> 00:01:26.000]  我廢除了三個牧人
[00:01:26.000 --> 00:01:29.000]  因為我的心厭煩他們
[00:01:29.000 --> 00:01:33.000]  他們的心也憎惡我
[00:01:33.000 --> 00:01:35.000]  我就說
[00:01:35.000 --> 00:01:37.000]  我不牧養你們
[00:01:37.000 --> 00:01:39.000]  要死的由他死
[00:01:39.000 --> 00:01:42.000]  滅亡的由他滅亡
[00:01:42.000 --> 00:01:46.000]  剩餘的由他們彼此吞食
[00:01:46.000 --> 00:01:50.000]  我拿起那斤稱為恩惠的羊
[00:01:50.000 --> 00:01:51.000]  截斷它
[00:01:51.000 --> 00:01:55.000]  表明我廢棄與萬民所立的約
[00:01:55.000 --> 00:01:58.000]  當日約就廢了
[00:01:58.000 --> 00:02:04.000]  因此那些羊群中最困苦的看著我
[00:02:04.000 --> 00:02:09.000]  就知道這真是耶和華的話
[00:02:09.000 --> 00:02:11.000]  我對他們說
[00:02:11.000 --> 00:02:13.000]  你們約看為尾
[00:02:13.000 --> 00:02:15.000]  就給我功架
[00:02:15.000 --> 00:02:19.000]  不然就罷了
[00:02:19.000 --> 00:02:22.000]  於是他們稱了三十塊銀錢
[00:02:22.000 --> 00:02:26.000]  作為我的功架
[00:02:26.000 --> 00:02:28.000]  耶和華對我說
[00:02:28.000 --> 00:02:30.000]  他標級饒戶
[00:02:30.000 --> 00:02:34.000]  那是他們對我所估定的好價錢
[00:02:34.000 --> 00:02:38.000]  我就取這三十塊銀錢
[00:02:38.000 --> 00:02:39.000]  在耶和華的殿中
[00:02:39.000 --> 00:02:42.000]  將它標級饒戶
[00:02:42.000 --> 00:02:45.000]  我又截斷第二斤杖
[00:02:45.000 --> 00:02:48.000]  就是稱為聯合的那斤杖
