
[00:00:00.000 --> 00:00:02.000]  鄧小平早安
[00:00:02.000 --> 00:00:06.000]  前陣子有一段時間
[00:00:06.000 --> 00:00:09.000]  和一位教會的前輩吃飯
[00:00:09.000 --> 00:00:11.000]  吃飯的時候
[00:00:11.000 --> 00:00:13.000]  驚訝的解釋突然間問我
[00:00:13.000 --> 00:00:17.000]  你覺得崇拜什麼
[00:00:17.000 --> 00:00:20.000]  突然間這樣問
[00:00:20.000 --> 00:00:21.000]  有點奇怪
[00:00:21.000 --> 00:00:23.000]  你覺得崇拜什麼
[00:00:23.000 --> 00:00:26.000]  後來他就提起
[00:00:26.000 --> 00:00:31.000]  幾個月前留堂
[00:00:31.000 --> 00:00:34.000]  在星期六晚的一間比較年輕的教會
[00:00:34.000 --> 00:00:37.000]  我們有一個特別的崇拜主題
[00:00:37.000 --> 00:00:39.000]  叫做開學崇拜
[00:00:39.000 --> 00:00:41.000]  這個崇拜也有一段時間了
[00:00:41.000 --> 00:00:46.000]  我們邀請鄧小平一起穿上中學校服回來
[00:00:46.000 --> 00:00:48.000]  一起去崇拜
[00:00:48.000 --> 00:00:52.000]  全場有很多學生穿上校服回來一起去崇拜
[00:00:52.000 --> 00:00:55.000]  不說禮儀問題
[00:00:55.000 --> 00:00:57.000]  也是一種禮儀
[00:00:57.000 --> 00:01:01.000]  反而令我很難忘的
[00:01:01.000 --> 00:01:03.000]  就是這位教會前輩
[00:01:03.000 --> 00:01:07.000]  一句這樣的宿令忠告
[00:01:07.000 --> 00:01:09.000]  他跟我說
[00:01:09.000 --> 00:01:12.000]  陳偉安你要學習敬畏
[00:01:12.000 --> 00:01:15.000]  只要你是敬畏上帝的話
[00:01:15.000 --> 00:01:17.000]  你怎樣走都不會錯
[00:01:17.000 --> 00:01:21.000]  這句我覺得是一句很受用的說話
[00:01:21.000 --> 00:01:24.000]  對我很大的提醒
[00:01:24.000 --> 00:01:28.000]  所以後來我就預備了一些經文的研究
[00:01:28.000 --> 00:01:30.000]  有關敬畏這個課題
[00:01:30.000 --> 00:01:35.000]  今天也跟大家分享敬畏這個題目
[00:01:35.000 --> 00:01:41.000]  不知道你對於敬畏有什麼認識
[00:01:41.000 --> 00:01:43.000]  信了主這麼久
[00:01:43.000 --> 00:01:45.000]  當你提起敬畏的時候
[00:01:45.000 --> 00:01:50.000]  可能有一些對於敬畏這個題目既熟悉又陌生
[00:01:50.000 --> 00:01:52.000]  Fear of God
[00:01:52.000 --> 00:01:54.000]  英文叫做Fear of God
[00:01:54.000 --> 00:01:56.000]  一直也知道有這種態度
[00:01:56.000 --> 00:02:00.000]  不過似乎教會又不是經常提及
[00:02:00.000 --> 00:02:04.000]  如果你在網上Google搜索
[00:02:04.000 --> 00:02:06.000]  Fear of God這三個字的時候
[00:02:06.000 --> 00:02:09.000]  大家知不知道是怎樣的呢
[00:02:09.000 --> 00:02:12.000]  反而是一個時裝品牌
[00:02:12.000 --> 00:02:14.000]  其實也不便宜
[00:02:14.000 --> 00:02:18.000]  這個品牌裏面也有幾千元一件衣服
[00:02:18.000 --> 00:02:24.000]  原來創辦人也是想用Fear of God
[00:02:24.000 --> 00:02:28.000]  這種比較出於信仰的角度來開展品牌
[00:02:28.000 --> 00:02:31.000]  不過後果就剛好相反
[00:02:31.000 --> 00:02:37.000]  成為了一個比較奢華的意味的態度
[00:02:37.000 --> 00:02:42.000]  敬畏是一個我們今天的年代比較容易忽略的課題
[00:02:42.000 --> 00:02:45.000]  一個我們越來越少提的課題
[00:02:45.000 --> 00:02:47.000]  今時今日我們在教會裏面
[00:02:47.000 --> 00:02:52.000]  越來越傾向成為一種安慰宗教
[00:02:52.000 --> 00:02:56.000]  我們也強調憐憫、恩典、拯救
[00:02:56.000 --> 00:02:58.000]  恩典太美麗
[00:02:58.000 --> 00:03:00.000]  耶穌很愛你
[00:03:00.000 --> 00:03:02.000]  當我們很深深知道
[00:03:02.000 --> 00:03:03.000]  其實也是正確的
[00:03:03.000 --> 00:03:05.000]  耶穌上帝很愛我們的時候
[00:03:05.000 --> 00:03:10.000]  敬畏是一個我們不容易消化的題目
[00:03:10.000 --> 00:03:13.000]  事實上如果你去找一些書籍的時候
[00:03:13.000 --> 00:03:18.000]  你會發覺十車其九裏面的書
[00:03:18.000 --> 00:03:21.000]  都是叫你不要害怕
[00:03:21.000 --> 00:03:23.000]  不要懼怕
[00:03:23.000 --> 00:03:25.000]  愛裏面沒有懼怕
[00:03:25.000 --> 00:03:28.000]  要剛強壯膽不要害怕
[00:03:28.000 --> 00:03:33.000]  因此面對海量裏面的憐憫、恩典、拯救的訊息
[00:03:33.000 --> 00:03:36.000]  你實在不容易明白
[00:03:36.000 --> 00:03:37.000]  面對我們的神
[00:03:37.000 --> 00:03:40.000]  有些什麼是恐懼
[00:03:40.000 --> 00:03:42.000]  有些什麼是要畏
[00:03:42.000 --> 00:03:44.000]  有些什麼是要敬畏
[00:03:44.000 --> 00:03:48.000]  你都很難去拿捏敬畏的意思
[00:03:48.000 --> 00:03:53.000]  因此剛才讀的經文是一段很簡單的說話
[00:03:53.000 --> 00:03:56.000]  你還不怕神嗎?
[00:03:56.000 --> 00:03:59.000]  一段來自於路加福音裏面
[00:03:59.000 --> 00:04:01.000]  十字架上的一段說話
[00:04:01.000 --> 00:04:04.000]  另一個強度來問
[00:04:04.000 --> 00:04:05.000]  另一個強度
