
[00:00:00.000 --> 00:00:03.200]  (陳志全) 撥咗人學了陳酒又想學新的
[00:00:03.200 --> 00:00:05.200]  他總說陳的好
[00:00:05.200 --> 00:00:08.400]  現在將時間交給虎哥
[00:00:08.400 --> 00:00:09.400]  (虎哥) 係,大家早晨
[00:00:09.400 --> 00:00:14.200]  今朝就唔係講飲酒
[00:00:14.200 --> 00:00:18.200]  但係如果你睇到呢一個題目
[00:00:18.200 --> 00:00:24.200]  你都可能會有少少不以為然
[00:00:24.200 --> 00:00:28.600]  如果你真係有飲酒嘅經驗
[00:00:28.600 --> 00:00:32.600]  有好多朋友係專家
[00:00:32.600 --> 00:00:35.600]  我呢就應酬酒
[00:00:35.600 --> 00:00:37.600]  你飲我先會飲嘅
[00:00:37.600 --> 00:00:41.600]  同埋都係好有設計
[00:00:41.600 --> 00:00:44.600]  好多人嘅經驗或者專家都話
[00:00:44.600 --> 00:00:48.600]  酒冇分舊一日新
[00:00:48.600 --> 00:00:50.600]  先為之好
[00:00:50.600 --> 00:00:52.600]  酒應該係講年份
[00:00:52.600 --> 00:00:55.600]  當然中國人某啲嘅酒就講
[00:00:55.600 --> 00:00:59.600]  好似頭先嗰段經文咁講
[00:00:59.600 --> 00:01:02.600]  陳的好
[00:01:02.600 --> 00:01:06.600]  好似講我哋啲老人家
[00:01:06.600 --> 00:01:09.600]  或者我哋outday嗰啲
[00:01:09.600 --> 00:01:12.600]  成日講舊史嘅好啲
[00:01:12.600 --> 00:01:14.600]  以前唔係咁
[00:01:14.600 --> 00:01:18.600]  而家好似一代不如一代
[00:01:18.600 --> 00:01:21.600]  你約啲細路去街
[00:01:21.600 --> 00:01:23.600]  第一你唔好太早
[00:01:23.600 --> 00:01:25.600]  今個星期約定下星期
[00:01:25.600 --> 00:01:27.600]  佢方向是玩失蹤
[00:01:27.600 --> 00:01:29.600]  第二你約佢
[00:01:29.600 --> 00:01:33.600]  你話晚啲先講
[00:01:33.600 --> 00:01:35.600]  即使你捉到佢
[00:01:35.600 --> 00:01:37.600]  究竟係邊度見呢?
[00:01:37.600 --> 00:01:38.600]  係旺角
[00:01:38.600 --> 00:01:40.600]  旺角邊度佢唔會認你
[00:01:40.600 --> 00:01:43.600]  如果你諗住兩點半
[00:01:43.600 --> 00:01:47.600]  佢大致上兩點四五個字都未出現
[00:01:47.600 --> 00:01:50.600]  先至講我而家係浪濠坊
[00:01:50.600 --> 00:01:52.600]  你係咪好頂人呢?
[00:01:52.600 --> 00:01:55.600]  你就會覺得我哋以前唔係咁
[00:01:55.600 --> 00:01:58.600]  我哋冇WhatsApp
[00:01:58.600 --> 00:02:00.600]  冇Social Media
[00:02:00.600 --> 00:02:01.600]  我哋好準時
[00:02:01.600 --> 00:02:02.600]  準時又點樣呢?
[00:02:02.600 --> 00:02:04.600]  係串門
[00:02:04.600 --> 00:02:08.600]  以前我啲叔伯兄弟
[00:02:08.600 --> 00:02:10.600]  我哋堂哥
[00:02:10.600 --> 00:02:11.600]  喺廣州生活
[00:02:11.600 --> 00:02:13.600]  我知佢點樣為之串門
[00:02:13.600 --> 00:02:15.600]  佢哋去搵人係點樣呢?
[00:02:15.600 --> 00:02:18.600]  真係踩部單車去佢屋企
[00:02:18.600 --> 00:02:20.600]  撞佢睇下係唔係到
[00:02:20.600 --> 00:02:22.600]  原來佢唔係到係常態
[00:02:22.600 --> 00:02:24.600]  跟住同佢阿媽講
[00:02:24.600 --> 00:02:26.600]  麻煩你話畀佢聽
[00:02:26.600 --> 00:02:28.600]  我搵佢
[00:02:28.600 --> 00:02:30.600]  呢件事其實好恐怖
[00:02:30.600 --> 00:02:32.600]  好迂迴
[00:02:32.600 --> 00:02:35.600]  但係我哋永遠溝通都係冇問題
[00:02:35.600 --> 00:02:37.600]  但唔知而家點解
[00:02:37.600 --> 00:02:39.600]  淨係要喺邊度等
[00:02:39.600 --> 00:02:43.600]  都可以由西環變咗東涌
[00:02:43.600 --> 00:02:45.600]  你會發現
[00:02:45.600 --> 00:02:47.600]  我哋一定係有啲
[00:02:47.600 --> 00:02:50.600]  所謂舊史好啲
[00:02:50.600 --> 00:02:52.600]  Good old day
[00:02:52.600 --> 00:02:55.600]  耶穌呢度所講嘅
[00:02:55.600 --> 00:02:57.600]  呢段經文裏面
[00:02:57.600 --> 00:03:02.600]  佢其實係講咗一個現象
[00:03:02.600 --> 00:03:04.600]  呢個現象就係講緊
[00:03:04.600 --> 00:03:06.600]  其實實質上
[00:03:06.600 --> 00:03:08.600]  喺經文世界裏面
[00:03:08.600 --> 00:03:10.600]  就唔係講嗰個係個瓶
[00:03:10.600 --> 00:03:11.600]  唔係bottle
[00:03:11.600 --> 00:03:13.600]  喺伊人裏面翻譯
[00:03:13.600 --> 00:03:15.600]  個bottle都係唔準確
[00:03:15.600 --> 00:03:18.600]  應該係講緊個皮袋
[00:03:18.600 --> 00:03:20.600]  咁原來呢
[00:03:20.600 --> 00:03:22.600]  當然我唔係讀chemistry
[00:03:22.600 --> 00:03:23.600]  bio嗰啲人
[00:03:23.600 --> 00:03:24.600]  physics嗰啲人
[00:03:24.600 --> 00:03:25.600]  但係呢
[00:03:25.600 --> 00:03:26.600]  喺物理嘅狀態
[00:03:26.600 --> 00:03:27.600]  你咁大致就知
[00:03:27.600 --> 00:03:32.600]  原來未經過份嘅發酵
[00:03:32.600 --> 00:03:36.600]  當然我哋做呢個
[00:03:36.600 --> 00:03:39.600]  譬如豆腐都係一個過程
[00:03:39.600 --> 00:03:42.600]  有時你係經過一個過程
[00:03:42.600 --> 00:03:45.600]  然後讓佢順咗落嚟
[00:03:45.600 --> 00:03:47.600]  但係如果新走
[00:03:47.600 --> 00:03:50.600]  面對一個舊嘅皮袋
[00:03:50.600 --> 00:03:53.600]  舊嘅皮袋因為佢已經係
[00:03:53.600 --> 00:03:55.600]  嗰啲新嘅狀態
